"Maine Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",18.94457669329423,18.787291911093334,19.70782213847326,19.024321583584815,20.140099268644473,19.043422536014347,19.78565600019434,19.991012943753645,19.383006408334683,20.547571574444724,22.46006911628652,22.843748752865014,24.191130929025178,24.25634765436393,24.585737900166418,23.283277170473248,21.92675626613677,21.531340767235175,19.455394615527048,18.491580656706198,17.926338860737125,17.910502820186156,15.755462965187759,16.535336160090452,16.665250876891495,16.65645373501093,16.02912302619156,14.740869862764086,14.593353105057409,14.323960211044215,13.415362740005422,14.119376924641497,14.89793619924086
"Methane",1.7799697378101913,1.8011583743426096,1.806209478096518,1.7533314449295878,1.759071742829786,1.7718336917402564,1.8373186547108744,1.808110690926398,1.8168977713146761,1.9257460848595258,1.9664937316167428,1.9417592122095673,1.9088548338375282,1.8160421212344855,1.8112174323384809,1.9283263055041682,2.0293444666240417,1.9860384191315215,2.0689131564518664,2.062252024940785,1.9195496190837336,1.8602222420511303,1.6933831394053795,1.7085163157793606,1.7200584617213945,1.7644224954162686,1.6711385518150257,1.6641974404732247,1.6894276953031546,1.6953145454055505,1.6564997010519469,1.6624686447032728,1.6893128848920789
"Fluorinated gases",0.2206156176550407,0.2158706934908299,0.219001914934329,0.2491689985856752,0.28246514290345615,0.3625352535734039,0.4147448061110267,0.4589772402239308,0.5102040084231185,0.5457436549596743,0.5407110596757475,0.5200636206157496,0.5384116629437704,0.5512271524277194,0.5594139635032402,0.5700727718491472,0.6003686874781595,0.6163179645955598,0.6469294905547959,0.6204768896136077,0.6109081207376138,0.6964528005434867,0.6971864647678027,0.7943101215789011,0.878200573959581,0.84059990398034,0.8616135458401191,0.7141072927933508,0.7976747228409271,0.8020624211471844,0.8387522572401741,0.8775862650314294,0.8791132154419525
"Nitrous oxide",0.7076488805005775,0.7022466318025463,0.7204805857272757,0.718913944543952,0.7496604788321604,0.7543686658706287,0.8178545767016557,0.7964812251065213,0.7908006583450802,0.8039418611193374,0.7543242873890273,0.7486582267783107,0.7702375593655768,0.7548700073123678,0.75777384869792,0.7707858519116985,0.790635597795992,0.7554842196625988,0.778850111886291,0.719392088502737,0.712088151744098,0.6034546498999761,0.5956039603410255,0.5936282849766601,0.5402853708027784,0.5464485889348283,0.5403425313592246,0.5197000562872175,0.5425150859163251,0.5499797579687159,0.5239683280874864,0.519820846843615,0.5128926628950425
"Land use and forestry carbon stock change",-14.004025714933197,-14.000289646071987,-13.921082196289046,-13.928735128821987,-14.040187980541663,-14.137127768445303,-14.280651139307153,-14.414028909469858,-14.551813974651143,-14.821925306539896,-14.95246759037124,-15.269593121492562,-15.531841407944873,-15.724951134542826,-16.091847525062448,-16.32675157414354,-16.673221856603092,-16.8950926222341,-17.33393479751889,-17.571546843302762,-17.781127804563862,-18.108343965468002,-18.37846859264624,-18.68337250663887,-18.759060384008627,-18.84229344210683,-18.86059971636209,-18.98193326873815,-19.072064446008596,-18.824467908414682,-18.652673306882548,-18.44444998602042,-18.240490164664315
"Net total",7.648785214326844,7.5062779646573325,8.53243192094234,7.817000842822043,8.891108652668212,7.7950323787533335,8.574922898410744,8.640553190540638,7.949094871766416,9.001077868843367,10.769130604596798,10.784636690976082,11.876793577227177,11.653535800795675,11.622295619643609,10.225710525594721,8.67388316143187,7.994088748390755,5.616152576901115,4.322154816460568,3.387756947738705,2.962288547212747,0.3631679370557279,0.9484183757865026,1.0447348993666203,0.9656312812355416,0.24161793884384153,-1.3430586164202722,-1.449093836890782,-1.4531509728490164,-2.218090280497517,-1.2651973048006049,-0.2612352021943849
"Gross total",21.071213404605835,20.923800309026472,21.86065850044228,21.137808962974578,22.29370443403461,21.232022154212057,22.11048952285626,22.266386081602665,21.68180201652822,22.971216797659736,24.84305934543577,25.1513448490064,26.486513199837315,26.434520278814684,26.751432424226586,25.570844434041764,24.335234289809947,23.85064440096885,21.882369254003226,20.812914911282878,20.12389860946993,20.003775652574557,17.64967224817786,18.453652973821356,18.539357598019173,18.566510526066992,17.85463115582657,16.488586593318853,16.395803979580958,16.174029164159105,15.163123281904607,15.874120785403443,16.646213805171932
