"North Dakota Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",45.943818534309514,47.0402712526584,48.5727582173899,48.735149689708656,49.1288092170982,49.12368672684347,49.96205041929605,48.50667655510495,50.60308475600098,50.95926419395099,50.73824946810194,51.04794841045851,50.944955460578704,50.77725656787282,49.29125544272555,52.38162224431247,50.91775549879026,52.13437877849335,53.48584209643177,53.043296956585074,54.66802237612943,57.442018502148585,62.05376445275622,64.88569908752804,68.88555381885209,69.04574102482945,61.389284372993195,63.76630171097974,72.2034219249258,76.7965349180442,66.73553441501706,65.51971322565608,64.8863321467326
"Nitrous oxide",10.524900929724865,10.160711632027336,11.390803102484348,13.219164660436622,13.289454582170745,12.874774884790405,12.70918601477973,12.178003632681127,12.290375657658537,12.48377204875849,12.76777922933853,13.578757565483565,11.25458044818842,14.250897183448195,13.9149899291132,13.497049759184176,11.631839821257266,17.574738966286656,12.719723541065953,13.03902424601734,14.713033545878393,13.909908266723713,11.709304472311526,16.78338281935074,16.344704033753267,15.831083928811804,16.38826073065997,14.602261889527469,18.052413602640094,16.84123856317578,14.8948843714666,15.59621733855786,15.373994689347274
"Methane",6.164689570230031,6.260302455549065,6.361753329869736,6.431794527597348,6.637371339229619,6.708644464424483,6.5365983584068275,6.54520581628652,6.298855923961833,6.436255731983237,6.359422971098159,6.406461952063415,6.369439240068047,6.263564107240324,6.089029988836589,6.101238604613207,6.129193116465778,6.245489548669425,6.205249488026354,6.253993058398718,6.444651620046611,6.57271873564718,6.916089604236664,7.467096342168901,8.07971355834413,7.899774629088055,7.7811812388118025,8.060237602269725,9.085032234292438,10.10301970338196,8.760899427108589,8.673186211273384,8.42620549366212
"Fluorinated gases",0.6511579229665913,0.6245548262646266,0.6219051760602368,0.6138703901845219,0.6006677729432047,0.5980275142440137,0.586890488719704,0.5787320017223362,0.531446918465149,0.5528918169461604,0.5547033122997329,0.5647134014769525,0.5500657695046838,0.5520174326672116,0.5535683496418536,0.5520724688030724,0.5440188528962187,0.5446695152215923,0.5625574667744494,0.5580799256998795,0.5593398417869074,0.5463176687074878,0.5529971516193414,0.5467314347028954,0.5126152158521671,0.5386836509360745,0.5085436646962641,0.5336171848385582,0.4864423296991943,0.5040140484618598,0.4955039230049917,0.5128014803002249,0.5165684224100993
"Land use and forestry carbon stock change",1.7002985588842081,-0.58522945095158,-1.4606887571179419,-0.7634735339283784,-3.5096719252443767,-1.4245431971319833,-4.414535749110472,-1.5635944820301928,-1.9171340214092298,-1.6216928375949402,-3.3124422457164084,-0.8158956889050873,-1.7358546997692998,0.5882900253896075,-1.234446768926492,-0.9646147252684623,-2.3264506435925227,1.4518244895782815,-3.381603045075563,-0.39340279114454696,-1.6242066091872,-3.1492285295561673,-8.09410885872293,-3.1120256338810854,-5.003711762150214,-5.175880142986349,-3.554867574378778,-1.9221634422480922,-1.4740005587000555,-2.924761500977955,-1.7887033434447157,-2.7992828084436394,-2.6831827192595594
"Net total",64.9848655161152,63.50061071554784,65.48653106868629,68.23650573399877,66.1466309861974,67.88059039317038,65.38018953209183,66.24502352376473,67.80662923467727,68.81049095404394,67.10771273512195,70.78198564057735,67.38318621857054,72.43202531661817,68.6143969413907,71.56736835164446,66.896356645817,77.95110129824931,69.59176954722297,72.50099139555647,74.76084077465414,75.32173464367081,73.1380468222008,86.57088404986948,88.81887486465142,88.13940309067905,82.51240243278245,85.0402549453674,98.35330953285747,101.32004573208584,89.09811879315252,87.50263544734392,86.51991803289253
"Gross total",62.256796945457964,63.05741067931256,65.91023232558021,67.9484639755546,68.58162045057398,68.19103821801627,68.65177153790768,66.63329344514887,68.53259456247153,69.2048113712542,69.19206436644345,70.35812298753731,67.85815435324162,70.58054843204003,68.57046090703575,71.24725431610926,67.91959277516655,75.18569256518188,71.64120931631076,71.53844191172774,74.99529053840128,77.07090224467912,79.78989382912876,88.2458304261265,92.41081373438307,91.8677827784054,84.64447650556555,85.51070923777543,98.42734028559907,102.84400899905454,89.49810864004158,88.90431188440206,87.79772370507433
