"New Hampshire Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",14.971437323861338,14.62783904060327,14.64796483420934,14.93987618732592,14.991425809223912,15.119813528910818,15.463364737403891,17.222886953881083,16.62591913959171,16.789983322465662,17.331722689166085,17.026296346489506,17.07846193365074,20.981046552866886,22.048118537976947,21.4195973298696,19.800758855676598,19.450427826965935,18.618813291254167,17.17760820044331,17.061178996872265,16.750614632267677,14.96886174628139,14.710843560615032,15.468570158543098,15.384044465240537,13.757390557810046,13.300495261522912,14.177426923004507,13.920454421121047,12.422833280423657,13.215145202135243,13.85780924733611
"Methane",1.5713092860195588,1.7081355245718668,1.7063398136260954,1.7883950936768949,1.8994544788191605,1.9643483474111942,1.9132963242245946,1.7945734494649503,1.7962437732407763,1.7191658592138355,1.6046206737955448,1.5788129290793163,1.5319134635587455,1.6304025136207567,1.6674478613661021,1.5026211765839366,1.4815015864128078,1.4492243005510168,1.5021888839113806,1.4364577129090237,1.1818080645600217,1.1301157904564105,1.0393189122764226,1.0630313487393674,1.02862073388176,1.0902837985109077,1.075240045171455,1.108723772050367,1.1474526002042016,1.1758824877463478,1.1800869866998671,1.1975932831487537,1.2011387933848758
"Fluorinated gases",0.08344086405551956,0.0811605946530391,0.08443720017213002,0.09636502251531717,0.12142139295198386,0.17580625982222894,0.21616468095237915,0.2547488021539799,0.27884979586108505,0.31194307893530954,0.33883283710959744,0.36598697640002237,0.38406526080784326,0.40230186988343136,0.41809947137839837,0.436355951957763,0.46105881592119197,0.488270299693252,0.5268792042267262,0.5286688693817485,0.49648070839415714,0.5517171922694082,0.5844238181926587,0.6580680370091284,0.7711023266447331,0.7223501180214909,0.7499979108129154,0.6587810032549802,0.7141565735704195,0.713777296425472,0.7303964279680238,0.7817016971234202,0.7977305616391522
"Nitrous oxide",0.40313877410264976,0.3975195267670388,0.40672456406963314,0.42778615800409076,0.43709386812067147,0.44544470051092877,0.45636048310220595,0.46575861824555154,0.46712487472469794,0.4717122061802283,0.4784863853859709,0.448155997468078,0.45062361911699716,0.46029941802511287,0.4644408506423829,0.45199043024132857,0.44298798467221795,0.408544721378498,0.3899616560632698,0.38000190895998637,0.39009740682099364,0.36912834796726146,0.3563515482488618,0.33820137915185633,0.32122907770785103,0.31418060131188535,0.29461926124421256,0.29261669161563547,0.30113036606316623,0.2982195012476961,0.277025891565844,0.2852861027612226,0.28302897909876495
"Land use and forestry carbon stock change",-8.01650875719559,-7.907209392930965,-7.8007535004447215,-7.738691744307314,-7.62583713408781,-7.5512521235970835,-7.5033077207814705,-7.436857054070209,-7.34775620771529,-7.303554871181592,-7.2763906323725305,-7.267402673862924,-7.191634126166462,-7.197905232908949,-7.191810561107634,-7.185054648070101,-7.199605767694417,-7.179580342127018,-7.194084473017225,-7.244303755604033,-7.21409758299622,-7.2236292167650165,-7.187197487024541,-7.20207667315674,-7.162167122517754,-7.132839777599193,-7.163341760457112,-7.122857833398875,-7.019648940785849,-6.93894682045641,-6.858093875675087,-6.740710889604896,-6.645555167067605
"Net total",9.012817490843476,8.907445293664246,9.044712911632477,9.513730717214909,9.823558415027918,10.154160713058086,10.545878504901598,12.301110769675358,11.820381375702976,11.989249595613444,12.477271953084665,12.151849575573998,12.253430150967862,16.27614512148724,17.406296160256197,16.625510240582525,14.986701474988397,14.616886806461682,13.843758562438321,12.278432936090034,11.915467593651215,11.577946746195742,9.761758537974792,9.568067652358643,10.427355174259688,10.37801920548563,8.713906014581518,8.237758895045019,9.320517522056445,9.169386886084153,7.752248710982305,8.739015395563744,9.494152414391298
"Gross total",16.87567304034048,16.65991516759032,16.68578243510581,17.07807588134354,17.24614995670731,17.443574890638,17.74457807825337,19.3917581583543,18.792312427314545,18.884169071041462,19.313383539149296,18.950075395231348,18.95483704332031,22.962046800605446,24.06638573949421,23.258826356693124,21.607079266289674,21.185771080669966,20.396003779258464,18.87104176399094,18.508233507551473,18.15261522289223,16.270905688157228,16.009590672037014,16.738232705368294,16.680416255764225,15.037431588923411,14.618060245835718,15.519264204011034,15.317320086307591,13.74379640840762,14.582538133291846,15.214327223785284
