"Louisiana Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",186.0069801897474,184.6689903710838,191.66395267031294,194.35829098108698,198.3106717793458,199.50122118642318,198.98429030125587,206.50816238970546,197.87360009518315,198.7170968058837,215.87638542390192,191.74216536775214,197.14276584279276,190.90110619026106,196.59318677321022,192.26375326784168,198.06442361883748,202.0887230654287,194.75010080861725,185.7544377370975,193.51266449476637,198.6280028596058,192.7908378500485,189.1548519248448,186.76600645595408,183.0302686544014,184.3845131943724,185.4130179793481,191.1270375069118,188.90762400786735,175.31794511072522,186.39509766053845,193.48365374064093
"Methane",29.628355399663125,28.88012637273968,29.27900554101069,28.494246650899054,28.85764522872872,28.208376342367682,27.90269784779215,27.357704928914412,27.556505512142156,27.082762776211005,26.99787770763725,26.02120306522623,26.055701289206336,25.812305359367144,25.187527746916224,25.218235699160488,24.607649812127214,25.430949663646505,24.817590014664862,25.951863696127155,25.953239322895563,26.300588332117304,25.90016549180387,25.45724445447624,24.832662027803867,25.216819044276946,25.195847697393877,24.924266023617513,27.3705517119783,29.750702841654444,26.173207662911253,24.623590849734786,24.361142970073335
"Nitrous oxide",6.019813997442267,6.3029344379257966,6.188762830840749,6.042805229320545,6.613683160956595,6.340174999709714,6.807341695471457,7.230442285128926,7.548931319314733,7.198955899185685,7.52964099988102,7.011119668187832,7.657334888628156,7.4399354750066236,7.872629190826272,7.251751792961662,7.575413273113455,8.000035252531061,7.518862511882148,7.295086304560239,7.5353963112193165,7.660465809283137,7.463680874744661,7.688891991196299,6.9693314714740415,8.331406136884276,7.198870390925864,6.732010400136045,7.035119128489162,7.432410889425175,7.219503217855699,7.287983907904127,6.813427888833315
"Fluorinated gases",11.799166807449742,10.644425648549504,12.108141654325635,11.477888613071805,10.608588676740665,11.469536910911343,11.497503089045154,11.467374189770686,14.599440241280522,12.017467329697,12.000493428738602,9.907448261134691,11.695363312013258,9.426049611566217,12.17638720346794,12.365197616504627,12.411216113558202,14.859078662820773,13.85172218885679,9.926375248063964,9.968494857814541,6.278824379114475,5.373017537821254,3.4584768468826796,3.3435976927910276,3.4320193360768387,3.1781881603754116,3.3015496600848713,3.413553660779406,3.1685834414448406,3.55417141414463,3.6754588129406938,3.5671643560033672
"Land use and forestry carbon stock change",-31.27042766288022,-30.92899688268616,-31.06883356247451,-30.986781835550264,-30.524576295725613,-30.88935228910226,-30.771032246127827,-30.198566774909757,-30.27140992747391,-29.58154052000387,-30.6592506958035,-31.8703150385294,-32.367334793546405,-31.831661101713937,-32.29587940652823,-32.40350662843227,-23.102609752086934,-23.056812940712344,-23.48369559423356,-23.63131780292413,-24.016065352129235,-34.0270656228079,-33.822471974562866,-34.90325824207065,-35.299255595587425,-35.89136495424922,-35.18830020049523,-35.14818683863041,-35.183272700223455,-34.297082701487405,-34.28721357539772,-33.90918397017533,-33.59821771511814
"Net total",202.18388873142231,199.5674799476126,208.1710291340155,209.3864496388281,213.86601255004615,214.62995715030965,214.4208006874368,222.36511701860974,217.30706724044666,215.43474229097353,231.74514686435532,202.8116213237715,210.1838305390941,201.7477355344871,209.53385150789245,204.69543174803619,219.55609306554942,227.3219737037147,217.45457992978749,205.29644518292474,212.95372963456657,204.8408157573128,197.70522977985542,190.85620697532937,186.61234205243562,184.11914821739026,184.76911924257232,185.22265722455612,193.7629893079352,194.96223847890442,177.9776138302391,188.07294726094275,194.6271712404328
"Gross total",217.27517920043874,215.46702232926611,222.7533099693248,224.50542016479832,229.3782574828315,229.63253983422945,229.25895682141885,236.64621518501284,228.49707207662811,228.52111336083655,245.88178053486476,220.2641241061857,226.33886258566855,219.58918862454414,225.10895455881996,220.1604659149826,225.66612649152222,230.92431667613073,222.5071847155379,214.4095971433667,222.3261208173787,227.92597389024036,221.58668279869642,217.60288637443142,213.87230927074464,211.8757346418819,212.07650669762316,212.35265538205738,220.84818838495755,221.36381967100394,204.02648814020907,213.62119146722472,219.9509157763967
