"Texas Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",598.333514575066,592.8630503257556,595.0719183385391,606.4616815936334,610.7584859900669,613.8997426877218,654.5701117886923,667.0210064321303,678.6429970280582,671.0927614132361,704.8942090428236,693.4084055460326,707.9027467032159,699.9028440530495,699.8510299453193,675.0686397257809,680.3803849191479,678.3882816366074,656.5174542514447,612.0460481364091,634.9898816368365,659.5669408699713,655.9929152280774,694.9200875773893,695.8294948970953,684.1388589441395,677.743883121342,686.8741792179625,714.9620468685968,708.1830023423616,648.1385814207757,692.9111319888287,701.357777037704
"Methane",121.31791471717615,121.07756859448371,123.71867126143303,125.52482030022918,124.75883123288878,125.21700234620627,123.57917506121771,118.89703676441846,116.17775133134585,110.3316399610687,113.5899424933713,112.36394406345485,112.2378825564108,112.75791718909598,111.29816986795417,110.50837887829468,112.49195363643781,114.92390206031047,116.38110938690551,111.85978995100521,111.1101374730738,111.84167204233363,107.55565023621257,119.19213469592464,118.32123662868645,119.32409701223399,107.81699200766539,109.48700514261695,110.65302583305828,115.66339272216123,109.17430747532227,108.05274185947401,102.33945257879952
"Nitrous oxide",47.88094839741574,49.57451366552344,45.58746241747928,46.7690181729047,49.153069054868446,50.4094218176432,52.13095217655012,44.40812473907997,41.25422459140121,40.02967590927174,41.44191534238281,39.7577208029113,42.051059481755345,40.58042383698055,42.628970728945575,38.3916110600222,38.84452331959451,40.87712480387981,36.238664160218974,37.70273265547912,38.50653552915643,34.00377246870401,37.0774425004056,37.877166986419155,38.96601822958041,39.063672676108595,37.5824549459831,37.15852537455818,37.95889509136569,35.59749945796771,34.98219525876795,35.4924661275615,35.285305844616715
"Fluorinated gases",4.1384069165399655,3.959708128631726,3.8992235901185386,4.174457608331998,4.6922721637076705,6.18576358301396,7.200080278381329,8.133237143297066,8.977968141167601,9.764303910747303,10.028247564068202,10.21463306256404,10.626146245615642,10.89015666438053,11.153049025769922,11.506015318350011,12.34263785320976,13.045493330452231,13.563359599913959,15.697177488460007,16.64259227505182,18.510655358281866,15.879405686776114,16.11466646106114,16.516979380227344,17.467532549375715,17.927582270234936,18.846573940733236,19.045261465006906,18.635591083413804,21.13969522786658,22.291210538333743,23.420230272848226
"Land use and forestry carbon stock change",-72.73118657203013,-70.73983379569877,-72.04067571004526,-74.97363662494651,-72.15722851055422,-67.24990207145686,-70.16523834759882,-66.2927764272591,-71.97466246882408,-62.79366931315881,-70.21809625826415,-65.42074769937174,-61.22255888208986,-61.77894586348617,-61.20500965134242,-63.109480989224586,-63.37145192246706,-55.27627638653376,-62.94441477349115,-56.41312060510858,-50.56316658908879,-61.327443114392096,-46.153301294556265,-50.37961212823402,-48.88800383183514,-49.586080757656404,-48.02672857505879,-48.47947447513231,-48.81530663941128,-46.05048083587784,-48.12486672442515,-49.124331454546194,-47.48989141862956
"Net total",698.9395980341678,696.7350069186957,696.2365998975249,707.9563410501528,717.2054299309775,728.4620283631283,767.3150809572426,772.1666286516667,773.0782786231487,768.4247118811651,799.7362181843818,790.323955775591,811.5952761049078,802.3523958800206,803.7262099166466,772.3651639932233,780.6880478059229,791.9585254447162,759.7561726249919,720.892627626245,750.6859803250296,762.5955976248987,770.3521123569154,817.7244435925602,820.7457253037544,810.4080804242014,793.0441837701666,803.8868092007385,833.8039226186163,832.0290047700266,765.3099126583074,809.6232190596518,814.9128743153389
"Gross total",765.7259298489122,761.524913738188,762.2217218944478,776.4906535879692,782.2040729620693,787.1521062542267,827.8316262481345,827.8718307806579,833.7530227216271,819.168998839349,857.1910194749959,842.3666029781027,859.0083792500515,849.8441271503028,850.2165632824776,820.311214396927,827.9757625813817,830.6663286438239,805.1677872442485,757.2242850882603,780.3676034301235,800.6710589268533,796.5099885355686,847.8001301531917,849.000857559999,838.3552976785165,819.0156933535577,829.315467538101,859.523654286515,855.2701742775523,788.1064422344169,832.3327036436827,835.064531251089
