"Utah Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",53.49583125693813,52.289145355374124,54.02241474579121,56.05522623517188,57.4118832187517,57.90580495570973,58.21087115314973,60.517810203299554,63.53123972931087,62.70415293971082,65.07400022593046,63.533406952180094,64.07234151414289,64.75805973090334,67.05679536328563,68.7190428510007,70.00017844290839,71.90612078497384,71.37444581879973,66.13014137252672,65.55929285808887,66.1192524802209,63.44231156211312,68.29231215275827,67.13961248018916,64.9236904880083,60.22761169959462,60.39922057676735,62.28825951691485,62.78257019351298,58.65883221964547,63.52086198367826,61.101893667468374
"Methane",8.512723068174402,8.485989867392192,9.137513467607798,9.314119288281415,8.920325310642397,8.87324429414274,9.042196085866294,9.298533995394596,9.754573297958466,9.20937963917909,8.90799541817824,9.01960249167195,9.339814096378705,9.200567039516502,10.236757920695705,10.33412606008792,10.7152955735451,10.134605355081847,11.254639355387614,11.119334299241052,11.181274546701534,10.240845800092977,10.971095118448337,10.872169628428207,10.852066731857251,10.866027134413194,9.576039790462275,9.50610442829822,9.108248135413982,8.811762005726697,9.808948328751805,9.875828439186458,9.809118872867684
"Nitrous oxide",3.051038368408516,3.080440000774361,3.1024270632190367,3.332533048714442,3.197803936775898,3.3197785454178588,3.22573239244209,3.56265444174041,3.607961065729132,3.286515517652292,3.383879130320492,3.252396202621489,3.3203927394880206,3.2229789959081776,3.3386775916101463,3.54344137789016,3.3945173553265655,3.422584699022695,3.2986801735336297,3.272898301543642,3.3963975910389896,3.362902487812847,3.3223878906937814,3.470295364799334,3.499320757818083,3.4639529327009515,3.3393840930825167,3.2822282383013444,3.28393324234558,3.320000063814424,3.025101446198199,3.120866844791228,3.12265506191996
"Land use and forestry carbon stock change",1.534326346461734,1.8432013778197291,1.220157921863506,2.5844835990693986,2.307385128724739,2.1040823484932196,1.3526880964406762,1.9783531379433075,2.3414492203363277,2.0174543969877563,1.7148500494157843,1.7585006811565078,1.9470987050895514,1.8723670821490606,2.179351402677946,2.2666785730755152,2.252480411662136,2.5208364048712975,2.2915340733486924,2.1289669753249214,2.4535946494599554,2.096265766639345,1.9568892524689652,2.8979533371205517,2.745633488809963,2.9080696597157214,2.0694389429903386,2.1804384878938277,1.8673669170516651,1.584255500424907,1.8591593466576526,1.5013984506882891,1.6491096123720115
"Fluorinated gases",1.4389254518369914,1.3746885482405573,1.4129342694546163,1.4736260383751967,1.5002863380350375,1.6413044765384046,1.8516478775530474,1.8690407332640016,1.8415166295682452,1.7919261247560092,1.4300390735220185,1.1805873973622203,1.4322338160125332,1.7666738467991592,1.61792350966936,1.5936853656541143,1.5898970070060265,1.6976234313607557,1.6496820408619906,1.4964924448902106,1.5577437449963794,1.579822063087342,1.767066468159739,1.6617431677514418,1.3221673339768039,1.2415072528421103,1.1479465133685558,1.0471164576164154,1.0838507742345391,1.1007690799421288,1.2538318693200043,1.238324545665278,1.1876104780198466
"Net total",68.03284449181979,67.07346514960096,68.89544746793615,72.75998820961233,73.33768393292976,73.84421462030197,73.68313560545184,77.22639251164186,81.07673994290305,79.00942861828597,80.51076389736701,78.74449372499225,80.11188087111168,80.82064669527624,84.4295057879388,86.4569742277084,87.95236879044823,89.68177067531043,89.86898146193164,84.14783339352655,84.14830339028572,83.39908859785342,81.45975029188394,87.19447365085782,85.55880079265125,83.40324746768029,76.3604210394983,76.41510818887714,77.63165858596062,77.59935684342112,74.60587321057312,79.25728026400951,76.87038769264788
"Gross total",65.7407133502766,64.47957359345,66.90792212533017,69.38819877387634,70.16039136053249,70.8096204062006,71.29670645889998,74.21934202904244,77.64953436890187,75.83626213076063,77.55152973896502,75.73117386233123,76.58050311748636,77.66812379183402,80.93112307900593,82.77714470377337,84.24500229705046,85.55847742827427,86.079862273753,80.37896147902696,80.1281552635137,79.7797614013875,77.57411645737113,82.66247607758781,81.2056073578972,78.94790390694554,72.69635114349335,72.42232521187864,73.74839910798947,74.36314865403764,70.81119563424643,75.88357871854926,73.33222458182723
