"Minnesota Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",81.23533981987794,80.7866571505917,81.79960313842479,86.45369021495821,88.01990792009106,91.21965637241914,95.97822345345428,94.2497925075947,95.02512571204534,95.30118511731351,100.96178583000939,97.55630980959916,99.94307826737872,104.64031698963679,103.01198640475104,103.0598837036448,100.92872368494788,102.16909607533628,101.75726631279443,94.13037895894443,108.46309541091962,107.59740303910849,103.17107131993475,106.96150784058655,113.82035379478339,99.94534477451106,102.00956522899354,102.56403969649904,107.93743241549029,104.30879117399276,90.4717265296104,95.55254780420975,96.17737092327134
"Nitrous oxide",19.042708300940202,18.25580417292403,16.801897685204157,18.344457086257822,17.470314714923887,18.139506523600822,17.36269674783235,16.985711869100022,18.209321035329996,18.157975116727474,17.41933131475056,16.0521421443919,17.270043914339766,17.426558302921496,19.206261603077543,18.5800510974545,17.089483269504306,18.03332223021212,18.41173433307069,16.966425165979892,18.11341327113379,17.185517915860245,17.047117666442926,19.034261860377345,20.264074357850557,20.048010964907338,19.138764430507663,18.293879372042333,20.83045689860997,18.33888494000106,17.23771924615652,17.828389586632003,17.375941181495147
"Methane",12.646008524604548,12.802197401896183,12.557223431246067,12.609843461356862,12.384922560483508,12.587240516582497,12.626596065800245,12.694929537233206,12.72669499737481,12.636434635471263,12.569653279768737,12.46978033864687,12.286362696875177,12.39878538180214,12.049270299705395,12.27347934472762,12.375804863173455,12.522860961150533,12.187135886817822,12.159762201013296,12.338120309002935,12.70117427364455,12.624723557303474,12.297041183217962,12.172143381288148,12.726538245273565,12.925104366515601,13.030079992915121,13.380929899032077,13.426202030076741,13.014870520278723,13.106312569858137,12.933604598616322
"Fluorinated gases",2.170900973802015,2.1971952883510557,2.3104717823917906,2.4609766335291394,2.657285502873591,3.0286852916810827,3.033361068275803,2.9362689457122646,2.7211827275626956,2.579871503003431,2.245294934950143,2.322343327447015,2.3799463946527184,2.513987042954146,2.5461074635809995,2.5750674527744053,2.6530932071837787,2.8773609455975815,2.9309850076597073,3.0787246830432573,3.30845582490251,3.4979973627613994,3.462111963625661,3.423075391477124,3.242560308540213,3.3311590485673523,3.1653086745814467,3.38395962400484,2.9992627278986914,3.0759669145273043,2.8826803209904512,3.0106859602159646,3.0512859658243894
"Land use and forestry carbon stock change",-8.861016654057735,-9.813598114743339,-11.39296723525535,-8.18876765607015,-8.885901143606116,-9.30913954493952,-10.441761207246543,-8.624658378881458,-7.530116238445819,-8.384535117762908,-8.747225289888126,-10.133980112137417,-10.331224927530096,-10.823994376355206,-10.72369455345654,-9.816583167626675,-10.825826594142185,-11.237990966984333,-13.171072616718961,-11.441093356964982,-10.759805240812932,-13.61701026850734,-13.233499021743317,-14.221188151778744,-11.82708814351279,-11.669849414383155,-12.199926761662832,-12.156602853131952,-12.111914656285924,-12.840044037842864,-11.445683900027024,-11.848636029118445,-11.78161501648861
"Net total",106.23394096516698,104.22825589901962,102.07622880201144,111.68019974003188,111.64652955476592,115.66594915934402,118.55911612811613,118.24204448075875,121.15220823386703,120.29093125475276,124.44884006959072,118.26659550794751,121.54820634571628,126.15565334095935,126.08993121765843,126.67189843097464,122.22127843066723,124.36464924531221,122.11604892362368,114.89419765201589,131.46327957514595,127.36508232286734,123.07152548556351,127.49469812388021,137.67204369894952,124.38120361887616,125.0388159389354,125.11535583232937,133.03616728474512,126.309801020755,112.16131271700905,117.6492998917974,117.7565876527186
"Gross total",113.42652789394309,112.53821210662137,112.04693881587221,118.37828160410396,118.86309676411123,122.94102349008523,126.76568811502194,124.45902724716791,126.06769322888698,125.96167860326076,130.26759539150063,125.42861684639831,128.79657705323882,133.70018638394728,133.53554315642663,133.0948189199379,129.37665992270024,131.8967802094727,131.5219709111687,122.37170527496913,137.90209219784313,135.93229722750687,131.54895394049888,137.38638778089793,145.40643773927775,131.59012881216978,132.95670754327276,132.80352518107566,140.9726428458431,135.00975486951933,119.5682593544328,125.23590446757618,125.37384818106317
