"Wisconsin Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",88.83335176714465,91.44950494009743,90.68102197983403,93.6336054980396,96.82948416705109,100.06240682547012,104.1311945303349,106.61553949445377,104.96811640726297,108.55272027645415,110.82933298362464,109.12510859009322,110.5560505652477,109.44133166723168,111.19882167211524,114.21052877689144,106.60847467918403,108.60995735711195,108.31479709335194,98.88510084269825,100.96384962812917,100.00508057182608,92.60009445016883,102.79766493657725,102.77221972430641,100.75791500475114,96.61834518062706,99.4813156658391,102.29186399275866,95.60343753482019,87.88969722265718,93.55402881147835,92.00550422926702
"Methane",17.238994268082415,17.521090815389808,17.56820334522259,17.13135527269793,16.667717693552262,16.70671571241226,17.04354553440301,17.07897387746568,16.988577467770664,16.617167983356982,16.5497019670486,16.435046930179112,16.22740017241187,16.30017482869802,16.12844743522986,16.53304983797148,16.545670212640346,17.054617143957408,16.883690543503114,16.604846056995974,15.613931277348524,15.680399843524443,15.996503070396173,15.959037789057827,15.833173351706497,16.56731008434221,17.041916655844528,17.17041661330222,17.218611345217084,16.90337089751971,16.895004422070937,17.080057006638754,17.177716289622815
"Nitrous oxide",11.789095547896888,11.549455018666876,11.021384816492946,11.474046788532082,11.345937058828303,11.337560104597843,11.233177318014208,11.02527966490487,11.547356083571845,11.659472809179414,10.58700315326682,10.600327091037721,10.970188985129852,10.870030515653433,10.674889376386995,10.466528156184797,10.934900635245466,10.437563470435316,10.15597151372087,10.049006573921622,11.102549186341623,10.312372585898665,10.04445239469635,10.764697433439585,11.789158171616585,11.341809906843164,11.138243530013016,10.738653502822933,11.683504319325952,10.729617712214253,10.299689312308935,10.402807534906785,10.187756862230065
"Fluorinated gases",0.5898265168299469,0.5707343058338,0.5899285814591314,0.6585148828278301,0.8024892994999181,1.1117507736479582,1.3271008927966512,1.5348967321795879,1.643233407285568,1.820694138124869,1.9600229669407294,2.099671294052456,2.1805679300138125,2.2656923699649765,2.337908035021594,2.4169687508269995,2.5243745693487605,2.6552758128616363,2.8159593832214282,2.957265681063105,3.209140368723798,3.235459238538211,3.3542262357693016,3.275156539304459,3.008357434869645,3.1962721775368483,3.0194165125548844,3.2132251338210565,2.824717004566992,2.8631853588919176,2.758966567011873,2.820549666660746,2.884970181791199
"Land use and forestry carbon stock change",-22.314779054816956,-23.43566870818849,-23.038183237775602,-21.26986822454397,-21.9173326794827,-21.66463250657825,-23.293081499425483,-22.772122146362374,-23.701077728363217,-22.500545583954707,-23.0586088391475,-23.478303211392443,-22.944164231051445,-23.901895661430807,-23.376768804891437,-23.11879166749278,-23.46809369021643,-23.42784167272137,-23.8086764505325,-23.91998462461847,-22.71398259665013,-24.397800919009843,-23.251746338382034,-23.23690710685627,-23.074922726053924,-23.04918395490754,-23.306841924395957,-23.18808536237599,-23.393974452364905,-23.37143910187897,-22.399979274931585,-22.693422652844227,-22.58572623865823
"Net total",96.13648904513695,97.65511637179942,96.82235548523309,101.62765421755347,103.72829553944888,107.55380090954995,110.4419367761233,113.48256762264153,111.44620563752785,116.14950962316072,116.86745223173327,114.78185069397006,116.99004342175178,114.97533372011728,116.96329771386226,120.50828385438194,113.14532640620216,115.32957211164495,114.36174208326484,104.57623453006046,108.175487863893,104.83551132077754,98.74352981264862,109.55964959152284,110.32798595644522,108.81412321856584,104.51107995464353,107.41552555340932,110.62472220950379,102.7281724015671,95.44337824911733,101.16402036684042,99.67022132425288
"Gross total",117.88114121890173,120.51603492406805,119.25644250381904,122.20227420220161,124.77044159913677,128.00113532944775,132.27552380050335,134.5568393689025,133.29119918252704,136.61972038770426,137.72963204358766,135.91371506750878,137.4840530239822,136.2651238372909,137.69339160504688,140.89092586590414,133.74802569832826,135.74476383412755,135.00115715413045,125.16164631328589,127.28338009925308,125.57756724916408,118.20075105216385,129.07259581137004,129.94467346934243,128.20882278927303,124.33484519189592,126.93048809930443,130.7229361245633,122.78468344343277,114.63983299886272,120.58951962803188,118.91752679639947
