"Arizona Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",64.55675315494656,65.06536899843032,68.11200446841444,70.5820381548813,73.62776959527217,68.67755742694881,70.56611265019133,75.15299553516921,78.75608003315561,82.62123726433168,88.06647019057313,90.33715108453534,90.1253281130614,91.92199439520496,98.68317441249468,99.48733401682337,102.49833281019339,104.44921201439176,104.59357823319779,94.94860233576696,100.3818429138465,98.28026302778639,96.0903443885683,99.20142202241209,98.01229995731686,96.1734278796449,91.67007068940883,91.35535531265911,95.29059160714435,93.70447865561779,82.00064411775628,84.9645947943286,83.51420752195334
"Methane",9.17818549092193,9.240202731045217,9.203847618157518,9.364305859612736,9.351571052623866,9.325971082150238,9.153949406804625,9.12964752313101,8.830313862563585,9.255570090966822,9.21254486693969,9.039750353968936,9.291140425489273,9.191177322670676,9.34591397143122,9.566920261494937,9.285516826845909,9.25861995492562,9.135157929351136,9.053699180006694,7.265285445054938,7.415864407810176,7.29987937098712,7.213187130314879,7.586894007242865,7.409534979380145,7.541097016109625,7.560939697058732,7.609476455853004,7.755432052199457,7.191618163456157,7.034146053131335,6.849526571297377
"Nitrous oxide",6.358000603176745,5.522261733631229,6.323375760957113,5.958579376229212,5.977264928806452,6.075827705751197,6.16551190413756,6.331871671282882,6.705734633847682,6.671218515143223,6.268265596786768,6.313301355326552,6.267307189376521,6.553211761761566,6.883268204116151,6.7315056930880885,6.873965677923431,6.639826408417358,7.007387793901497,6.323484261595638,7.0029334084408585,6.859790805181788,6.624475499463124,6.73986667339898,6.748993978214798,7.027047842508448,6.605957405385659,6.37761987644595,6.885001611899347,6.593314345464529,5.952243067785978,6.163196815303411,6.157367622512437
"Fluorinated gases",0.933120951514341,0.9172594816663574,0.924685290727034,1.0661212991298132,1.1843803273467446,1.4937062659427998,1.6924981392590208,1.8512479669586344,2.1137872862347615,2.2405408791472357,2.143127255728882,1.9497342452516129,2.028620072509849,2.069338620350112,2.0943874834011615,2.1443088368436,2.2988468836278972,2.354825596523485,2.448570222950399,2.6613922357551383,2.7493286131556274,2.0379622573826848,2.4940997281676096,2.1468616232275055,2.1922730934058365,2.0874296325168573,1.9701930205350793,1.8658941231846597,2.1697716169570387,2.064232851555491,2.6506935478867755,2.783906866895654,2.7518401196989863
"Land use and forestry carbon stock change",3.2365456292621664,2.262982756981603,3.9158421489441504,1.893333572151394,3.192528008089462,1.9712326649901586,2.1793382964894863,3.4729259187443478,2.8610359626510697,2.9102932290747923,3.658844151920512,2.4344872633415124,2.8575888999277814,2.82589972162071,3.747406287492425,3.087040286403201,3.181019157239962,3.8359170597794803,3.6010141450305424,3.5339602093549445,3.614576313217788,3.9734524035747087,3.2703948774128238,3.859135863918787,3.747198847214742,4.136550057063005,3.3975216248991753,3.140687525715479,3.8680895856833923,2.3221940808633055,3.211176323004418,2.2923749868517778,2.5331348270278817
"Net total",84.26260582982175,83.00807570175472,88.47975528720026,88.86437826200446,93.3335139121387,87.5442951457832,89.75741039688202,95.9386886152861,99.26695177845272,103.69885997866376,109.34925206194899,110.07442430242396,110.56998470036483,112.56162182160803,120.75415035893563,121.01710909465321,124.1376813558306,126.5384010340377,126.78570832443137,116.52113822247938,121.0139666937157,118.56733290173575,115.77919386459897,119.16047331327223,118.2876598833951,116.83399039111336,111.18483975633838,110.30049653506393,115.82293087753712,112.43965198570058,101.0063752198896,103.23821951651078,101.80607666249001
"Gross total",80.43484820818347,80.18494375228818,83.98543815016156,86.23845795898607,89.29638242921058,84.55783385366496,86.30646652889565,91.27057953454155,94.96388045130723,99.23382551798979,104.09429458872937,105.9876976039424,105.54028644153695,107.72947777172466,114.96006666620588,115.72568315390721,118.71658763727521,120.4759610951324,120.80669040625547,110.31580818631566,114.97652975695415,111.39238455415041,109.62791306069913,112.87888321202317,111.99950090608114,110.39408349008337,105.45752992566979,104.80545731767336,109.49368894633321,107.72971665536011,94.74812288660588,97.90700203215985,96.34123399378065
