"Connecticut Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",42.702958587273415,41.963065089768186,41.93882680295521,39.5649512061751,39.00237018736178,38.2212712633956,40.85039703363815,44.40572279377518,41.58131486424992,42.35340126424996,44.65780082214784,43.06210135491602,41.21665096601865,44.74794290821799,46.79046268478199,44.96642705198888,42.938834778158686,42.01047367345252,38.6938191928727,37.32179969756185,37.61262376566482,36.39656432305815,35.157249330677885,35.62172586693334,36.05346624997813,37.25917709633643,34.90891750355265,34.29791499163493,37.95976182430603,37.40319859561196,34.68796440422485,36.94840303598432,37.7624539451634
"Fluorinated gases",0.10730391551680481,0.10683119382745791,0.1238980730228167,0.16230123017624778,0.2421401037882526,0.41081374755717065,0.5264185628002239,0.6336348003482765,0.7104976595277113,0.8081358224960984,0.8827030767478897,0.948885642198357,1.0089366305768783,1.0509872348391136,1.0901611882604376,1.142706635641949,1.2080753632545804,1.2771766000578333,1.386191475548568,1.3923326045310758,1.3231227492289461,1.3902387864740982,1.453579020072523,1.6742834913775482,1.8968740482741082,1.8334420598014731,1.8367450126300977,1.5682040520915,1.7703362348060836,1.6810683587990078,1.8776479117233809,1.9536595860935495,2.01114409360306
"Methane",1.788553141515898,1.7408343460208942,1.6959790991777228,1.676804356371437,1.6604507243496076,1.6120462617705638,1.5787626140820226,1.5100862363154808,1.469758252638159,1.4640812550528934,1.4682570317380848,1.3995581897232376,1.437184072455387,1.3383619022094464,1.315562854739295,1.2640553201130746,1.2314448447229567,1.2235230928772143,1.192066186713951,1.218575514302481,1.4863828397317427,1.2745736825401173,1.2299944430212382,1.2662126980174622,1.240327435247623,1.2593909128005405,1.2179797641538737,1.2194302021761159,1.2373607252330292,1.253147278389917,1.213474901622518,1.2022533057172442,1.1965662274535505
"Nitrous oxide",0.9583723028759622,0.963954849466317,0.9765196905342111,0.9922278410118337,1.0222952658739228,1.0417412288133847,1.0524009374971872,1.0552095715178362,1.0414990510768911,1.0424673684205519,1.0521585973057943,1.0190957870393722,1.0028768536509476,0.9878768239969922,0.9744070362047904,0.8934055257716198,0.9139798449512403,0.8662708016096752,0.8481735979823212,0.8152563303836563,0.8176504503838512,0.777962264048375,0.768407460566608,0.7554942256061832,0.7160022182368967,0.6697233826615245,0.6544973794284532,0.6398474274062018,0.6469567127848453,0.6467198449869502,0.6360006471027635,0.6398652568972493,0.6134571772756631
"Land use and forestry carbon stock change",-4.819834389843229,-4.820063611697348,-4.845384506976796,-4.849589622870483,-4.812231055984655,-4.781562469398577,-4.805357125771977,-4.814389062911187,-4.831935500113319,-4.851304260081512,-4.787761670080324,-4.768063711732151,-4.733849399033615,-4.666091117793629,-4.658707068750701,-4.652679819532976,-4.659213087541096,-4.685440821862762,-4.7288253791701305,-4.768852077176181,-4.7521292340910914,-4.735562820635821,-4.7141270877361094,-4.739575074465216,-4.7635021303879235,-4.732594921334584,-4.6974532024022295,-4.761516454031386,-4.722889618487139,-4.749858384572044,-4.73478170177149,-4.70570522767341,-4.687934952319901
"Net total",40.73735355733885,39.95462186738551,39.88983915871316,37.546695010864134,37.115025225388905,36.50431003213814,39.20262202224561,42.790264339045585,39.97113432737936,40.816781450137995,43.27315785785928,41.661577262144824,39.93179912366824,43.45907775146992,45.511886695235816,43.613914713982545,41.63312174354637,40.692003346134484,37.39142507394742,35.97911206960288,36.48765057091827,35.10377623548492,33.89510316660215,34.57814120746932,35.143167821348825,36.289138530265376,33.92068645736285,32.963880219277364,36.891525878642845,36.23427569321579,33.68030616290202,36.03847595701895,36.89568649117577
"Gross total",45.38428870109144,44.598345890400736,44.54431332189403,42.163028535857855,41.610900163956245,40.80523802949432,43.40950162720082,46.89287551098192,44.01252120962094,44.791098093043274,47.10189788733155,45.39695085484882,43.5783452703502,46.981635952892184,48.97825710195074,47.02505493219789,44.981330298833925,43.98759550441822,40.64374794582849,39.24198121363767,39.812528848015845,38.33736009925522,37.034033379651035,37.52387367702123,37.879990172853404,39.05964338916901,36.646654995997544,36.02545088964251,39.71342921301141,39.174411747786166,36.41740386107665,38.6636211364894,39.43987815699305
