"New Mexico Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",56.72162934173579,52.09414120490109,54.83989714838845,57.20554984569319,57.806132700144396,57.651134291300274,57.73990413703729,60.72186990772889,60.480992009449636,61.42709492706901,63.63502395618478,63.316646101461,60.563433222650886,62.91548226372421,63.95790004698334,64.44458396180224,65.1830415368183,63.49165512143239,61.13138156046179,61.8903366998508,57.74616149921432,60.202746577712254,58.09554560861826,57.78501258164049,55.08630759591003,55.16396275108674,52.71368390781699,53.20660325281379,50.14052997897629,54.48352836630283,50.26562837404565,51.17155877415309,52.073710434799764
"Methane",15.168335871083304,15.371398913690628,15.951804608782487,17.22215452072833,17.895864819415046,18.61723547056822,18.726734769085294,18.88927601432587,19.234751449828373,19.491999326776654,21.161737118131306,21.226984433757146,22.283155172935814,23.59524169144835,24.439592844551353,25.56499550110281,26.487256645944207,26.941880582294726,27.251815742418007,27.936770769870453,27.212470377497944,28.11001462533127,25.56756163231002,24.637624784996103,20.548969380864527,19.941217191654708,19.82931215141695,19.58984516841785,20.029063380448232,20.68391448864425,19.630624638856563,19.079397657991997,18.937687334122984
"Nitrous oxide",7.126051833779437,7.4366486252254065,6.635392499808735,6.857432725483939,6.871033790730492,7.097510404778072,7.8659093168604555,7.480087340089644,7.120259959209282,7.336116469326127,6.7874777371521695,6.908381296790488,7.489908753174906,7.193564560978826,7.714849617036627,7.498183061153117,7.979415289067083,7.023205100436553,7.6380218147439685,7.199352819883921,7.550756439661027,6.952258313955214,6.722551665430499,7.798804909141998,7.2119387114028815,7.673608019675051,6.96155189471234,7.5558346290395795,7.029306725155222,6.788223920513998,6.317101189517336,6.504034753002517,7.064319300230975
"Land use and forestry carbon stock change",5.652916046020913,7.723638201640023,5.334967132183692,4.712227914912119,4.697343496153333,5.601604757822056,6.738777440188084,7.397851668602104,4.638585779006247,7.197785890504012,3.6652696132103397,4.361114871052295,6.564767097197804,5.798597661653213,6.8187980403807575,6.156046528903097,7.014418653252067,4.996881033109079,5.716049760086908,5.39729299813321,6.555151105876002,4.526182570087222,5.239147352969988,6.524586495647414,6.5525284096768015,7.729316993602428,5.768130441336511,7.124518167712308,5.9900848210340065,5.307704319311755,5.300714868080753,2.9870976584776874,3.600907148029898
"Fluorinated gases",0.7006402263312649,0.6877295607117774,0.6893950945606298,0.7707318055724405,0.8235459991212122,0.974088433159592,1.061221357349772,1.1217113285298734,1.2499811231774351,1.2958212121607038,1.196537123099754,1.0359170840321852,1.0585083619470717,1.0573570956036027,1.0468347254729644,1.0362841616010674,1.0908757889967358,1.0810889852738128,1.128541945838417,1.0917250781610408,1.1613054287540467,0.7067860625525593,0.8555510673682698,0.7300125741017547,0.7095283174119438,0.6486944846724139,0.5973707059886573,0.5407858658276681,0.6030916514544828,0.557821840697953,0.7211811258252704,0.7506098064079291,0.7504200145968258
"Net total",85.36957331895071,83.31355650616892,83.45145648372399,86.76809681239001,88.09392080556448,89.94157335762823,92.13254702052089,95.61079625927637,92.72457032067096,96.7488178258365,96.44604554777837,96.84904378709311,97.95977260790649,100.5602432734082,103.97797527442503,104.70009321456233,107.75500791407839,103.53471082254656,102.86581082354908,103.51547836589944,100.22584485100334,100.49798814963852,96.48035732669705,97.47604134552775,90.10927241526616,91.15679944069133,85.87004910127145,88.01758708381121,83.79207655706823,87.82119293547078,82.23525019632555,80.49269865003322,82.42704423178046
"Gross total",79.35665732626947,75.26997659859208,77.72136150328595,81.43063509166716,82.86987715884104,83.65548086726494,84.7113734462008,87.5689074948862,87.43283284560482,88.86739995246896,91.71479047870854,91.79238863748117,90.2978926888296,93.66288830548706,96.20882188747139,97.59699664574777,99.70612865046839,97.65544741964689,96.17511632755055,96.96407789597454,92.69150598566563,94.2990893100665,89.82667035727816,89.74766936271598,82.64038939685544,82.58843960866422,79.24528998515528,80.05921357899281,76.68258118619698,81.70269409217902,75.86572958455885,76.35876926775548,76.13107159060368
