"Arkansas Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",54.1325454188393,52.85684370287462,54.87268840458286,53.91002135097526,57.66368602865076,61.15223884036443,63.59042314499852,62.5664178041477,64.1638884901373,65.99155402565587,66.73552085958198,65.52346374514372,63.771660663662416,65.1293248829268,64.98827045496508,63.53667241781487,66.39549667749057,67.48199330474125,67.27256169052917,64.17659558580002,68.90066587682583,69.97008114727079,69.29077016351452,70.93982585794753,71.73657680167099,61.42857808756766,64.27900742464529,66.13973784495717,72.72922758963492,66.9690070010685,56.46657112746006,64.08661276293245,65.61883298443253
"Methane",19.29265964081906,20.75363575931252,19.09949864332408,19.91266639746305,20.25769599621091,19.731423935250312,20.023380279458134,19.185669643152327,19.651636601210512,19.13735319483594,19.28950429481519,17.61183421278654,18.183070773029108,17.30293763169948,18.630340742800055,20.192121194362567,18.902806323281215,18.796854043317992,18.81333410163692,20.746392580811666,23.708918868874385,21.892513597134293,21.13060023926235,18.88125155465632,20.261322428202124,20.252982039933368,20.60661953662464,19.00721943114144,20.13136425930853,17.302958519855068,17.26075212885572,17.17755051989105,16.926517858752543
"Nitrous oxide",6.8209052634137235,6.93278947359078,7.0710144760958595,7.185217198037965,7.031926737403585,7.331785327134157,7.210194210248394,7.421837736275457,7.880560209195968,7.4589882581077,7.730496304008016,8.141757487925494,7.4956817989871425,8.186976364024794,7.790605304989661,7.085275656708505,7.946289651511935,7.949676306873952,7.702706237415463,7.479255774653092,7.321618484150243,7.887021502069525,7.649172217454921,7.784506066323415,8.129550860585121,7.635140900502036,7.295435678127475,7.295855941437675,7.821922495478079,7.6431328722872705,6.97110061357991,7.070549967469693,6.945139561065412
"Fluorinated gases",1.786645454346327,1.7741277041481756,1.7845887560313205,1.8218966147258002,1.9311760804698548,2.3067886439997873,2.585983872386363,2.8934717373063803,3.17813925831679,3.550842868216818,3.7231272361283865,3.903715053956892,4.1285877326978415,4.361121243949041,4.204021725637605,1.3658765821551038,1.4260490436431568,1.4872077254635678,1.568365774900799,1.8435007266166497,1.9014810515160732,2.0095602062485285,1.7050665327610273,1.7210462226146852,1.7228205161532075,1.8231795237840511,1.8294210820689378,1.910307659984034,1.924295132557505,1.864746823274042,2.1459650441163185,2.2164845668343363,2.2754033514532757
"Land use and forestry carbon stock change",-54.6929628129716,-53.67705755902516,-53.17788189926134,-52.45569235026992,-51.678457220208074,-50.39726428539828,-50.13949323825081,-49.063356276004704,-47.82291047131571,-46.842546414014286,-46.112411928456034,-44.870075188576955,-44.35105512942732,-43.29667456281426,-42.15261463867911,-41.364437646760166,-39.70234796714869,-38.53299128842834,-37.2941561021192,-36.36843058891736,-36.17693303773827,-36.31094576547106,-35.62445858697795,-35.93511955955526,-35.80092038330221,-35.996453443109246,-36.47009359267394,-36.125262557949796,-37.60534804916953,-35.7332453986761,-35.1262016193392,-34.93205584855514,-34.244256809232446
"Net total",27.339792964446815,28.64033908090093,29.649908380772786,30.374109210932154,35.20602762252703,40.124972461350396,43.270488268840595,43.00404064487716,47.05131408754485,49.29619193280204,51.36623676607754,50.31069531123567,49.22794583894918,51.68368555978584,53.46062358971328,50.81550820428089,54.968293728778185,57.18274009196842,58.06281170236316,57.87731407896406,65.65575124362826,65.44823068725208,64.15115056601486,63.391510141986686,66.04935022330923,55.14342710867787,57.54039012879239,58.227858319570515,65.00146142780949,58.04659981780879,47.7181872946728,55.61914196857238,57.521636946471325
"Gross total",79.45572386223614,79.73935101698217,80.23422127026939,80.18753318394982,84.11291324664424,87.35146537703416,89.94398246024262,88.28256744998667,90.75577309200644,91.66947635039003,92.77750563773922,90.3162759186385,88.45480592197433,89.39519494649858,90.25678895735231,89.69278790443188,92.00585975928335,92.93741052479197,92.58149898556884,91.33285209964596,98.70154899413791,98.54241722270348,96.92575803180482,96.28650540274116,98.879900869393,88.1215639801845,90.83609040263448,91.17021203124895,99.42245289413798,90.68167507441684,79.49028610466412,87.01698999071651,88.29261865944208
