"Florida Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",186.66444747535348,187.41577440663957,190.20570460129264,197.59672742421753,201.86594508550732,206.47415754158914,213.241914211876,216.12083068462914,228.67306116829562,229.17228427734176,237.85741784113108,236.72860792366657,241.340442557645,248.14232733641254,255.3368300209441,258.481222793392,256.0546060506639,254.0910232449202,238.8571525074307,226.01710785139917,240.2542647778052,226.59635895025647,222.39813903201193,223.10007358803213,228.0875500287197,232.2389168003007,233.5232096376564,233.49523691621863,234.56343575384048,227.6985238735858,208.2375974359652,224.97392917306414,229.57498331402832
"Methane",23.134963390780293,22.116979343769316,22.42772535230562,22.187765614794326,22.132333731826385,21.792534487356022,21.57123239002735,20.870678064343604,20.501957059440663,21.784611278974978,21.943138785668015,20.316358120722523,20.470359874478092,21.05822831795183,21.768056831781173,22.309412493980275,22.172184401462967,21.09448120381851,19.87226029316704,19.338567523687498,21.95813672013791,20.76264622492642,20.999427557746905,20.82812641545058,20.75450752147387,20.69181263760464,20.919139774694248,21.64673372542381,21.860559269883446,22.313062335894845,21.04005433444891,21.2160978900637,20.86338019605825
"Fluorinated gases",0.7233194017857377,0.708963645588202,0.77200940364467,1.0013948764243015,1.4685496876262452,2.428482166233625,3.1219857366434822,3.791677975674065,4.234611803795144,4.770601288788521,5.20535044240008,5.6417399730666435,5.962116417873634,6.278946495870501,6.564507840267715,6.90734290479889,7.324909612942841,7.787534190111498,8.3145810618652,9.959187445063362,10.12561752291746,9.45437849184668,11.711572794191893,10.666512138393939,11.534881841845065,12.145925016432194,13.866204968336834,14.057363270542938,15.54329652238811,18.2604312005434,15.110298277775026,15.860156939957726,16.536962395869416
"Nitrous oxide",11.10553883581708,11.19376741120898,11.359476229636648,11.434420575368415,12.006577015359234,12.139226241157763,12.269331687696791,12.496210110469631,12.500936857509615,12.459377387528686,12.661567334105873,12.287024479318013,12.795768825172656,12.548161859655327,12.512590021398001,14.363955371828402,15.936352749277729,18.39467498940062,12.212610585061457,12.196091080253868,13.703327481457901,18.794876861558578,13.881081527732938,12.787076930588716,13.277136089145461,12.299560725586375,15.224897504386597,15.32601227800908,18.06664670465326,13.518409397132338,15.782293059273059,15.067154761921413,10.611085719004622
"Land use and forestry carbon stock change",-14.471809724521941,-14.069648474346105,-14.629033477380876,-14.298642897221672,-13.885246228386354,-13.090848518840373,-13.402438597520263,-13.368387096608586,-12.840946868277273,-16.798932158622357,-16.315454731988556,-12.228659552986088,-11.210561984075174,-11.297642058367446,-10.66025654021685,-10.485545186944378,-10.931840977214138,-10.858256919198634,-11.363958062671056,-11.86910751999805,-11.595622456907735,-11.526101149343134,-10.96625713144491,-11.575009033606408,-11.512561849328927,-11.569584235452387,-10.764577813266811,-12.087611202706897,-10.911957775301303,-10.857016140089057,-10.194299028366883,-9.001248881658192,-8.124508460662382
"Net total",207.15645937921465,207.36583633285994,210.13588210949868,217.92166559358293,223.5881592919328,229.74355191749618,236.80202542872337,239.91100973850786,253.06962002076375,251.3879420740116,261.3520196713165,262.74507094378765,269.3581256910942,276.7300219515228,285.52172817417414,291.57638837705525,290.5562118371333,290.5094567090522,267.8926463848534,255.64184638040584,274.44572404541077,264.082159379245,258.0239637802387,255.80678003885896,262.1415136318552,265.8066309444715,272.7688740718073,272.4377349874876,279.121980475464,270.93341066706733,249.97594407909529,268.1160898833488,269.46190316429823
"Gross total",215.24324757466076,215.0044006130881,218.19009519649916,225.4893922041318,230.2136609096807,234.66162192085727,241.27483286699623,243.6919981205204,255.52679139409682,257.3009180089266,266.4482879728638,263.3216050801372,268.6575967691938,275.7323265878269,283.2868964175621,288.96529835957705,287.7790210090563,286.63686847570915,264.3811787101333,250.959915202471,269.44610926407137,259.5666663967154,250.9819034201611,250.43851439902735,255.8932342796214,258.97260297194833,263.5087637765551,264.036293291385,268.0177418418612,257.25563158746286,238.85783869982112,254.91444606899995,254.7948945770571
