"Oklahoma Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",95.58351955509379,96.09202768054406,98.06600301467631,101.07532598794806,99.09842616516578,100.53385108570804,101.95784953357888,102.5436162661152,101.17499013982807,99.4861436096602,102.81117847643996,103.33628277137169,103.21946412201065,103.79645391003456,102.79047442224822,108.61473167024238,110.0331549458421,110.77936031838983,113.79253133645236,107.05129802438337,106.2108567235747,106.95568264370677,106.26110899839507,106.04152639534982,107.39419635397529,102.90511430201715,98.8514450099885,96.02004234705626,100.97078275362722,93.57843866379373,86.20069114720178,89.5444352147102,89.6337229793066
"Methane",38.96609333280529,38.60894052047189,38.68595691122956,38.2939628408068,37.71052715675515,38.04893867468085,37.589702137775056,37.4192527745181,37.30077399157328,36.209308593130075,36.5592878140067,36.62653419223544,36.811199567566184,38.16322015064512,37.5295418974906,37.89642601085222,37.850729655686884,37.77057765705467,38.30099080539611,37.585582772133314,38.20197391553239,39.243644932867426,35.61388995329816,35.71045522410628,36.1757481918626,36.57479103134506,36.26367264728935,37.45738147252712,37.43779852301702,36.24275336431633,31.463901917565295,31.5792789898207,31.78555355708304
"Nitrous oxide",9.747780856897771,10.844391588206197,9.92665986033228,10.333958523776342,11.516360484729008,10.318722501095854,12.05033711756536,11.039159862745977,10.850600087224258,10.763376288853719,10.073348092966048,10.465358767392805,10.763616424146004,10.41114826192262,11.358573809779866,10.411519062739776,9.933648574835225,11.588240899726495,11.111067759970192,11.602488084474041,11.15645569444811,12.341417401100276,10.386235274276316,12.62259492412675,11.979039736384511,12.136845588182398,11.259927132348219,12.329648458480563,12.217592038502103,11.871542243084438,10.697313651054703,10.599566051825784,11.098265003134806
"Fluorinated gases",1.2001328668392237,1.1745182457985346,1.1865406359106814,1.2293717558283666,1.3194422730622302,1.520748379025733,1.6538244032358407,1.7828969206888843,1.8281054654305582,1.9519493873999991,2.0360572640261996,2.123551799362418,2.1604907853473496,2.206477300549921,2.242757861902738,2.2827104774698026,2.348974442666012,2.4255224207183703,2.5256279011316596,2.8847649355053284,2.9633637878443677,2.9338812410624904,2.7113475054115606,2.7391842362075605,2.704553859827099,2.8746084353041086,2.9062803058155637,2.9294559011029166,2.8416810667450667,2.775769452830823,3.0251671364193626,2.9154910661053837,3.2569592869765804
"Land use and forestry carbon stock change",-25.00231488186595,-23.61858794508967,-22.808461711276806,-22.798282177291064,-23.269116888412228,-22.484454602058157,-21.940248952152054,-22.59163725086323,-21.69267332094222,-20.505939020940204,-21.749762806281772,-20.335653873260984,-19.05670089536051,-19.57500513771438,-19.24056399305909,-18.192819813070884,-17.295770530360446,-14.438763878833537,-15.483935494328623,-14.890064242699923,-14.271403234812471,-14.892837720295013,-12.688628888371808,-12.26861020948034,-11.621858476477671,-11.289702725316918,-11.359474816299278,-10.800445842239736,-10.88557493891518,-10.145389608025969,-10.052830397275844,-9.541807991505927,-9.146597888547854
"Net total",120.49521172977015,123.10129008993101,125.05669871087204,128.1343369310685,126.37563919129992,127.93780603845235,131.3114642400031,130.19328857320488,129.46179636311393,127.90483885810379,129.73010884115715,132.21607365710136,133.89807000370968,135.00229448543783,134.68078399836236,141.0125674082333,142.87073708866978,148.12493741705583,150.2462823086217,144.23406957379612,144.2612468865871,146.58178849844197,142.28395284300933,144.8451505703101,146.63167966557182,143.20165663153182,137.92185027914235,137.93608233692714,142.58227944297622,134.32311411599935,121.3342434549653,125.09696333095613,126.62790293795317
"Gross total",144.1132394321067,145.28283308571147,146.4161384168952,149.45681971863675,148.02276805010507,148.5254908062138,151.15592728997356,150.63205233588155,148.89370502917706,146.02959590498313,148.949939383605,149.95685942173827,150.27197369399,151.73708742248976,150.9909975766405,156.1847078420718,157.09296821589837,159.4194662047223,162.5300109023537,155.25669754618912,154.88379286577273,157.12899824864678,151.43154475433874,153.59541062780332,154.5496811626136,150.70170401974687,145.31852731847167,144.74357425534927,149.45776129157596,140.7637138387402,127.37186912749797,130.36830098863538,131.427657179723
