"Indiana Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",208.80738185358837,204.36368118556342,205.32212179940078,210.34989379704612,215.10126787547125,218.83860571470186,221.57754796042929,225.6361882746055,225.45080595783693,230.28377571658731,243.03938913761414,231.82252047148373,233.34244231667262,237.16754408027484,244.5396181521558,242.44660493024924,240.79924366276597,242.04748552683893,240.31165799200136,215.28985318092685,229.5082359516071,219.26014644167083,204.6603112612579,207.2559678349566,213.88066490622796,196.19424904892148,188.54427412348076,181.35635632760557,194.41847760898136,180.88571541438938,155.826045687953,165.54685630075198,165.15636715977772
"Methane",16.45371347143612,16.9291129797159,16.825488014007252,16.450339455356104,16.603359123845536,17.58858534563481,16.746202970349383,16.444425113168588,15.511601017458126,14.42110344649134,13.964195750448727,14.01337755966243,14.213976911816212,13.847983009776648,13.533131370455461,13.536787774617398,13.472371605762854,13.908085649758146,14.13670437944196,14.443387335165058,15.414783108118002,14.813687263968792,15.566511826275157,15.032348513310614,15.088992040368282,15.044065132607564,14.16676230156615,13.906538352418746,14.053531479795518,14.195420357936117,13.685352124040628,13.755810647795114,13.032700517399835
"Nitrous oxide",13.335922813298671,11.11861166236788,12.161237209253088,11.931394213028126,12.37547158978975,12.343867960394984,12.141999044059451,11.588001449552053,12.245555789403202,11.668604224478178,12.569152901097935,12.949359806156247,12.701699699970964,12.872421297513872,12.331206468028094,11.951662668711005,12.492516756248227,11.86508796374105,12.740364357792549,12.552642019851946,13.006321457589983,12.599601785239605,11.53615017509341,13.553405598290285,12.986873742552534,12.238006694164405,12.008595345708983,12.584237423893748,13.0885025907579,12.355189133040966,10.78661601525033,11.415866188914645,11.3542944427748
"Fluorinated gases",0.9197058428073144,0.8748917150282142,0.8624057799533298,0.8955676123550151,1.0160708987261757,1.3551484576440276,1.5917081626095053,1.8173717635214404,1.946621299949303,2.141344075841187,2.2780870762375574,3.018148608506663,3.098230976655504,3.1639351155297493,2.9364156945863975,2.9693178619175633,3.2171403292150242,3.4087186574253456,3.393284891053714,3.4401660481539977,3.8483935560580913,4.024046788506363,4.197721054608737,4.137306138073306,3.9653916809738745,4.111530789814209,3.862016992512793,4.1350454544066455,3.765133623713512,3.9965356829427074,3.7754202753917245,3.8551122682694725,3.875672562076922
"Land use and forestry carbon stock change",-8.85206503325708,-9.542281182065333,-8.853351343913102,-8.328277828270956,-10.014577701656297,-8.410731239511174,-10.297957705167187,-10.00460876322477,-9.99867369531926,-11.124457409154862,-10.688230761571868,-12.387995469402098,-13.070318365758784,-11.148307012753635,-12.107433091649165,-12.82079785927674,-11.97892542500303,-13.204524922081124,-12.00266569124766,-12.611922625824947,-12.58158358237716,-14.08640059817965,-12.392460685013877,-10.449806176754265,-12.813833278509806,-12.729510751438402,-11.69217651308833,-11.807604433029772,-11.869747239590325,-11.973670214952602,-10.8312341823501,-12.050891093985772,-11.96269617166266
"Net total",230.6646589478734,223.7440163606101,226.31790145870133,231.2989172495144,235.08159178617643,241.7154762388645,241.75950043228042,245.4813778376228,245.1559103693283,247.39037005424316,261.1625941038265,249.41541097640692,250.2860315393565,255.90357649034146,261.2329385935766,258.08357537621845,258.002346928989,258.02485287568237,258.57934592904195,233.11412595827292,249.19615049099605,236.61108168120595,223.56823363222134,229.52922190787655,233.10808909161287,214.85834091406923,206.88947225018035,200.17457312529493,213.45589806365797,199.4591903733566,173.2421999202856,182.52275431174542,181.4563385103666
"Gross total",238.90346198718572,232.6676357205833,234.52015362626761,238.87876868557885,244.15431928637696,248.79116177394187,250.45572887133414,253.61809313882426,253.09147996688415,256.2564254175255,269.40690934346213,259.19873552068265,260.63264294575157,264.21167901189483,270.39375642556666,267.85580660414416,266.78505221136163,267.85587906663415,267.02550593386735,241.98878990556386,257.71486475402975,246.58893763073905,231.6990684638816,235.79498762352011,242.03029426825452,223.47356708983023,214.65167205284166,207.83249868265167,221.61738851024924,207.68449903787845,180.4631462323801,190.87290246334734,189.63897923792632
