"California Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",352.75538958741134,341.68046751288335,354.23875057700224,342.7579091782932,356.32843435007936,344.8589069265754,344.78102926067476,349.3238958795859,363.4714510189845,366.5391954826968,382.1238786087829,382.9570020252379,380.41782795994123,373.75163283827004,390.45046462526665,383.7121043633569,388.1649913170679,392.162797510659,373.21477127283754,354.88257334875095,345.1027794389311,333.55734531862646,341.0611238755233,344.68916042098846,339.673202371163,343.38545610328293,344.45597637971906,345.55261724284355,346.8575218450858,348.7033815511801,299.49391844679275,321.1013498020049,319.89802308073746
"Methane",71.70767010199262,70.39260830312911,69.41539196680897,65.50585836600142,64.90898294588865,63.32161118438698,61.84057247758691,59.20348827622279,56.31155380728292,57.2002571040596,57.45418487684468,57.19511042443478,57.213688412130786,57.125617094617226,56.137096659166396,55.45086785926984,55.98904021112395,56.55748646280571,58.038614484461355,54.29576517015855,49.744921378533796,49.98183456544406,52.05734130892252,51.13249664699126,50.76275771366774,52.66612833272959,48.16901149794836,48.90970685205478,48.6020128358892,46.59083266470073,52.07670705377171,51.27507100262237,45.27247253608361
"Nitrous oxide",18.242118942772944,17.200834786094624,17.83667140835377,18.21194764134182,18.35229947598291,19.165860236503956,19.77213822954792,19.263402340467543,19.35760423113247,19.457293320220806,20.02289963202095,19.554738171478927,20.516562589923744,20.681986183959776,20.36640641486571,19.43038705857221,19.97684140820467,19.06756325396777,20.671273283310214,18.445112039466647,18.445446508848487,18.27960093647062,17.444734863751755,17.707714546643192,17.364012195821143,17.642306590247887,16.096476037752975,16.16988187511145,17.054439348374647,16.66135014109509,18.913993702305845,19.35978272710501,16.23731183695364
"Fluorinated gases",2.857516403919263,2.7250605659681906,2.9130850962974684,2.2414371320489823,2.7735609716420493,3.963769400769059,4.843868295715837,5.638086253194011,6.181794645324791,6.843791368564887,7.238191308284656,7.657265651223723,8.058568769926996,8.443783996983178,8.75217393752608,9.097672772337631,9.612322007610162,10.137898045813598,10.82462336152466,7.694878237921883,10.379275291562196,10.323357708903966,8.680498913241227,9.730732599098735,9.783550538518833,10.174540169139625,9.823316746310871,11.206665726164047,9.642649754283804,10.189805454644635,11.095522013342917,11.387135729439004,11.60818145549695
"Land use and forestry carbon stock change",-40.35692573042047,-40.870182018037426,-40.95040293052071,-39.38391797695357,-39.184832070328774,-39.1035456536342,-38.99023714492364,-39.33432649688478,-39.04698242994686,-39.02725345745143,-38.32736701654309,-38.26306366262269,-38.67457347451919,-38.23325362330451,-38.50487764269937,-37.778996696318885,-37.262708977086,-38.416097820311705,-38.12399358321898,-37.10259618562898,-37.240808378553474,-35.95404292286092,-36.76628718305941,-37.40786751397876,-36.79558856705948,-36.10499973576827,-35.61528010073306,-34.92462135607831,-35.24126430698787,-34.31018851961533,-32.87934847979899,-35.77412751721111,-36.01486510119409
"Net total",405.2057693056757,391.12878915003785,403.45349611794177,389.3332343407318,403.17844567326426,392.2066020946012,392.2473711186018,394.0945462525855,406.2754212727778,411.0132838180907,428.5117874093901,429.1010526097526,427.53207425740356,421.76976649052574,437.2012639941255,429.9120353572177,436.4804859669207,439.50964745293436,424.6252888189148,398.2157326106691,386.4316142393221,376.18809560658417,382.4774117783794,385.8522366997429,380.7879342521112,387.76343145963176,382.9295005609982,386.9142503400955,386.91535947664556,387.8351812920052,348.70079273641426,367.3492117439602,357.00112380807764
"Gross total",442.0300548096267,428.96062242110327,440.6458394190188,426.0079868014944,438.58608631134683,426.79193274290975,425.18119233684854,427.1300241060946,438.59234061980345,441.0513245257365,458.44796715815374,458.2171660379339,456.18519136386357,449.53348585510884,465.5451587342433,457.33622408845304,461.75180016490646,465.2694351639656,446.8089770232673,425.44542636896506,411.82988743535583,400.44646957942274,408.05046629336255,410.21007105101415,405.0863783659624,409.9815180720379,406.7588918076156,407.16672054562764,407.9379457693945,409.8917107588008,360.4475218613395,380.4530514299882,378.48806698939865
