"Idaho Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",12.644590103164525,13.439662451716734,12.512311884258363,13.519291939675355,13.619690551744819,14.534181111788456,15.33598064134903,15.321075896230663,15.384542768468794,16.304824128034316,16.872901293844485,16.822856283770264,16.26016046668406,15.874078607183456,16.99426879875103,17.161473117636866,17.406881496467665,17.704350124067453,16.995921862650746,16.425001150607322,16.826941438684322,16.581290940061294,16.28964846188777,17.790251778200126,17.157362142368726,17.75213909360601,17.992100678655508,18.353992539355243,18.29595833918651,19.497603556530525,19.240402242219606,20.286042421282588,20.651797284842136
"Methane",5.751800078030699,6.031502852875813,6.225247613106067,6.089354702046919,7.449712237482514,6.624174773700788,7.061859741299918,6.936461595400651,7.234348362682047,7.368208290828923,10.196964544100156,7.97958172748837,8.072779692542204,8.730515775156684,8.17494261398341,9.019948269110035,9.6587529274084,11.92411980326797,9.604396388893194,9.401190101607789,9.22869816949281,9.435535402956212,11.46954387132326,10.573626545733996,9.620880670205112,10.895341313959255,10.4281539676612,11.083522124421318,10.774558514185964,10.658412617458236,11.094262012936788,11.722595078667904,12.123171956915947
"Nitrous oxide",4.264728118221551,4.326817729631355,4.315593741617333,5.019783720413976,5.516002912240708,5.209416670820881,5.354423098554308,5.326044840355038,5.54287113833959,5.145106926614087,6.681822736575885,5.156506472875514,5.313899204012199,5.971852556236154,5.739337851190872,6.2267513321817765,6.286275510617451,7.008757264778335,5.786384300345998,6.172733418897785,5.704542202445976,6.119652426568765,6.893891994656183,6.085132603543347,5.7571475684544415,6.066908575702847,6.007376280938468,6.164766206201135,6.401657716843687,5.737249099186185,6.191533560592151,6.245435592372411,6.2095931053926865
"Fluorinated gases",0.5527804228478725,0.5363547666731145,0.5358623250851468,0.5686721815165697,0.5862593819716105,0.6518864260367024,0.6868298956808951,0.7117945486223015,0.7552732245253372,0.7872692099671736,0.7463907759146406,0.6818948318896244,0.6890197847050901,0.6931263810492285,0.6922267932064365,0.6956038140289993,0.7242074065088815,0.7280863620709543,0.7510426659732061,0.7156549057527857,0.581026761027803,0.5750407403765644,0.6972446282553866,0.5595997948030791,0.675681966357558,0.665242603012063,0.6549309558164671,0.6157374538656586,0.6852584728986649,0.6400450637063376,0.7880174523922275,0.8194593217190941,0.851550255679684
"Land use and forestry carbon stock change",-2.97325922926526,-3.6442448589047074,-3.6851370077943204,-3.38643758084987,-3.0720166475249635,-3.5255365590387644,-3.625103647150272,-3.611227139355084,-3.41747424934003,-3.3616742556011077,-4.085648894592283,-3.7863885672955964,-3.25199081172336,-3.7781073120936117,-3.4061265832400793,-3.266284183945967,-4.25759802979201,-3.517163123302025,-3.3661847783823386,-2.887118723364079,-3.2806578049830666,-3.2357772003308996,-3.347900666911991,-3.5933695285441494,-3.5168049785468405,-3.3447648424088396,-3.7236702901213308,-3.8474884908095355,-4.294859399810821,-3.6846732500162207,-3.7326141481134636,-4.349121774115361,-4.153990148940161
"Net total",20.240639492999385,20.690092941992308,19.90387855627259,21.81066496280295,24.099648435914688,23.494122423308063,24.81398972973388,24.68414974125357,25.49956124467574,26.24373429984339,30.412430455842888,26.854450748728176,27.08386833622019,27.491466007531912,28.19464947389167,29.837492349011708,29.81851931121039,33.84815043088268,29.771560439480808,29.827460853501602,29.060550766667845,29.475742309631933,32.002428289210606,31.415241193736403,29.694267368838997,32.03486674387133,31.35889159295031,32.370529833033814,31.862573643304007,32.84863708686507,33.58160112002731,34.72441063992664,35.682122453890294
"Gross total",22.643279078344555,23.718741440969495,22.82710662386069,24.678264788872873,24.971679331372393,26.363770206005846,27.353565420988605,27.623107024701557,28.055744548350248,28.727493405632917,29.87023456323185,29.737383161137085,29.495928473251297,29.747573385201804,30.763615701792027,31.502927259910937,32.0194301841566,32.682284527676025,31.989475213494526,31.673279990981218,31.233963412370866,31.467798181488906,31.097997541812983,32.96553036667064,32.05062262979748,32.974200419279235,33.75709182269194,34.18704311660573,34.622892619347574,35.53559409993823,35.93004871029524,36.8331555415705,37.394401223844454
