"North Carolina Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",113.42100611383215,112.5020647517062,122.94804418683168,128.08292816313383,123.80803961700481,129.64038638727493,141.46369427430824,143.19153631738442,143.85116434545017,142.72161795310404,151.25472826182238,146.70925335877084,148.47770539160948,150.57269820154409,152.83709536282427,156.26001447749834,151.13037307456187,155.76720686678132,148.96169404359333,134.59152048918799,147.17613727291283,133.00103484711872,124.1707193962562,125.72260319700315,128.60124413485227,124.31129232770478,124.8489429130126,120.94084679937104,124.0249376004019,122.42033128320114,107.01837789438544,116.00726642998833,117.02751992054186
"Methane",10.41975307405224,10.823749014154476,12.537172170470821,13.508011400304198,14.51630595428684,15.19332158189244,15.747035689941917,16.562529440927953,16.41527550102611,15.71889643890825,15.658389663849533,15.647067645883142,16.07424955021,15.978320961406483,15.797506481901848,15.741847831072125,15.345213657555444,15.587451929464873,15.362757863809952,15.251787272369956,16.226088328285222,16.149182306271523,15.741926851702432,15.546986116393965,15.226601005140353,15.845527314172182,16.534126547154393,16.433953852276275,16.76033983553804,16.664078958779594,16.39540789986479,15.872819726619197,15.728123888745166
"Fluorinated gases",0.9951163678310887,0.9743180479620919,1.0032733954950348,1.108572564186882,1.3258684448791236,1.7855923896929522,2.1133249148408564,2.430020134226991,2.6178884722852978,2.8897129320894615,3.100244372455639,3.312344635924629,3.4434543976730976,3.5769640681849117,3.688574946742577,3.830681570850289,4.042572231318818,4.303786557377005,4.613782533043187,5.4687012260556775,5.464014429548844,5.023375366195884,6.109829326661268,5.64431520932482,6.0191943981440765,6.386182896202939,7.180601617420268,7.241619533697402,7.994962111935307,9.436766290439227,7.5587333581941145,8.038271865016407,8.222341165756259
"Nitrous oxide",5.9390763096406705,5.977591355690683,6.117475423210595,6.100619141632975,6.495804592010604,6.863338404964758,7.168089176130143,6.941178040321998,7.230649463630827,6.8765291322884945,6.554384079828668,6.296910624017469,6.5145438155186985,6.625337622573109,6.7667346313694665,6.437090352884891,6.666364776046,6.408283581824113,6.447264049901249,6.170066024857535,6.167627559478391,6.2654785423641055,6.001597171085236,5.940123281511041,5.838167107759462,5.790346452138267,5.773063929727528,5.85288085256546,5.743488016258522,5.80062774093008,5.726794918492706,5.538482996807095,5.42906710174258
"Land use and forestry carbon stock change",-42.503835570932424,-42.84089720830662,-42.93845057097215,-42.705492929859204,-42.46088055704088,-42.05474821173834,-42.08649489135283,-42.30696002255293,-42.462988407845,-42.172052913958694,-41.59099884413532,-41.144834399590295,-40.25117098665459,-39.27639222617771,-38.73207002754717,-37.998325603007494,-38.82165167619374,-38.86706303391139,-38.520759089120844,-38.97517474293986,-39.18346336743048,-39.62266473252411,-39.27412723432226,-39.82569445267384,-40.05585346575786,-40.54450130288159,-40.690006989152394,-41.2098281719437,-42.11902613695329,-41.868601634312064,-41.283534055205706,-41.57524667461241,-41.1416030096164
"Net total",88.27111629442372,87.43682596120684,99.66751460503599,106.09463833939868,103.6851380511405,111.42789055208675,124.40564916386833,126.81830391030844,127.65198937454743,126.03470354243153,134.9767475338209,130.8207418650058,134.25878216835667,137.4769286275309,140.35784139529102,144.27130862929818,138.3628720632884,143.19966590153592,136.86473940122684,122.50690026953131,135.85040422279482,120.81640632942612,112.74994551138286,113.02833335155913,115.6293531801383,111.78884768733656,113.64672801816242,109.25947286596646,112.40470142718047,112.45320263903798,95.41578001573134,103.88159434381862,105.26544906716947
"Gross total",128.7990728255526,128.29382037274667,140.57789210482764,146.63729684974498,143.74179055284617,150.58139421436633,163.2339739829806,165.51639833668625,166.25200178290402,164.05622733212738,172.1299665676264,167.33102265842,169.72450299201427,171.80856088015486,174.00476118965145,177.02560012382594,171.68939044779066,176.263799555824,169.27705208963027,154.49971905097397,167.98694501106024,153.79513329169419,144.29932740132492,145.5896264118481,148.06420238418312,144.39326234961067,145.45121570453574,141.65985848259646,145.01612698801145,143.5210175268155,127.60212022607894,135.96670942379288,136.65163973845557
