"Georgia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",141.47897382331178,132.95881610214687,132.2417322706937,142.0098302550705,145.5257196391176,153.82437278503232,156.4716487008954,158.88484462106447,161.15588781218787,163.7829815774759,172.45640784466065,164.64743515026404,170.42097381593055,172.98858506201992,176.07536252276122,186.83925870326718,182.7604895011831,185.75495592603636,173.57433037076098,161.37817217122486,170.9445693605931,154.63221285929478,138.0235850947472,139.79734003995299,145.19453796113197,144.32256642436448,142.39457994377085,139.99206351846493,140.2633181194638,134.13887105854377,116.1638818305945,124.19912459345457,124.16676981974464
"Methane",13.478162915475393,13.78343690935723,14.017700820027846,14.57266874495991,14.296331924261144,14.270473797538452,14.092268941832186,14.390575456759075,14.290958619302376,14.231064327885871,14.102403498285316,13.665449877550557,13.936076740984754,14.00600727727195,13.778655163185395,13.407720702878256,13.466753466424237,13.953366255733437,13.363721096840072,13.262576441231326,13.954684917800968,13.093940524779306,13.116771603909402,13.630172146047455,13.830706564051045,13.558626311860852,13.606094258588177,13.942594107904455,14.337760989049904,14.607730440410506,14.733285477986497,14.012808804330225,13.86787157909362
"Fluorinated gases",0.6501298559223797,0.6304225633096775,0.6593402155221579,0.7638538854727376,0.9822214234158047,1.4428929342020744,1.7741959834483767,2.0983380355814596,2.2952921874285788,2.5801326231768655,2.8104942960609542,3.0343286489187187,3.1739242422934546,3.316641310994571,3.436226139589016,3.5831092894187417,3.8065677173817853,4.071392940184705,4.372196888429054,5.234566836717154,5.297865403518015,4.865400312650314,6.026340827380215,5.510909215826467,5.884836578759063,6.162102483375693,6.939665389873682,7.0633657729574155,7.804874714000287,9.083456964725059,7.569194166015454,7.915261877893201,8.159766465779322
"Nitrous oxide",7.012290986354174,7.2189702791415815,7.234667383064453,7.127259278680382,7.815882864804313,7.78597073198125,7.877074742135156,7.946675629378915,7.965964955254893,7.785996430582825,7.74825444717579,7.378940072553559,7.965968139984784,7.592553188718194,7.80028436302865,7.433568903413764,7.340101886224663,7.9771136310811,6.989491741064675,6.840387005052469,7.0234649013003585,6.881599549304953,6.531329641214899,6.59710619752275,6.354250652315165,6.323930377093866,6.361910901915666,6.1349088522107005,5.975674817564968,5.295944652716203,5.300228253676557,5.24502295958731,4.832253845858975
"Land use and forestry carbon stock change",-41.74555056740335,-41.22511629457225,-41.7000432701831,-41.769516379578484,-41.53591477221151,-41.72776494925098,-42.01790579203869,-42.48115544859299,-43.15812283260879,-43.4481033946748,-43.598674779471445,-44.3890567393759,-44.39537260119933,-43.47342763325754,-42.80867921970965,-41.904331829191925,-41.832468123458916,-41.50625397459406,-41.07551002731645,-40.82819207457838,-41.0595918282436,-41.76897925214576,-41.25317757768996,-41.782722320305865,-42.5185946118741,-42.965614193181565,-43.29779505020929,-43.89926082797598,-44.24225269602935,-43.89167672265905,-42.74211271320452,-41.87086196880146,-40.93530681409344
"Net total",120.87400701366039,113.36652955938311,112.45339741912503,122.70409578460507,127.08424107938735,135.59594529950311,138.1972825762724,140.83927829419093,142.54998074156492,144.93207156444666,153.51888530671127,144.33709700991096,151.10157033799425,154.4303592057471,158.28184896885463,169.359325769786,165.54144444775486,170.25057477844155,157.22423006977832,145.88751037964744,156.16099275496885,137.7041739938836,122.44484958956176,123.75280527904378,128.74573714438313,127.40161140351331,126.0044554439391,123.23367142356153,124.13937594404962,119.2343263937365,101.02447701506848,109.50135626646386,110.09135489638312
"Gross total",160.68161780673273,152.72196236198184,152.23706215594746,162.4193762470539,166.33738114951066,174.54489702582234,177.07678723044393,179.82599372650526,181.9377244719803,184.33120893695954,192.81890455823157,184.170324294352,190.51600284170962,193.0139686352245,195.99368180927334,206.0516379821609,201.8944487151929,205.1728099817324,192.22884951790044,179.8021622491813,190.19432679205036,172.33110101368436,155.99821020435465,158.26363212454532,163.60816664365888,162.44129389515405,160.507784935859,158.05280582920872,158.86806625911197,152.30254394221822,134.52272842407305,141.7507764687546,141.1127938187459
