"Massachusetts Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",84.05310411210924,82.07046671141555,83.79904525642402,80.26631331161416,80.90915247251402,78.24659261291345,79.05845890782706,85.1529175768771,83.6180204195744,81.36419779210522,82.283295965545,82.52148481447895,82.9408502354677,85.27653035030151,82.93807385498101,83.61685763042908,77.19088504202227,80.47225940167755,75.65059571488345,71.03914878895047,73.38096522469304,69.40724923066728,62.901220830140744,66.5518462879366,65.38121995961517,66.92649531566107,63.918029134788796,64.06188197496218,63.81310395504673,63.23566384612024,52.72448434456835,56.52100564835028,59.58521886466484
"Fluorinated gases",0.24044596330957968,0.24015215708734047,0.2600728964103007,0.3482320185722383,0.5029943440222812,0.8314029425610292,1.0673099341842354,1.2860546026421553,1.4599209941155842,1.6258217636236039,1.731428327011067,1.8190705183622335,1.90953525330797,1.9862080399515925,2.0447988565492534,2.159179577312962,2.2835263915580586,2.4139700694910564,2.6084849417013127,2.623678450063336,2.4899648222039596,2.647169214212547,2.786796130539982,3.2047560830486224,3.656364372951165,3.5466948492252373,3.594115140734463,3.0870014845147953,3.5158302535895407,3.3242522129968513,3.699894383892716,3.848041676864412,3.966086396876827
"Methane",5.175069414160849,5.134883591444486,5.017196905113135,4.700790125597683,4.63636410695619,4.338532345411309,4.257728597004597,4.017079347588434,3.8856055968479484,3.627337325804337,3.4233656484065107,3.3224873209202515,3.35863943465693,3.3493702740073794,3.305440977443781,3.1902866181856044,3.1405410427248523,3.0120933033045434,2.9694802758776473,2.9405638957015547,2.7843295289815666,2.6872917076049605,2.7502074223482893,2.635503369811572,2.5565961422150187,2.5871239309345477,2.510852113181742,2.464452262856079,2.4231415936843135,2.409221957208346,2.3584997468230644,2.2224696484626074,2.2609180321710287
"Nitrous oxide",1.7719822004994574,1.7534171102978957,1.7879350024901108,1.7652758586722959,1.8406025044339176,1.8707587084089696,1.9140411426881578,1.933272336456439,1.9264722357924313,1.8981322670526315,1.892725537148038,1.838280177368268,1.8080646398310953,1.7731183617917652,1.7425860963027593,1.6837698078163443,1.682758355937369,1.6395349757622086,1.5821163983360789,1.5223458174516544,1.4919768213457645,1.4444027532694883,1.3831450429670957,1.390975421525043,1.3399167667748657,1.2843646459111344,1.2569623831760013,1.25247591011209,1.1929818116355966,1.228827683013286,1.1486412154010819,1.1665124778904226,1.1485609178586966
"Land use and forestry carbon stock change",-5.38033887678915,-5.438802227753175,-5.435476618647368,-5.488161368183301,-5.5055715696326795,-5.525260884007408,-5.6542312936066415,-5.682228324355162,-5.821871972104736,-5.9011736789512454,-5.951400239394129,-6.047586309243663,-6.083820998499666,-6.160291321760309,-6.293917747538146,-6.361792101067322,-6.419894239194873,-6.471517376194379,-6.609136911066371,-6.6754597257979515,-6.730577722115869,-6.805496294735876,-6.819068897327836,-6.838677265500606,-6.956795927849805,-6.96443902705952,-6.980071370646363,-7.025610580159371,-6.973549344967687,-6.967239872032981,-6.9293270927457655,-6.84783969882185,-6.800563532064393
"Net total",85.86026281328996,83.7601173424921,85.42877344179021,81.59244994627306,82.38354185829374,79.76202572528734,80.64330728809742,86.70709553920896,85.06814727422564,82.61431546963453,83.37941523871649,83.45373652188604,83.93326856476405,86.22493570429194,83.73698203773866,84.28830153267667,77.87781659304767,81.06634037404096,76.20154041973211,71.45027722636907,73.41665867510847,69.3806166110184,63.002300528668286,66.94440389682123,65.97730131370639,67.38023971467248,64.29988740123464,63.840201052285785,63.97150826898848,63.23072582730574,53.002192597939455,56.91018975274587,60.160220679507
"Gross total",90.93897197056981,88.89147541169126,90.5295078676193,86.66659938955287,87.32106015655563,84.4117460128814,85.20161304903915,91.07923799313264,89.42891919782136,86.89182900674786,87.55865044410429,87.59432617626109,88.01551224754027,90.29121534019264,87.85623269241977,88.39189026281976,81.91584480463543,85.00994256983569,80.1214667588157,75.36958344154517,77.52784398716736,73.41786419087279,66.90067754015925,70.43005827546483,69.114484161924,70.62259844507112,67.51353241621844,67.59355492835451,67.27547331074362,66.69402405329879,56.04106763162768,59.733825721553075,62.82083754669852
