"Rhode Island Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",8.764222995524417,10.518262922760911,12.868956177992759,10.52369538569387,12.525802310702536,11.769405324678585,13.27680640322041,12.983435690999876,13.498116172349116,12.87387558237621,11.46214514877071,12.089934560870411,11.387899135775418,11.282841166274451,10.81639130643067,10.97725472422521,10.466264981907651,10.979145612107832,10.535303479448798,11.077870698528168,10.92837542258248,10.981819999394746,10.336130889917088,9.952088188947082,10.483058840587622,10.717389448775481,9.49080081061181,9.824948426410936,10.941364448758744,10.335889560514913,9.731637817562742,10.513571856808829,10.104306855936382
"Fluorinated gases",0.026234429984125774,0.026247938810349827,0.0296528671748921,0.041779810667355144,0.06654643368482777,0.1172712641919155,0.15442663633597573,0.1892993412565347,0.21333447053460017,0.24051759487758292,0.26319227025914455,0.2849324742948335,0.3012343709684015,0.31605949432168334,0.3283152452298866,0.34014520519845426,0.35784734982727834,0.3778963817161029,0.4094960774818029,0.4104224016557372,0.38690629763542617,0.4422965478408045,0.4611075943958891,0.538668134517628,0.597756667869451,0.5914349629920105,0.5935303443787118,0.5121109489354035,0.5225582320570046,0.6020234293830183,0.6999592878630808,0.69443482812058,0.6236652500715731
"Methane",1.2770725067035391,1.2382169855894456,1.2553899701110378,1.1128292981138084,1.1697415306709515,1.1854437801878388,1.1353532626804081,1.1488304260611726,1.201768139846736,1.0302519545281648,1.0713240765028271,1.0515848463491793,1.0093858700115608,1.0705334532931883,1.025189645723443,1.0058073511243135,0.931774329944287,0.8081633809033838,0.7048660000666493,0.6292692695764007,0.6700803657655762,0.49487992787657176,0.6445252430569125,0.5058133450260494,0.45473085941974273,0.46416296928990786,0.44907357305976464,0.45113171429403687,0.465582017629393,0.4890820587161064,0.3616042351859165,0.3577048947561955,0.36012630862494255
"Nitrous oxide",0.23075632022326473,0.2322729994469302,0.24864569971260067,0.26657115042161794,0.25151358474738644,0.24477256011871446,0.252239016952858,0.24858528024659435,0.26740577325468134,0.26429425567851716,0.267348122984612,0.25215615133811403,0.2464264406350194,0.24156679871517678,0.23414438970613674,0.21896584253962506,0.22000239284163045,0.22072778060075435,0.21496690950636785,0.21576051680867622,0.20163702885264004,0.20048421164762312,0.1972463400287445,0.1841840353689483,0.1826062986627691,0.17999142019466652,0.1747301588452987,0.17879914029057115,0.18080918141017338,0.182357710176262,0.18388561500265088,0.1870493473601102,0.17772950658687178
"Land use and forestry carbon stock change",-0.5123990321921363,-0.5065292424145439,-0.5049021663720039,-0.49969277017159774,-0.49017742217312754,-0.4869041217253678,-0.48681677917887684,-0.4926486094720906,-0.48486527786147965,-0.4902152987826682,-0.5021096919018936,-0.5007617407928598,-0.5129746944099274,-0.5060793536118227,-0.491772232729703,-0.5066443287252694,-0.507873608884229,-0.5007284399723757,-0.5048816182253966,-0.5067920455713781,-0.5107419447483913,-0.5099693210218451,-0.5197480573954802,-0.5191525900976642,-0.5207358076776116,-0.5204043342768685,-0.5170287246034586,-0.5306334994215457,-0.541480951601668,-0.5506718083240179,-0.564722189278934,-0.5696649469997507,-0.5770050572640567
"Net total",9.785887220243211,11.508471604193094,13.897742548619286,11.445182874725054,13.523426437632573,12.829988807451686,14.332008540010774,14.077502129092085,14.695759278123655,13.918724088677806,12.561899926615402,13.177846292059678,12.431971122980475,12.404921558992678,11.912268354360434,12.035528794362332,11.468015445636619,11.885204715355696,11.359750848278221,11.826530840997602,11.67625717008773,11.6095113657379,11.119262010003155,10.661601113762044,11.197416858861972,11.432574466975199,10.191106162292128,10.436356730509402,11.568832928253647,11.058680950466282,10.412364766335457,11.183095980045964,10.688822863955712
"Gross total",10.237087196897924,11.95295596110304,14.336119876165288,11.865233060354711,13.908526061700407,13.161621964144507,14.627492915177147,14.344054958214441,14.93020942232196,14.131435908993964,12.76082019757257,13.352650526536982,12.601956527757679,12.55128511575823,12.029455609493604,12.155600047182467,11.570723796921603,11.960131966656858,11.415779550514946,11.877295892498765,11.756116647189488,11.667860521089112,11.166391360538691,10.643645309062808,11.11222597959644,11.3647899587303,10.115519279712098,10.45458118700983,11.5369216703653,11.062340247495962,10.359528885132136,11.1138160109719,10.610110033405618
