"Illinois Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",199.57014289901636,200.6888809078722,196.89501449777248,211.13774270663635,212.91924754699804,217.89093279550693,230.0791644814448,236.59704325219496,223.71158464243643,232.1596044615536,240.36461738439365,231.00149647857575,237.01782744166562,238.0911276617827,243.06692275056272,248.41158054267893,241.32088023933883,247.65093173832338,245.22432791938886,228.1087742230072,232.76453707263983,229.7692934037637,216.9482340848527,230.95485581180753,232.5839505614044,219.16553537374605,203.0067550253237,200.87180672919723,207.83897774972192,197.74940994049203,166.23914543250086,181.28418467503445,181.4391769638427
"Nitrous oxide",22.479507543727127,19.43978744027915,18.590553205300704,21.47866286745239,20.81253323639996,20.37421557064213,22.52481239881408,19.86304985401926,20.555297718637238,21.493138005957956,21.47328328194742,21.271140181565773,22.605062162079097,21.608894312105917,20.564239418887922,19.18310446739064,21.388123820768403,19.62273829260033,22.79487902811075,21.565149538724707,21.124468622541123,20.189567755260203,20.154674003316313,22.275079904806013,23.71157838855358,22.01724834631322,20.58285307268117,20.35855721811149,23.308158938037725,20.08789301971973,18.913421660014386,19.3885780214532,18.972632256406943
"Methane",32.42177012696526,31.964418586822564,31.45693285404115,30.01583195999886,30.709783631271893,30.166699976818578,28.851856205663275,26.518646938245883,26.035632363680538,25.451247194295338,24.073256225267134,22.80833171955822,22.097869169107994,21.47517700800499,21.828161763729035,21.63036596445364,21.739628853257848,20.005833478915886,21.496389033577813,20.942955195990717,21.191933581774045,20.024599194591193,21.980777492151578,20.676257538839426,20.84389707718962,21.74925134290822,22.464459097649247,20.657855890396604,19.520429887943234,18.705748650277066,18.22534815945884,18.305590722734273,18.22924529667267
"Fluorinated gases",8.528745211235602,8.809658920178551,9.341819537458768,9.892471922983464,10.615281446688192,11.821149517883718,12.99733352063466,13.91413353560634,14.633818855229189,15.55669844909639,15.927307458148528,16.122189285362904,16.50720450681901,20.145780303340366,13.311511371212212,12.346929358759168,12.016576986787607,10.338573766113518,10.169340088182766,8.792763482050878,9.128020280181639,8.553507415151794,8.633347145468013,8.84682202811519,7.650854001196653,7.990063897235828,7.3424396392582985,7.78038443807602,6.899621155496433,6.8968858618936135,6.745011268780442,6.905950327655284,6.816351760308371
"Land use and forestry carbon stock change",-10.18042710132352,-11.491224835400054,-11.156921925559125,-8.960821681185877,-11.989808570194327,-9.309943045296647,-12.9947952760205,-12.452496562599787,-11.298217116041902,-13.805985038340136,-14.174485910846224,-17.251349386690947,-15.842313529578673,-14.671652654383909,-16.160759499198193,-16.360081889791743,-13.548906680724619,-15.613607874329986,-15.677794601281352,-15.000362587928484,-15.041070319120797,-18.420149069917485,-16.21982509451408,-12.055258487289981,-15.888032071064513,-16.928026597455947,-15.4702735444103,-15.263915084908275,-14.197866183939723,-15.066577551164025,-12.405740890431442,-15.063494441816962,-14.91786530331765
"Net total",252.81973867962085,249.41152101975243,245.127398169014,263.5638877758852,263.06703729116373,270.9430548155547,281.4583713305363,284.44037701746663,273.6381164639415,280.8547030725632,287.6639784389105,273.9518082783717,282.385649750093,286.64932663085006,282.6100758051937,285.2118984434906,282.9163032194281,282.0044694016231,284.00714146797884,264.40927985184504,269.16788923801585,260.1168186988494,251.49720763127448,270.6977567962782,268.90224795727977,253.99407236274735,237.9262332905021,234.40468919087309,243.36932154725963,228.37335992121842,197.7171856303231,210.82080930506027,210.53954097391303
"Gross total",261.767452738045,259.62928783859473,254.91587152786227,270.92193755926087,273.0218121777324,277.3988867794525,290.99321793406847,292.8496784510675,280.4735740906009,289.74496274592184,296.49697538615084,285.5726740852904,292.41671893179574,295.6768565317843,292.74347573257234,295.39770849736567,290.01781157926666,290.9891804630655,292.7565375961683,272.19143557789164,276.3661901823578,270.5739097266953,259.47261321004595,274.5939477633096,277.32447152582245,263.06231906419606,245.98207662756715,241.88313414585676,250.6754175364967,236.5222628767808,203.47731299250344,219.1365283207563,218.63566959910224
