"Ohio Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",256.87003777267006,255.78797536147226,260.61592239997606,265.80037273642597,262.71510434042614,267.48432505613346,278.28076626772656,274.6600982609201,275.3753357146812,275.1589637477382,281.98838684584433,268.10778875600005,274.35996541663263,279.50128843519013,275.21555705236756,281.0967974086275,272.0087530009672,276.3557320923031,270.67318074108493,240.84513887641668,246.33246548919703,234.1126581012934,213.3941054672801,225.0483730129079,226.3373644147687,209.97417739016248,203.79645923369816,204.16267899251693,208.24158407469545,195.2142867866369,184.55209057607414,196.00323219909396,199.10017464217194
"Methane",30.98676787906635,31.500876506208765,30.52143328926956,29.684349650978955,28.90807632569192,28.384573352331095,27.55306344222019,26.303238643877147,25.94204693503423,24.53869108836582,24.190004800894158,23.945040326405756,22.691100197395738,21.425015975120857,22.053658840909062,22.22243710827504,22.323681586876038,21.93760321556256,22.534416325417677,23.257594877386907,22.75205202676092,21.3839277163792,22.124162373048296,21.6300509828973,21.24205271931405,21.137770924221815,19.67813113058091,20.811804533284104,24.682734755795867,20.351215035791327,23.136252526891738,24.618639493870344,22.408220725690654
"Nitrous oxide",13.0106718551857,10.985588712944388,12.33838358316577,11.813910810585805,12.46423123909038,13.742270812197804,13.0627179739274,11.924727313502215,11.952630019008767,12.302959583166539,12.401496531377457,13.48831321282406,12.525982789536654,12.198669900112787,11.983468359618652,12.082791609996697,11.857220904877433,11.81042304545433,11.970412313313245,12.101142327060979,11.91219102057636,11.896935185401464,10.198979177693772,12.324293748131815,11.19556170713005,11.680050827230954,10.922327457261185,11.14026852509512,11.162059090481867,10.463438890340774,9.866187137325428,10.230723961872693,9.968233198098071
"Fluorinated gases",2.255185471844747,2.0881922657193557,2.1941889019519056,2.198927445734233,2.4119562231499545,3.083531224255451,3.849343101932272,4.1741942638960845,4.3910086201198935,4.6735748531111305,4.6329458433782325,4.7087036610854796,5.074999873203616,5.204346468958677,5.172386656873476,5.12329029928785,5.396452126305303,5.826492717395146,6.278509660417231,6.28987084519906,6.877639468339694,7.1470569007141185,7.350212284192107,6.990969141757388,6.169982230401647,6.640628244878272,6.3775411039017555,6.732118901032485,5.969795803737319,5.701915890187674,5.474718667297996,5.676686874616466,5.893804652671252
"Land use and forestry carbon stock change",-20.619997779744708,-20.641334352915067,-20.649159502757357,-20.339426706888087,-20.66839781059807,-19.72754274194697,-21.0869728601214,-20.813323462891884,-20.555387060807835,-20.75843861552773,-20.351654967932987,-21.283315210898415,-20.91247531359155,-20.74735013445059,-20.839521955395572,-20.330523435228223,-19.869490152721234,-21.42900407271437,-20.080783405393223,-20.333614754076592,-20.44796042198169,-21.079053493993758,-19.661843643321113,-18.771420308836063,-19.67603764588047,-19.637297670948296,-18.925853548346332,-17.989205749878217,-18.52144523067591,-18.05125628915336,-17.49225205401013,-18.086308031395244,-17.841648737517556
"Net total",282.50266519902215,279.7212984934297,285.02076867160594,289.15813393683686,285.8309703177603,292.96715770297084,301.65891792568505,296.24893501930364,297.1056342280363,295.9157506568539,302.8611790535612,288.9665307454169,293.7395729631771,297.5819706449319,293.58554895437317,300.1947929909589,291.7166174663047,294.5012469980008,291.3757356348399,262.160132171987,267.4263875828923,253.4615244097944,233.4056156588932,247.22226657685832,245.268923425734,229.79532971554525,221.84860537709568,224.8576652020504,231.53472849403462,213.67960031380332,205.53699685357915,218.44297449805822,219.52878448111437
"Gross total",302.556803366062,299.7863196753871,305.02946463597124,308.66837850634624,305.2939820988012,310.7537456713322,320.2935286383156,314.11598694065043,314.3795401928347,313.03225992213487,319.236657506162,305.9741771457359,310.1792204234827,313.66132508426097,309.5864098855128,315.51088874462374,306.33735647023093,310.4003649976092,305.62088762742854,276.34792834390333,281.19443748130675,267.7725772514125,246.0505085210467,259.12585276506667,258.6020414885171,242.70327204719655,234.3930679736369,236.08234440689324,244.07607892820386,225.7065056442864,217.23878501633612,230.62673092815785,231.34159135244656
