"Mississippi Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",49.65368112943113,48.39133175289792,48.713339956112854,50.845145472966244,50.41479303356207,52.548812595555646,55.35591717525575,56.50647575084588,58.21200024143932,63.21678394977762,62.78162628640662,70.7017662316471,63.27656195664939,64.57343096682777,66.15081761675647,64.84492526105376,67.04384007391543,68.558895281074,65.40251179559763,59.962874434217625,64.24295684997665,59.306673988827335,60.79082389152033,58.13701597374494,61.41351138976792,62.07636757998273,62.86979860783062,60.773065303716905,63.89474278330936,62.69342662331655,63.47761017631936,63.963125832011364,66.48032615767148
"Methane",10.186354964633026,10.145843394366732,10.458820252546639,10.589963644107764,10.883132203567472,10.723929811259339,10.803235904181449,10.384704495389139,10.65941883029825,9.55272708045265,9.833144689959541,9.464044169647217,9.88117153356975,9.837170829020046,8.95553651823797,9.917564773620677,9.241653938639153,8.944033030880286,9.183961004453874,8.587201139079891,9.969962590271013,8.798990899613798,9.193946659274172,9.408293758155938,9.03881942751468,9.545529924012158,9.369413826675562,8.39411372144542,8.847176209106925,8.771204389443538,8.362824948907496,8.184557549441765,8.144705973046223
"Nitrous oxide",5.295589565742523,5.73138269829295,5.559045177764471,5.718182342102338,5.824695726553528,5.731671717315498,6.165584644470765,6.074831443550162,5.867704135342665,6.123511557770155,6.230866953558002,6.538770963998299,6.634663035490441,6.728398381659298,6.433535577204541,5.989141481975095,5.975408817998099,6.232553340059041,6.058234342976834,5.895605462115828,6.231453060118332,6.184910375651902,6.258806817568368,6.205288120617128,5.977694935908387,6.204544409114095,6.03322852402094,6.433308612740942,6.178756797459263,6.218790744760852,6.056936614649928,5.5597268601839565,5.767564866827183
"Fluorinated gases",0.3791779559925831,0.36622860542305247,0.3783660692809919,0.41902670009259607,0.503852496883578,0.6848869999253056,0.8068051518308966,0.9242419357255226,0.9825082679779261,1.0842011365861184,1.159936308815493,1.2309072983320493,1.2652741926954463,1.3030911360525812,1.3368398508579236,1.3724641928136831,1.4171631946605052,1.4788316775569368,1.5615531926110622,1.8362726360059396,1.8962885917327434,2.003147278455151,1.6894515712928952,1.6969055021411668,1.6968469941598106,1.7783374264222978,1.78523344889183,1.8508058920246273,1.8378889870096748,1.79165962006871,2.0215204094852997,2.0983677801771177,2.1459333842672526
"Land use and forestry carbon stock change",-70.92800261246985,-70.62464461228043,-70.84667790977217,-70.89592441959705,-70.99088773746963,-71.01059839233942,-71.87783850785894,-71.40359894073833,-71.80834159025855,-71.60305757426383,-72.01190975636808,-70.72098019713519,-71.04333447927766,-70.29411583377828,-70.3567582174308,-69.84887942904184,-69.29780553074157,-68.72802977063616,-69.1737671027949,-68.90248754941052,-69.06308376303042,-68.88515336789607,-68.41453889824557,-68.71161962535218,-68.33683485682873,-68.57035684564144,-67.6296825897536,-67.311635588084,-68.01167474143291,-65.88267177047867,-64.1390027561176,-63.00924447102733,-61.44359429085535
"Net total",-5.413198996670587,-5.989858161299793,-5.7371064540672165,-3.3236062603281056,-3.364414276902991,-1.3212972682836295,1.2537043678799336,2.4866546847723754,3.913289884799596,8.374166150322722,7.993664482371571,17.21450846648949,10.014336239127374,12.147975479781422,12.519971345626104,12.275216280421375,14.380260494471614,16.48628355893412,13.032493232844502,7.379466122008765,13.277577329068308,7.408569174652115,9.518490041410203,6.735883729306977,9.790037890522072,11.034422493889835,12.427991817665358,10.139657941843893,12.74689003545231,13.59240960711098,15.779889393244488,16.796533550786876,21.0949360909568
"Gross total",64.42473299820836,63.553102895405026,64.01083034479947,66.42910656756716,66.3683402830268,68.2346643535694,71.5265064777411,72.16002077775993,73.90657567368733,78.06011249065953,77.99042012695969,85.84301378154188,78.92283716059555,80.25423264065623,80.64170802027208,79.8013269542122,81.31139377063171,82.78775531888745,79.63985597256507,73.48076714575909,79.39921139270378,73.22197179078424,75.22556745586334,72.64386240938937,75.30053587322398,76.7534862308749,77.20220405216286,74.55264975223558,77.84702205698775,76.64350078322813,76.86378769609686,76.66071120300018,79.35513086976198
