"New Jersey Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",105.7410996629527,104.31303054900292,110.74842907017074,109.04274503099032,119.11783459730773,117.93053641106242,120.48009600187417,120.8921463552241,116.47595505543671,120.93796266942209,120.07875723425309,115.93717187498692,115.03638117152718,117.35462438164117,120.33847557577705,122.52412362086203,117.15680137606525,123.45370775160177,117.14470148635907,107.3023455124944,102.82599424100468,101.21945787095709,95.92648088067537,96.96856680975183,103.07147067602705,100.94167319930449,102.99241770026352,96.58580874561079,100.62967483243627,98.4709881576911,80.90644385149274,86.52543156369752,89.53501590857387
"Fluorinated gases",0.8443534347782128,0.8493623244040264,0.8786440242282947,0.9770769872070686,1.1767599018315316,1.5864198368237672,1.8900411366900431,2.1859226408181036,2.3774334211299455,2.604511039160638,2.7960650304973935,2.94987256219909,3.0777924415170226,3.2129047092107643,3.325386533749824,3.4061117139483086,3.5743432842835197,3.8129769152441697,4.083044958620479,4.209895836840128,4.001755675291543,4.211082859578391,4.34650786624196,4.968250726727478,5.399790311165641,5.113130594018082,4.637879357807929,3.9957583887476495,4.820693527105401,4.528124167881349,5.075934762198986,5.239017390895651,5.47963029128382
"Methane",7.687895091310453,7.138819715620488,7.239466143769761,6.891428231546431,6.7592208956661874,6.153599250308923,5.958877703877304,5.574982901548079,5.181860196394771,5.195606297640368,5.373178599884847,5.03419506771849,4.9618947675623755,4.979271018169747,4.925852358456749,4.6161871325345105,4.715002288528466,4.622956344859227,4.445873776958386,4.3133694948098595,5.021519972233924,4.732244819786792,4.660354040136409,4.716355004357442,4.657628937214817,4.662343459521621,4.483929334960124,4.319572808561442,4.164733683439243,4.03471041658176,3.854159068377183,3.690623101442887,3.6608798916182774
"Nitrous oxide",2.6792935773479862,2.7025177259159494,2.840693045706555,2.888310249533112,2.6068434508261857,2.623921251062828,2.712329626168355,2.6538848509537045,2.609735118423012,2.624081651464022,2.6029901041699164,2.5399546744138903,2.537172719884773,2.453349294968425,2.451215832790934,2.3732187696670044,2.4051105371932473,2.4139630323302486,2.3086121290797346,2.1992473076843773,2.037829592948746,2.0511656257108943,1.8820831364354536,1.8940544364927858,1.8331681661060073,1.7682964271101267,1.770442921925923,1.7045317455359692,1.7429335805214965,1.7322115337845176,1.6550928184712959,1.6759992965609245,1.6513100302135186
"Land use and forestry carbon stock change",-5.909774260217616,-5.972712125955024,-5.96725160684748,-5.930672628854806,-5.862387745925667,-5.851410202817607,-5.85327999984193,-5.871462513240426,-5.9360664932154155,-6.014547008659454,-6.1067056008437035,-6.168650935956349,-6.184946137508975,-6.211419761268806,-6.2993352382184025,-6.386656763729363,-6.404025065835108,-6.45231149638571,-6.444479780571462,-6.414050155338702,-6.446607652198199,-6.331902320973329,-6.370209417720884,-6.304389080827745,-6.3591650143187435,-6.319387032250985,-6.266183267850157,-6.380614257215809,-6.286954068055356,-6.24176185348684,-6.311101985576555,-6.234786425603342,-6.194276609917983
"Net total",111.04286750617175,109.03101818898836,115.73998067702787,113.86888787042211,123.79827109970597,122.44306654644033,125.18806446876795,125.43547423530356,120.70891729816903,125.34761464902768,124.74428536796154,120.29254324336203,119.42829496298238,121.78872964272132,124.74159506255613,126.5329844732825,121.44723242023537,127.8512925476497,121.53775257044622,111.61080799649007,107.44049182928069,105.88204885505984,100.44521650576831,102.24283789650178,108.60289307619476,106.16605664770334,107.61848604710734,100.22505743124005,105.07108155544705,102.52427242245189,85.18052851496364,90.89628492699364,94.13255951177152
"Gross total",116.04258684245696,114.078806337848,120.72816914696892,118.73791522831122,128.39661970741082,126.59751931556876,129.06975011545222,129.044816996645,124.19126757839683,128.67218573249215,127.96331300971278,123.39614604198374,122.420249463237,124.66648888991854,127.57399655833584,129.33651885565206,124.09512611681315,130.29877294561996,123.74216819741977,113.6688511132451,109.74524315586595,107.89086650660246,102.28594968843737,103.50534427162097,109.35458919019071,107.14461593154999,108.9109906256231,102.29325469556696,106.4150105089646,104.06001557616543,86.1905166047523,91.66639043455258,94.6728885729938
