"Michigan Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",188.8021904988768,188.24091868173647,188.48326416994433,188.96074908028544,193.39219870729843,196.37595416182512,201.6314457446476,198.83740789685868,197.48838633787494,202.27938082420292,200.7348444492142,196.31416164887682,196.8691018091502,194.69792749538928,196.21789897801983,197.06781627914816,185.09788042659895,187.208649435653,180.10822319150236,167.8825323654596,177.1493154268698,171.9430612722703,164.4022110197276,171.9880278288085,172.07849282723055,171.2645037752204,162.39488430936814,160.03503234046508,167.41756631545758,162.45736064837354,140.8823811511494,151.39179272937042,157.34723579449837
"Methane",21.700444029833278,22.02556645966296,21.93622040238665,22.882563512038274,22.71599321547593,22.141968314657408,21.82161173381956,20.976864211923633,20.43298858408274,20.159346840916424,19.761749740183767,19.12603557671539,18.91071716684317,18.61495624758923,18.695975003367092,18.614854605549787,17.818045497993243,17.937522898099832,17.324742660310054,16.848575340225256,16.5707922326984,16.086617506071928,15.957429812401852,15.609619725115913,15.874166384254515,16.662579211998917,16.49841482463736,16.547116581853302,16.77184904728561,16.288208579588055,16.124495991293752,16.907474886191636,16.592588873383434
"Nitrous oxide",8.860103800845277,8.719624364780115,8.864625638837397,8.68399587726441,8.979299412437761,8.71617422556871,9.03049691529043,8.720660743824622,8.83379231159257,9.442356085883832,9.283396912129007,8.79482427348793,8.661854795365928,8.780548826656204,8.788708517405327,8.110850222259922,8.833916876936387,8.37591528418527,8.254850297906389,7.702927573465781,8.037236670441446,8.336707512195085,7.619380431571062,8.405198559222852,8.19667398132297,8.136918003922087,8.274974815229973,8.087494662464174,8.149974333506725,7.881956058151193,7.452654479365951,7.514858783558468,7.497517400007327
"Fluorinated gases",1.9692971359467295,1.8392728120982753,2.0141414897864136,2.0987764511778386,2.369821598959346,3.0335889261664426,2.6078670223573606,3.009075166503512,3.2051797473510297,3.4946454361745043,3.7067248343725505,4.290570106898813,4.519483099441074,4.710428638559627,4.708305267196036,5.009125172223656,5.157272070221815,5.377127384948922,5.305877592269056,5.2223672996334445,5.691927947898137,5.78322611342417,5.886234454575885,5.670816758036829,5.266520718906707,5.539796090141512,5.232356780723211,5.576079008561063,4.757484045294437,4.849495953935651,4.697311897478503,4.767532288643794,4.8642701923998795
"Land use and forestry carbon stock change",-18.672881825961856,-18.44583172875715,-19.01894821441724,-18.222867062354773,-18.803663982579206,-18.50157935434196,-18.994282238703956,-19.290499910805185,-19.416796448594216,-18.44778878461943,-18.998942260802423,-19.65503222809574,-19.869176387758426,-19.952746852980102,-19.78456540451834,-19.975302121523388,-20.195944466156963,-20.402001235084565,-20.49278793787684,-21.030936267488496,-20.666249234459947,-21.47822425078247,-21.049701116687825,-20.891922885918596,-21.33072290771017,-21.3674073347295,-21.39068031571311,-21.060532918175564,-20.98347528980214,-20.16858807753693,-20.350159081597315,-19.969716107476266,-19.767787562602802
"Net total",202.65915363954022,202.37955058952068,202.27930348653757,204.40321785841118,208.65364895159226,211.76610627387572,216.097139177411,212.25350810830528,210.54355053230705,216.92794040255822,214.48777367509712,208.87055937788324,209.09198048304197,206.8511143552142,208.62632236146996,208.82734415765816,196.71117040559344,198.4972137678025,190.500905804111,176.6254663112956,186.78302304344786,180.67138815317904,172.81555460158856,180.7817399852655,180.08513100400458,180.2363897465534,171.0099504142456,169.18518967516803,176.1133984517422,171.3084331625115,148.80668443769025,160.61194258028806,166.5338246976862
"Gross total",219.42292234081106,219.01584241193618,219.31656669585965,220.54479562425948,225.0592386488235,227.19340953413186,232.48618324765238,228.5052004486595,226.60749253160728,231.67857169322122,229.52106252406693,224.29982444144233,224.55480395874602,222.20727105833714,223.6792233722824,223.93318396624014,211.82370627041678,213.39166108129177,205.4600824498602,191.86345970779652,201.2208412265193,195.84894244430788,187.29954130017012,195.29019200853202,195.4739078777182,195.3339066209772,186.4206843502813,183.93389861707493,191.45788665436126,185.8046407645838,163.68473499832817,175.0077602182868,180.62382389892488
