"Vermont Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",5.736053409250411,5.980528164521513,6.353491450604572,6.345543486806792,6.201285133820303,6.256661931035764,6.690470284906023,6.752367895397102,6.463748382763388,6.375953533903784,6.812777551654647,6.795058306002699,6.49521895648823,6.79921571331123,7.221829164994606,6.934575205458826,6.916254516761277,6.688940198014681,5.9626832861554036,6.26515050763922,6.07631712453269,6.045186994557249,5.556607460850985,5.845940856831062,6.071919901171451,6.205291603902106,5.936347323371814,5.803063874739976,5.9302558515390045,6.156731151248382,5.511581599662137,5.551342938433411,5.622296523911856
"Methane",1.2672451285133677,1.238172182731356,1.2307247755903057,1.3635528553877352,1.3093895941284572,1.320293148264024,1.3703403265823286,1.3568726807415714,1.438055258361293,1.478268097126256,1.4900233759618828,1.499610605847656,1.489555927419786,1.5026104821081325,1.4620448356728795,1.5261368039527492,1.5156124316434834,1.5273573032003862,1.533962509388473,1.5775991490798404,1.5523283390742728,1.5761509430811669,1.5542269097342096,1.5855168352490239,1.582281659149869,1.6680374657971926,1.649834942643577,1.6435480517367713,1.6898703734452987,1.6614945676144557,1.6728409162528906,1.6112710507947818,1.6412587090033652
"Fluorinated gases",0.21184348594864053,0.20958873988953042,0.21107448383940197,0.25235204844329545,0.2818595031552403,0.35840521037492884,0.4043131782312205,0.4375094238846238,0.5120237317748602,0.5330314485493463,0.4881420370888192,0.41143609104645007,0.42447629287980826,0.42274195383992924,0.4173800521783931,0.41370948376698197,0.4410332040242597,0.43418115727476114,0.4421502678145829,0.38931935863752043,0.4120377279454569,0.6744900142802969,0.643731218447531,0.6422614291309089,0.5799288610672657,0.6133390713384285,0.7088468333726969,0.610788530615036,0.6008293738091129,0.6395123140296557,0.6445206689880945,0.725835500147395,0.6525815559463651
"Nitrous oxide",0.6223314968650405,0.6083607520750705,0.6102244346299046,0.6280817853906225,0.6390654687078886,0.6273593591874764,0.6482235046707799,0.634059348456923,0.7039449330037862,0.672326722977087,0.6621782196417184,0.7002719442734907,0.69661146167074,0.6625163850656842,0.6602608078925216,0.6558005909708015,0.6372073512018873,0.5969009502372882,0.5859339246468509,0.5980945409529368,0.605803995096979,0.6036550848935286,0.5941032444156111,0.6119211446787541,0.597030471722354,0.6269842492739172,0.6125330326784105,0.6192419338828443,0.6014685827836702,0.5943834758260624,0.5705531771082659,0.5649543999830801,0.5571437787178597
"Land use and forestry carbon stock change",-7.311247946883048,-7.238140695153064,-7.14079320420403,-7.127715081239828,-7.0494235741822875,-6.9385025349379115,-6.874452338173282,-6.795269610105146,-6.771292942566298,-6.727911056888709,-6.569709757903657,-6.645283668167546,-6.537292805369056,-6.514640355249964,-6.463867482742573,-6.499337193113598,-6.430283243778647,-6.3649077721215415,-6.384058093205285,-6.334555441973992,-6.303049268969167,-6.2368212057963515,-6.2170939108631025,-6.163092580818178,-6.078625931058,-6.105039798286968,-5.999316730551849,-6.0306351040590815,-5.956244632721161,-5.902016997062197,-5.865660039500258,-5.810261475124588,-5.757806914676317
"Net total",0.5262255736944121,0.7985091440644059,1.264721940460154,1.4618150947886166,1.3821761256296012,1.6242171139242805,2.2388949562170692,2.3855397383750727,2.34647936333703,2.3316687456677636,2.883411426443412,2.7610932790027496,2.5685698330895086,2.8724441790750133,3.297647377995827,3.030884891035762,3.07982425985226,2.882471836605574,2.1406718948000254,2.4956081143355267,2.343437917680232,2.6626618310158907,2.1315749225852336,2.5225476850715705,2.7525349620529385,3.0086125920246767,2.90824540151465,2.6460072869155464,2.8661795488559267,3.150104511656358,2.533836322511129,2.64314241423408,2.7154736529031283
"Gross total",7.653422990984148,7.851783656498428,8.218092349905998,8.392656125534206,8.218979730731752,8.318022120835671,8.845927188839006,8.89211997414469,8.811427286565392,8.737397760830635,9.124025288188697,9.068507465796662,8.75899849398089,9.030232286119519,9.396099271887625,9.156613311594768,9.122806455139052,8.846843306287907,8.110334066276451,8.412943695546456,8.241696854206646,8.489342578621837,7.927262342492981,8.214568978821731,8.318914016129735,8.610546864339517,8.405202978721347,8.216112832391438,8.328242439985226,8.573113141533781,7.880695656505485,7.919774886980825,7.931785561038283
