"West Virginia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",102.97370691682805,95.10324069641983,98.1005826499832,98.297277120701,106.44127357771823,104.9737452023322,108.21591677125092,113.47011177291505,115.21043801233094,118.63344114103508,115.6641644641624,105.53128217409831,117.71320595846345,114.52617219917451,112.28084534678129,113.90391239447098,114.70210723277751,115.59286775597218,111.94216339582894,90.70594538538028,100.07095332745386,97.51535503483527,93.02070658279331,95.84292709762414,101.66459645456847,94.6071168003537,95.10745536170508,93.3330994020322,91.83142939445142,89.37931625501498,79.90311834500359,91.59561372991723,84.18323025614401
"Methane",40.41314662587736,41.33942221717413,40.90526667823543,33.433018948650144,32.28333243690799,32.01990120394155,35.224371873088614,32.08245776280408,33.11018370403926,33.225949540035195,28.523379970203216,30.67645528956668,28.50296852467687,27.125057010792705,27.924848431812148,28.61288587449831,28.55091542416925,29.22914740597051,34.31870820327922,34.5712005636294,34.22193934234835,30.781903838842993,28.55069718619591,29.35783870567906,31.900446892143016,31.066578680081975,28.91895883963172,31.58597388549005,29.825721186697574,25.827518110966547,25.850510440144827,23.573435962495186,26.830469722393314
"Fluorinated gases",17.50855778914687,17.529468750151363,17.52056617035304,17.549117399319798,17.59385477514611,17.65249105974687,17.713792365322348,17.79724557527927,17.843978808648796,17.944303019454654,1.2902340299026869,1.337927941870021,1.2676571179734428,1.229076983484586,1.3065719601379777,1.3000691570642997,1.3101684734908274,1.3366693621727264,1.3239258403820657,1.2992602094060182,1.1293980508946388,1.3118294826707826,1.5117611509304174,1.522515987201224,1.6547902678266528,1.5350767734249213,1.5581016673835728,1.1032312381979874,1.4573728134365322,1.6401556518588998,1.6386053461745123,1.840916845592783,2.0973309861240415
"Nitrous oxide",1.9524371195596388,2.4369708167366495,1.9182454359882126,1.9597733825705452,2.101842891184188,2.0646592426531027,2.1422577724361673,2.1179683401040803,2.140111891412859,2.28531220587984,2.1103561697164097,2.053604009312983,2.1570985102918923,2.0992004279200205,2.0740476334046196,2.237119157503101,2.1420705483398117,2.1574356377932227,2.0247358448006127,1.8169517680108291,1.9522538473179238,1.9525636802512132,1.8151846766281539,1.9448704261252718,1.966995094299318,1.8754036343628175,1.9803411154404202,1.8290695519941236,1.861314739785318,1.6920910840107906,1.668405022634513,1.7760863480064057,1.881463705472597
"Land use and forestry carbon stock change",-27.973281298631242,-27.986654731168507,-27.810990964175488,-27.876622381385385,-27.882522910379326,-27.888054442190715,-27.906190466053,-27.857922076467997,-27.868056562697486,-27.932887267832267,-27.707903373253625,-27.812958073780234,-27.795405648476212,-27.774148488883064,-27.554234413845762,-27.65230815500446,-27.648682648881824,-27.82406547213111,-27.768313847906914,-27.849748583432614,-27.78811164159333,-27.650021179526334,-27.7495028225989,-27.75216807809395,-27.905336422780575,-27.933090142099374,-27.933334184215248,-28.04327873970839,-28.024490705643206,-27.848542561410277,-27.838308610853833,-27.91330105041271,-27.83984793937733
"Net total",134.87456715278068,128.42244774931345,130.6336699703844,123.36256446985611,130.5377807705772,128.822742266483,135.39014831604507,137.6098613746345,140.43665585373435,144.1561186385725,119.88023126073105,111.78631134106774,121.84552446292943,117.20535813248875,116.03207895829027,118.40167842853221,119.05657902989557,120.49205468977752,121.84121943638391,100.5436093429939,109.58643292642145,103.91163085707393,97.14884677394889,100.91598413853575,109.28149228605687,101.15108574612402,99.63152279994554,99.80809533800598,96.95134742872764,90.69053854044094,81.22233054310362,90.87275183559889,87.15264673075663
"Gross total",156.78921655168708,149.10632104552747,152.3771468095135,145.14626335615293,152.21255542103358,150.4358117400509,157.00671913182975,159.11804538580665,161.9048482380796,165.40960002651207,146.83770672863338,138.67268555421538,148.8697606962346,144.18043739536444,142.7560343294596,145.19149289887073,145.82002247827373,147.38664992568624,148.6412546168871,127.4032041567848,136.41248800738313,130.5924043946449,123.85283624238826,127.50599453134824,135.9322185772689,127.85106147249894,126.35151264812049,126.82409698026926,123.77809385305268,117.37369813158662,107.85598089193634,117.52100517245911,113.09212986763151
