"Missouri Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",107.50905877276445,107.92008870052727,107.58287805230614,105.49352658427735,113.72896259247484,120.06626226442494,125.47003894874197,129.1828663892551,131.1840194448414,130.94190035685602,131.75573726818567,137.03851048095513,138.12272085374445,145.00947448261618,146.2968175963512,149.34554364348094,148.4467601660339,146.1840730170743,142.67506824290854,136.60502003368128,142.27253850224912,142.5086333569657,135.745884410252,140.52070714266722,140.5521020865169,131.14126131152113,124.71446179175993,130.7839793214335,131.58822080787573,123.54220208506287,115.7977302994317,123.84325271179553,120.02749915312886
"Methane",16.346032495697827,16.466338319601064,16.40365471276633,16.491694493120793,17.05369843971978,16.619020223321666,16.681376291790965,16.434597829682023,16.146930542393445,15.907059334391601,15.849709855517775,15.77705644602669,15.728271343170602,15.554032952951836,15.460389002773658,15.56758502028148,15.836805458200475,15.718251057501714,15.306366221526833,15.09324581041037,16.40974175852368,14.223967346499787,14.163536616569354,13.744917580173716,14.097401883027947,13.959972945966184,14.543042155067205,14.90263194324011,15.575442067486913,15.095424501473998,15.159590923127356,15.053339460462489,14.543270253716553
"Nitrous oxide",14.78877046425409,13.302336735057144,12.632885496759604,14.219442158864105,13.723465669120442,13.824047756263155,15.093698859738737,14.452427301686653,14.306932476797924,13.296122551584759,13.787746499029316,14.548479140970471,14.758450314202706,14.743096558872557,14.318920922239572,13.38065055819918,13.247368895486991,13.384005488854452,14.782083007700232,14.315922468691715,15.117381805929853,14.500915864541188,13.478129887026515,15.9296739805259,16.300337923172812,16.166955683517493,14.071274265059902,15.683796001817296,16.136777806552402,14.753058927997309,13.488504656102078,14.258665524557491,14.51639361899215
"Fluorinated gases",3.71088048495461,2.0873565263657086,2.0234463104194513,2.157656726813,2.241289750528896,2.61022276163543,2.786934256017165,2.986081643118972,2.903199404396409,3.015937842884522,2.6810638757862386,2.83862996445497,2.915428219384965,3.060724697258177,3.0870515249854176,3.2311656952406356,3.199906665275383,3.1497378985257525,3.254658007470878,3.560880615391111,3.72489133536577,3.6356353822814347,3.8148504121391262,3.705600822858896,3.444423431533523,3.7516836726548473,3.2513685970899,3.384542032848134,3.0782500484792488,3.249534356583361,2.984773247780733,3.09167259965905,3.118818412779052
"Land use and forestry carbon stock change",-26.74522074063436,-27.213838239941683,-27.193389343436476,-26.7401701841152,-27.57571085656347,-26.04669660523743,-27.788979349120645,-27.84780613600683,-26.389205937381817,-26.896382711913255,-26.28249214797044,-27.039442307684656,-26.947538162297754,-26.976256095896137,-26.537651826283877,-26.16367338090909,-26.15049658829115,-26.711901713990546,-26.399186494426235,-26.294771792115675,-25.75967574366163,-26.169322117695515,-25.34095592009469,-23.446036297229398,-23.98684471847367,-24.649114441377638,-23.865312997246505,-23.793007851709376,-24.213457036834573,-22.69911426647281,-23.30523935567348,-23.00028143880155,-22.860603148720497
"Net total",115.60952147703662,112.5622820416095,111.44947522881503,111.62214977896004,119.17170559528047,127.07285640040777,132.2430690071682,135.20816702773593,138.15187593104736,136.26463737380362,137.79176535054856,143.1632337247226,144.577332568205,151.39107259580263,152.62552722006598,155.36127153629315,154.5803445967056,151.72416574796566,149.61898898518027,143.2802971360588,151.76487765840682,148.6998298325926,141.86144540589228,150.45486322899632,150.4074206057775,140.37075917228202,132.71483381173044,140.96194144762967,142.1652336935597,133.94110560464472,124.1253597707684,133.24664885767302,129.34537828989613
"Gross total",141.14910468459297,138.46953602851013,137.37784989442144,137.0322342352789,145.13667598153552,151.2301360348367,157.89693544249752,160.68994575312698,162.0099980939801,160.4272451075038,161.1589212143782,167.16281531363344,168.36003488431282,175.08460038629704,175.77859053208573,178.0197751868308,177.09136435493306,174.65676720435525,172.0911155717498,165.4256384970662,173.0137857973068,170.34784032280973,162.58183986597837,169.37637079082057,170.1376572130447,160.543504391454,152.2956844059033,160.269245896386,162.3139273432191,152.5142839524019,143.4896307018678,152.15508239769372,148.11892764814192
