"Pennsylvania Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",254.9663845936679,251.0226043987969,256.2141068829599,258.37825588471276,256.0306867743269,260.3679189841255,265.6044403395317,265.8775453190804,263.4978256544856,263.7975652944181,276.3859469266444,260.85133150575734,267.05120897163954,271.2957830575225,277.65129968425276,278.40794426517664,273.787484385452,274.1110588433336,266.6394210991911,247.25568792307502,256.1821075924593,249.93346595117535,238.78916312740068,247.86854219125044,246.07584227525936,232.38432979929013,220.0365199590782,215.8100154247266,219.58408351683667,219.66835736146308,199.439404458665,216.78806680847006,214.42223408751616
"Methane",42.35276104910164,48.99260676611133,44.31603844659485,47.57205067402595,49.59804976938752,48.372008859166314,53.50683675079808,54.17031295367909,54.48689057644987,50.10703629365129,48.81844779081643,49.819467003522846,47.83123859120969,47.827502314489124,45.64246773336743,46.12962601122652,46.82076091016716,43.994378339318196,47.44585820469735,44.27557466772722,42.34640528085113,36.3983489874269,35.63679959089747,38.682506344401276,38.30755153650724,38.60348233951644,37.97813437546857,46.79682146256456,47.890908862977156,41.249909826217674,40.4025240697355,38.38568155104853,36.406991907636
"Fluorinated gases",1.047974870103195,1.0371117864000772,1.1357846160018978,1.2688075616499586,1.5516115414952247,2.1684460390349933,2.550531955834258,2.8997448363234546,3.1505310575669565,3.5637041475318005,3.860636214517479,4.101403985492778,4.391784992991033,4.528242630525177,4.708903753275631,5.0063712957769555,5.358007511135138,5.598920930025761,6.077933329431029,6.028981740608113,5.825889892790053,6.111246489887165,6.038613828292682,6.616457932603211,7.557017163025597,7.233415586286289,7.346090103224926,6.538945578440467,7.616020556886809,7.68568928311832,8.493218564687675,8.440592264769318,8.693641715553946
"Nitrous oxide",7.41410300659065,7.1519211384339325,7.6369090721556265,7.558739889259002,7.672028889142753,7.787369614000861,8.084743625224048,7.651206501973922,7.739597742332735,7.794073061159373,7.623583494858637,7.4812615561308435,7.735082175103866,7.424151845287255,7.31375347154316,7.078506135416388,7.770459236165205,7.686880582885127,7.266996531292015,7.2369270227099065,6.8072348206174205,6.800791489896839,6.543002114017691,6.627643852920085,6.661445876574611,6.330398418865998,6.101072763837271,6.027306229849781,6.285571322115509,5.847195344191667,5.5163254911773825,5.671281260976607,5.544464886259532
"Land use and forestry carbon stock change",-33.68067177478201,-33.811490472487236,-32.954107007141545,-33.11734134438689,-32.81029254153328,-32.744854274956054,-32.71443796971743,-32.530850490604585,-32.44531179174007,-32.42811313561634,-32.647743448397705,-32.812857081750515,-32.81796862333322,-32.45322672007879,-32.45331475171146,-32.59389334252782,-32.263514794190385,-32.5973691435366,-32.308199171027184,-32.310733038131396,-32.222881736298355,-32.080286945077994,-31.784108515025316,-31.550260846105154,-31.657093474802192,-31.454190249378353,-31.16586433727743,-30.947581377024633,-30.89817979993128,-30.433739523091784,-29.96095464217363,-30.541267463737434,-30.27182996735652
"Net total",272.10055174468135,274.39275361725504,276.34873201057076,281.6605126652608,282.04208443281914,285.95088922137165,297.03211470167065,298.0679591204524,296.4295332390951,292.83426566114423,304.0408709784392,289.4406069691533,294.19134610761085,298.6224531277453,302.86310989072757,304.02855436506866,301.47319724872915,298.7938695520261,295.1220099935843,272.48643831598883,278.9387558504195,267.1635659733082,255.22347014558318,268.24488947506984,266.9447633765646,253.09743589458057,240.29595286433155,244.22550731855677,250.47840445888485,244.01741229189895,223.89051794209195,238.74435442152708,234.7955026296091
"Gross total",305.2216389243322,307.63511862770434,308.68013317662445,314.0049498145554,313.7738809528086,317.01440512366736,327.6361626285276,328.0811405367445,326.07719630428437,322.16293350389077,333.30899109140006,318.624379246635,323.2013375655526,327.082205605299,331.1488955793792,332.2838479491797,329.14039515855376,326.5148759206174,322.2463435059586,299.50398222035955,306.15853852377234,293.95488937191095,281.5064037805631,293.54479227628406,291.4729868682394,277.65716318587175,264.5112878012571,269.19247383249586,274.4096952092179,267.8526445685307,246.56396080860867,261.7786306478057,257.2972480352003
