"Virginia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",94.40546285308652,94.51943139960505,97.21533260758379,101.52827441470896,100.8440895437297,103.4494561057043,108.36658182301903,110.44376213985353,113.00112242913977,115.39924041650339,123.12741405035221,120.78503937001645,118.69733617072987,123.67561338683625,127.22909326176001,127.56413639472102,121.08966166491443,126.62344271370407,115.98847947193637,104.85665723367148,109.69359045547131,99.71538425075693,96.56694840568018,103.32476995620891,104.61006820493327,105.34588212371271,107.37371366764181,102.31003960604663,106.39858050174094,102.13194815440059,97.06192635449669,97.61122924578038,94.57208765144135
"Methane",36.05793690712744,35.169782847313684,34.03242757212965,29.3531009632855,28.093908309517527,23.733361258742388,24.434564201065427,23.90947727270309,22.426349074733128,21.896642228823545,20.703456840241873,19.93722904392394,19.816583196970335,20.90141256515144,20.54527259481155,18.965388943376606,19.782533529054394,19.700516375799296,18.808892757778267,17.35311127149013,17.29106900571119,16.75470545184078,15.309432564027489,15.98325414858526,14.76500069974032,14.841605820381911,15.766365887180937,16.003679020491017,15.705058012337798,15.434954659691709,15.380760103690044,14.554340368522011,14.099301321577427
"Fluorinated gases",0.7807934992884179,0.7698230400171965,0.7888237820567102,0.93207554481955,1.1143414789825115,1.5325664031353896,1.8198059819093018,2.0732228685138967,2.3373309312038697,2.5391245494601846,2.576607272175384,2.549722052678757,2.6689772717165106,2.759224275421798,2.8401384104927665,2.933950774853572,3.127008679550641,3.2664439173468787,3.4795652329219076,3.336221022480364,3.1617762746131084,3.2190727258772096,3.423197176848228,4.012970288776465,4.358993329056598,4.251666862964875,4.30795057460107,3.6785765286734198,4.1837822142247445,3.982880426641877,4.454143542514399,4.634398916929207,4.792483715864194
"Nitrous oxide",6.21484036730147,6.191837574595841,6.413294739960267,6.533927959911741,5.620755620483448,6.795389523163335,6.902746231147797,6.56299189103399,6.688449505470908,6.950630233551907,6.879619100269039,6.847819710615975,6.601978650427873,6.816848666800899,5.444556773208529,6.494486218630528,5.5569800652155985,5.0001262039675325,5.0659352575707075,4.941890066755746,4.883963926171896,5.009091790062396,4.619158294663428,4.855951975326288,4.721841243510996,4.716462980460038,4.530616975888893,4.2249513778618,4.623572873809121,4.287986391434951,4.3036204536311224,4.262257801666338,4.24303867245735
"Land use and forestry carbon stock change",-46.23134345291668,-46.247624926759975,-46.298055347021915,-46.222816753109,-46.128079194622444,-46.00188336881729,-46.15960357237594,-46.234948125112645,-46.339111695179746,-46.3451566047068,-45.7433544470923,-45.722018986371864,-45.79029109041137,-45.643393875242126,-45.19006385462253,-44.60149437075184,-44.6120984060454,-44.011352196699434,-43.26988919960091,-43.34984309539619,-43.30691794618229,-43.06159540980977,-43.036111894967775,-42.75391584133984,-43.196372470634316,-43.2800726726262,-43.33508645257642,-43.65253131513191,-43.752248973471794,-44.05204259098524,-43.32652468339549,-43.08560111907903,-42.461023481328525
"Net total",91.22769017388717,90.4032499347718,92.15182335470851,92.12456212961676,89.54501575809073,89.5088899219281,95.36409466476562,96.75450604699188,98.11414024536793,100.44048082363224,107.5437428159462,104.39779119086324,101.99458419943319,108.50970501896823,110.8689971856503,111.35646796082987,104.94408553268968,110.57917701411837,100.07298352060637,87.13803649900152,91.72348171578523,81.63665880872755,76.88262454625155,85.42303052755707,85.25953100660686,85.87554511489336,88.6435606527363,82.56471521794096,87.1587446286408,81.78572704118389,77.87392577093676,77.9766252138189,75.2458878800118
"Gross total",136.34901400105764,135.52843907455622,137.31148492536073,137.12019072779566,134.27552268280144,133.75823324700218,139.54207073699132,140.7680171765158,142.0423273650213,144.16856063599127,150.45004749459508,147.19010764569228,144.72231419860447,150.96493323822622,152.73738531365152,152.52143361517358,145.92913682804416,150.79642965360293,139.2995310810688,126.41105099656914,131.0911188300917,120.56233315652278,115.53967492856106,123.32708001631768,123.02740005113024,123.8648478037222,126.60678877485793,121.48459580102788,125.68025755419546,120.79081276181759,115.71084458345229,115.38992632127906,111.88030016945135
