"U.S. Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",5131.6499179338425,5076.301372895377,5178.730810349306,5279.479607083444,5361.823147195187,5425.799248327825,5601.058061004427,5673.108955423774,5736.32525305614,5800.249574243415,6023.128148177368,5903.534232335323,5947.794809772602,6006.415938818053,6111.521392152836,6126.864113281883,6045.302994353958,6121.520898451957,5919.210138868001,5486.088761414115,5668.7421789052505,5540.330908188884,5332.810817220715,5473.655694441368,5529.8840736858265,5368.292857288843,5246.402925026022,5196.539832030505,5362.191228217139,5234.488240055776,4688.969207232187,5017.20207944591,5053.018688900267
"Methane",924.8021667986725,931.8612843240988,927.8457827004688,915.5187732488504,926.0126989770972,916.6676063531029,913.5890154157901,897.6526519871315,885.9815135416392,868.3379487994176,871.4393918356757,858.5622078073964,859.1477107186428,856.2082644764068,859.5407094742161,853.9660890414976,861.13600428016,867.2748378352492,875.0988113608132,862.5008300814416,858.4399590132659,831.8817328990392,819.2691325030128,821.772003022292,814.1108848837355,828.0560264655337,796.5243531172424,817.1265332832224,827.005199941144,806.8325925774409,794.6540700188804,782.5839122180828,760.794196966888
"Nitrous oxide",412.9917545178885,402.86995717305956,400.57482601191646,422.15675849694907,423.99520021082003,426.94488509025746,440.308926348864,422.96052310106603,426.99827862641393,424.088086972338,418.2877156739295,426.6228375883245,431.8019995308805,430.250578009102,442.0730272615835,429.534381428777,427.9882747776855,440.55594818078356,423.26182583796594,418.47893418959546,422.6659912237435,426.37859257764046,399.6602315743505,441.203343666608,444.596578744582,439.3106670431705,418.4431682492035,426.0538388644905,446.7168492508845,421.9174522337335,400.23322260292304,408.9158311274995,398.8215930061144
"Fluorinated gases",125.4545369899109,118.26542672540086,122.945239758313,123.662121435291,128.23867417262227,146.25659360916237,157.94342404451763,168.34102578653165,183.81039804032704,183.8266269442659,170.1073093248333,154.97291040720683,158.0773942915552,155.9283032116205,155.86813665413007,153.1538546125202,156.66711542790077,166.48687722398836,169.0454256624658,163.9874539125708,171.40323584799546,173.29608416332508,171.23707681452018,171.51947509269954,173.96801941427714,176.57134359413274,175.63422726743502,177.18829522023742,179.62421217485647,184.92205518870236,186.3215044688241,192.95698806254293,198.12803807771368
"Land use and forestry carbon stock change",-1034.678449644028,-1045.5897538067272,-1061.1302191889165,-1045.7082556139599,-1062.6524732227927,-1033.762281842695,-1067.8156304613274,-1038.2780025044347,-1050.4638325680426,-1026.344894698318,-1046.7691802833567,-1036.1276092584333,-991.750344348632,-1019.8243396047656,-936.8582528532409,-976.5779535905706,-1013.8519850578712,-966.2551872274692,-973.0698538960396,-915.0149500066699,-941.568710434999,-1001.8517605175444,-991.3060510748757,-949.3597925590318,-980.3686030678004,-896.2065624959843,-973.7671848118391,-991.883613506878,-978.2874711651926,-921.6074253163428,-972.7654550844181,-983.4181807838532,-921.7917633986787
"Net total",5560.219926596286,5483.7082873112095,5568.966439631087,5695.109004650574,5777.417247332934,5881.906051537652,6045.083796352271,6123.785153794069,6182.651610696477,6250.157342261118,6436.193384728449,6307.564578879818,6405.071569965048,6428.978744910418,6632.145012689525,6586.940484774108,6477.242403781833,6629.583374464508,6413.546347833208,6016.041029591052,6179.682654555257,5970.035557311343,5731.6712070377225,5958.790723663935,5982.190953660622,5916.024331895696,5663.237488848064,5625.024885891578,5837.250018418831,5726.55291473931,5097.412549238396,5418.240630070183,5488.970753552304
"Gross total",6536.914679809711,6472.689351901934,6576.351693627459,6686.455537238619,6782.638781318611,6862.137292202882,7056.258377603249,7108.979965312756,7178.9862880651,7218.632966649092,7419.881112289628,7287.316953475169,7329.898113813972,7386.887042755882,7492.328756925013,7494.637100451261,7429.178139898085,7529.904744263901,7326.352587491322,6866.918725635892,7066.007408745866,6911.766353666188,6660.905123599789,6845.403074355496,6905.851341988528,6736.216783324854,6580.035971121561,6551.027146579354,6752.749722091685,6590.128917258435,6001.80727546467,6328.794353034427,6343.209330316602
