"Colorado Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",66.88416255025989,68.68122757671469,69.97238059951559,73.47121052882471,74.15791076033146,74.46056577727009,77.50518111836918,78.11255505665602,80.86734141386899,83.14776263960873,88.31174766557653,96.11896063243731,94.75339473877028,93.03579695630212,96.1109739542953,98.47821946489063,99.39024087906031,101.50779118036654,100.01258522301686,95.1117467777725,98.06739413957266,94.85039935621096,93.51743760584637,94.68934548849023,95.95442986591813,94.93222656202434,92.2929072365841,92.32785543918264,93.27893552277747,95.1403369470349,83.77380001843488,88.16929114735105,90.47410289889511
"Methane",24.03368996558857,24.35430096208367,25.35825435076598,23.609901363029667,25.278314490642494,24.13177954339353,23.690147190055182,25.282406122964055,25.043382426841276,24.371023125465943,25.568952325718644,26.14583052197629,27.275623180636277,26.651499586599474,25.8729410654122,27.992438120303138,29.278150019706285,30.731202428314482,31.230529004375306,30.76225053198151,31.944932894925838,29.07721476826329,27.749794787400422,24.550724417952672,23.996285210230166,22.997438317931774,24.639196564466285,25.285186835015384,25.78653149196768,25.32340500451063,24.829010786248965,22.056971876657588,21.646730495201336
"Nitrous oxide",9.498382038954901,9.212050131589194,10.156378687497739,10.18460958038774,9.467616922722817,9.823235883395089,9.845676453705419,10.090254167983092,10.537557093118538,9.942229354668811,9.682237811626868,9.440785330453048,9.603060412333651,9.909135462173026,9.827518818444188,10.048784724705232,10.043645193018268,10.736157247946844,9.677618100480544,9.649394724438338,9.47350624768958,9.351718666950047,9.573929795320266,10.223951118614327,9.894582653633831,9.566031093143376,9.581691679620326,9.705079901629006,9.544889026347366,10.054317295614915,9.657302597487178,9.37112074615956,9.325849083998166
"Land use and forestry carbon stock change",6.237638323581477,6.307003003127192,6.681095394234637,6.488150640444904,6.30070048684259,7.084011001851079,5.333399437477818,6.624956534034255,6.672045768709983,6.972548526071707,5.497762221094148,6.423188983482647,5.886886205797152,7.439849787071707,6.325106648830819,7.059107014386313,7.993015816328555,6.80883470988079,6.98293497392137,7.457077548855676,6.731847768520719,6.156198908818237,6.415651555484978,7.599424414088431,8.156241123752315,6.895468714171341,6.921775075722942,7.013798663891693,5.185216273437196,6.925212889177949,5.972506808597965,5.770648911235505,5.915348685757226
"Fluorinated gases",0.6105431303466199,0.5900952017129141,0.595387257357608,0.6242811553427988,0.6732349004090363,0.8001774013957139,0.8886271940488295,0.9722805064665367,1.012593269349557,1.1057181728954624,1.1541297584955843,1.2057784313659092,1.2428665969266974,1.2855495640273735,1.3164373705751542,1.3583828115141767,1.419658057576409,1.4941472089180905,1.5970091608743928,1.7390384135905024,1.6197613592202242,1.9532540934335398,2.217171313380674,1.9206512217638891,1.9849000554203242,1.8803973910606477,1.801145175099214,1.6705152195089459,1.8148861216932002,1.6916872941282017,1.984914997502342,2.041997354430748,2.0470261437008173
"Net total",107.26441600873146,109.14467687522766,112.76349628937155,114.37815326802982,115.8777775609484,116.2997696073055,117.26303139365643,121.08245238810396,124.13291997188833,125.53928181871065,130.21482978251174,139.3345438997152,138.76183113446405,138.3218313561737,139.45297785755767,144.9369321357995,148.12470996568985,151.27813277542674,149.50067646266848,144.7195079966385,147.83744240992903,141.38878579367605,139.47398505743269,138.98409666090953,139.98643890895477,136.27156207833147,135.23671573149286,136.00243605922768,135.61045843622293,139.13495943046658,126.21753520827134,127.41003003583445,129.40905730755264
"Gross total",100.57478470706323,102.3848912788418,105.61563367669164,107.37792699067185,108.9539447786493,108.47885076468266,111.0138656957359,113.49870270505255,116.41790557140001,117.43288361978122,123.40804248272795,131.5949927821581,130.38392711016073,129.42150562968152,131.6607289607345,136.33980233451055,138.4716714336071,142.7782596522971,140.69832412364,135.2686934577343,139.22166809923104,133.31988906202758,130.46414421678807,128.81031463243258,129.87910080907298,127.61994808831047,126.35958301663048,127.26536867286003,127.76741962482575,130.4212963639595,117.07810730476986,119.23961882766795,121.09885823550846
