"Kansas Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",70.8395610877568,70.149951019463,67.12059328781748,73.86413894260443,74.53771865470486,71.58968061149343,76.90613454613747,73.62806614081079,72.89359643986671,75.39799665699078,78.07192396042187,74.03413321315132,78.89024861560111,80.9014437178767,78.95528419274555,75.4285938859457,75.37767501695936,80.89116155706915,77.1219653819257,74.0756121890953,74.12484497790355,71.82649979265499,66.50683680049589,69.44735101604068,69.63604990254662,64.60680529695726,62.469426698335376,58.227483008561414,62.33759893705399,59.66996673698781,57.6254850687915,59.937745728295134,62.974780557054224
"Methane",27.17867561260651,27.62220043281065,28.086213480531107,28.11750432590895,28.560229910691007,28.970676589087756,29.420498034448325,29.16035804354167,28.581959813730233,27.939912953472607,28.09791024754282,28.083047784202712,27.628472633622774,27.644012117644678,27.98231568930844,28.142575121453735,29.462195282835776,29.119705558261384,29.109839613612397,28.75569446596966,29.210239525733158,29.294324532542394,29.14287827129598,29.2372316669519,30.424379822222562,29.766817597050128,29.974610488140133,30.33135673687346,29.5622541922788,29.312091526533088,28.678170655456466,29.161041531506875,28.699969992740698
"Nitrous oxide",16.90165028009703,15.637373909987048,17.862911900713215,20.555217802721188,18.23636238941473,18.821324636811365,19.00853152088345,19.114470713286046,19.27887118773658,18.48885224901438,18.29485837216531,23.366268205873535,19.417215484181796,20.86610116229705,20.672826803677673,22.147739295785502,18.948226026009277,22.3640733614913,23.5770724000276,18.49028022745385,21.64834198819617,19.6252039314221,19.806999856291448,25.724881188021996,22.609869976837786,22.834098536649805,22.824246547419637,23.754152470986195,20.88930874556288,22.90010427341366,20.521034668611254,20.25089147906956,19.908812461432348
"Fluorinated gases",4.192419923558962,3.797111265067441,4.273273395918166,4.046592042707079,4.032406342157479,4.334752873160985,4.322299352895613,4.295769969855722,5.405329702901766,4.463154067641105,4.4589895224801195,3.126349941230107,2.3120525703186097,1.20628936496847,1.2379196015076532,1.272513469336648,1.3209299231991805,1.3837610281288197,1.469623611917502,1.5372345741036815,1.6623418670786012,1.6714549832470855,1.7332470740632728,1.6910147180551804,1.5554084874337994,1.6552160366056312,1.5583368346375628,1.6501406292945542,1.4529431849512577,1.475437622036652,1.415680876055471,1.4566043974931442,1.495278555638353
"Land use and forestry carbon stock change",-6.7987694204896565,-7.257558266874104,-7.020948491149086,-8.062307859129719,-8.666585491386018,-7.123284992764108,-9.542278734549015,-10.067194680287574,-9.12927528753253,-9.070150555819444,-11.298871700031828,-8.174027181822517,-9.227107615988471,-7.347135666801443,-8.061961624647349,-7.673085302225011,-7.466603661231369,-5.091780635547153,-7.719727568900411,-6.4524297032787725,-7.749805311189022,-8.910368000531854,-6.318111719462232,-4.904093709714338,-4.840513876996069,-5.771902241553132,-5.546436647031073,-8.19222012455004,-8.114970648466347,-7.797116886767268,-8.619303657344476,-8.85301878835751,-8.755252239951018
"Net total",112.31353748352964,109.94907836045404,110.3220435738309,118.52114525481193,116.70013180558207,116.59314971778943,120.11518471981584,116.13147018720666,117.03048185670278,117.21976537129942,117.62481040257829,120.43577196263519,119.02088168773582,123.27071069598546,120.78638466259196,119.31833647029657,117.64242258777222,128.6669208694035,123.5587734385828,116.40639175334373,118.89596304772245,113.5071152393347,110.87185028268436,121.19638487935543,119.38519431204469,113.09103522570969,111.28018392150163,105.77091272116559,106.12713441138058,105.56048327220394,99.62106761157021,101.9532643480072,104.3235893269146
"Gross total",114.59648394803497,113.03871456124538,112.7286626432478,122.17008882575183,120.91654779604247,118.9667826439536,124.83095711103982,121.44998490265745,120.23818379678744,121.33777660351481,123.94941824308006,124.97560217727394,125.3779476507119,128.8367715605991,127.0592585910307,125.15602686878844,123.20782448253163,131.72385424972057,129.17066177220954,120.39574754686355,124.35868693405041,119.71811494806042,114.76948568630677,123.7477252283817,121.4644266999487,116.21449519875972,114.0730331918256,111.11480746010777,111.9820797426764,111.22420962870287,106.1710008223426,108.66618573426813,110.91775979899523
