"South Carolina Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",64.8554555007863,64.01764324387669,64.47896012527696,69.03229765931246,70.03659444620175,68.76780668252374,73.15844157606455,74.96461289426964,78.96088033587884,82.72665884263816,85.84789954435134,83.83779901510313,84.62615684538959,85.87478806026277,92.7512235904044,91.6704339436915,92.62772226738794,92.89381249170484,90.59395249193605,84.3416865529138,86.23563578829919,82.59786067126232,76.34857150612584,72.1703097572499,76.154568918481,75.01681627849774,73.74182726704774,71.27101880870556,75.13507475019019,71.03315736009051,65.13209375737655,71.387479599549,70.50315979552036
"Methane",6.610290816067401,6.712582191778573,6.75098800274787,6.851194945429274,8.01694506311273,7.711466883400122,7.270229517822758,7.1236085505451,7.173054743459738,6.992713581089648,6.947815899915039,6.728723772330062,6.895290229248691,6.925735306762334,6.493458255912816,6.7208872573234295,6.57013959881996,6.35936599968508,6.234045318339116,6.047865454682223,6.379832861771748,5.904290117608003,6.206681263760351,6.017622277060347,6.298272791389902,6.124511586984906,6.195500139707962,5.995708137763854,6.115502006823707,5.937026655876461,5.96007046147095,6.032866558788338,5.970513934435615
"Fluorinated gases",0.9256707756887735,0.8913009524530396,0.8855314244158307,0.8931299038174635,0.9389579771185773,1.1649804485211106,1.2843324056216172,1.4407233992774964,1.514463929641198,1.6234480629545698,1.7207358092349603,1.8232831946691455,1.862571242737986,1.9066670073056198,1.9520720292936717,2.015972916263693,2.1979270806393494,2.263425381437562,2.3759721378611403,2.7651861843899286,2.8047793020055374,2.5658082480451387,3.027314741162085,2.76728809233365,3.011667885777955,3.1856978015233173,3.5065508312951463,3.5557390611825657,4.237264887976632,4.897040281773918,4.047851372868657,4.2075438181395,4.406094188432056
"Nitrous oxide",2.5309911433298447,2.6467724165834454,2.5583516878494477,2.537362581953555,2.8332240885689615,2.6829249975334375,2.828334392949603,2.8468021438302835,2.808836013910896,2.9574663048356378,2.8834133006916915,2.905117631720817,3.02384594890062,2.8843667901618635,2.877126560803247,2.8939620359412097,2.7730649875422024,2.7761415768255118,2.883170390165644,2.6031212774289783,2.646066822297415,2.559982842516955,2.51276865007071,2.505790918924431,2.4647745361262796,2.4210515718660384,2.4492728248994466,2.379332991580881,2.5122340432659023,2.3121453104296923,2.4618541189163916,2.364126737079868,2.368614243181432
"Land use and forestry carbon stock change",-22.64446234847805,-22.336812626092442,-22.57847456388226,-22.672326866774725,-22.559248862081933,-22.769412264646565,-22.94268533058943,-23.141720534149997,-23.581676049459983,-23.509819417445982,-23.73693504255477,-24.252271285259113,-24.365635451999744,-23.69129130646969,-23.360093235727486,-22.925180438596605,-22.686355127478173,-22.359357651472436,-21.916821240043802,-22.01182245460932,-22.122548636738298,-22.238542844044634,-21.89048542260372,-22.03857938262777,-22.205705393366138,-22.382620401168563,-22.562323253848632,-23.04356720496389,-23.381544392376295,-23.156170464210938,-22.416540128855342,-22.66607441060462,-22.347272142869496
"Net total",52.277945887394274,51.9314861785993,52.09535667640785,56.641658223738034,59.26647271292008,57.55776674733184,61.59865256186909,63.23402645377253,66.87555897343069,70.79046737407202,73.66292951163825,71.04265232856403,72.04222881427714,73.90026585802289,80.71378720068664,80.37607571462323,81.48249880691128,81.93338779818055,80.17031909825815,73.74603701480562,75.94376613763559,71.3893990353878,66.20485073851526,61.422431662940554,65.723578738409,64.36545683770345,63.33082780910166,60.15823179426897,64.61853129588013,61.02319914395965,55.18532958177721,61.325942302952086,60.90111001869995
"Gross total",73.03865603122577,72.37258638800401,72.75744112058052,77.33497250611273,79.70369391547254,77.96522082317902,82.0058210757061,83.6673635481597,87.62950534068294,91.33460865102876,94.31883978589269,92.09917045316699,93.13168812051275,94.25262238657561,100.61478099966521,99.80332488174176,100.58287362483742,100.57014286839032,98.17040348676379,91.40280427490816,93.68614522519552,89.50533077828116,83.47150700649665,79.04613964624285,83.31416124127408,82.01456211116597,80.75088908540133,78.02051137336943,82.33833722950847,77.91245404806999,72.16555830505389,78.37628399414247,77.44381196442905
