"Alabama Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",109.45987364806268,113.05279536151845,119.41411693890832,124.57853126264632,123.21207550943878,131.6304185911417,137.1952264609849,134.47063138932168,137.35276220887621,139.45781305367868,146.00438587222837,138.0162033150157,144.09059719345277,145.3090324517802,146.22260428935257,147.70708399973856,150.21745668985272,151.7829867869515,143.94680321073804,122.6495834759554,134.27867739812493,131.22299734606273,123.9601373457144,122.61955291133096,125.5467787560777,121.70070716800893,115.96511000425465,109.57774466901121,114.03623358343759,108.1741462017236,100.76144537102742,112.2932904074881,113.33038093073496
"Methane",31.65145026955832,30.46562844169783,28.942480061182593,26.44805333562494,28.718975793069827,31.016222878939296,28.16781925465633,26.38003444716848,26.217603846074933,26.094579268362494,25.539886493846836,23.60323349758662,22.048719974088275,22.45145062805929,21.602694334390954,20.095072565106246,19.403800352609913,20.53633296697383,22.282492485225585,22.903630899905554,22.73393719106579,20.87123197402019,20.69582457757783,20.43487625411835,20.119085162481895,17.66921147321286,16.67382815422547,17.612170937772884,18.707116263310116,17.399623774099943,17.638114154295955,16.13015183927924,15.236099555186644
"Fluorinated gases",4.975340959600824,5.3199936313495915,5.704824327634132,6.013118240354495,6.513820615504794,7.163273271536489,8.26498509583749,9.35824732528709,10.35665070159605,11.41776329881006,12.440308806249686,7.389149341098503,2.277478332398347,2.29395567410103,2.3466099647485685,2.413905150284156,2.505975562269357,2.6007744554883034,2.732516121472458,3.192849695136228,3.2957088937727663,3.550696179649518,3.00089559834092,3.022416120890715,3.0643736353919935,3.154350531384559,3.2105976703674344,3.433121760462029,3.4694298165794843,3.6041186499233606,3.875488690600839,4.2505771843276285,4.4014603556776
"Nitrous oxide",4.428363499019442,4.721554956304759,4.71112385749949,4.80113376236142,5.160661670550356,4.948444648207711,5.147607219939034,4.998506272094589,5.062146537286759,5.130660928579222,4.9793036385896725,5.04936752370218,4.970495139945766,4.956793578630218,4.971649464613018,5.000695901424097,4.846797388796582,4.866336761184428,4.89289786946189,4.419033758469891,4.280909411143941,4.356517520487133,4.22059016301794,4.353295292262395,4.312554055046068,4.269453378394111,4.107215646776664,4.262961068407963,4.125197225656171,3.9316320512846934,4.0131546677943515,4.013757068806079,4.046255897394642
"Land use and forestry carbon stock change",-55.82597171766256,-55.420261453723164,-55.622386329187236,-55.972731570148554,-55.73961087571242,-55.769861478908474,-55.65051350650884,-55.821524551635065,-55.54810664250158,-55.06215224790983,-54.890376949914746,-54.16919646546172,-54.03426385587284,-53.2898759512927,-53.405186448718425,-53.268406060000785,-54.23054284124319,-54.10290389792645,-54.27392625343494,-54.54440592499551,-55.339708872718205,-55.411359076026315,-55.869848558766854,-56.795032789201684,-57.58318991755477,-58.25267896754306,-58.49380071728422,-59.17584976555272,-58.601240461225984,-58.13974932617257,-57.315905624852306,-56.77038450598724,-56.12967456134236
"Net total",94.68905665857872,98.1397109371475,103.15015885603731,105.8681050308386,107.8659227128513,118.98849791091672,123.12512452490893,119.38589488223678,123.44105665133236,127.03866430152061,134.0735078609998,119.88875721194131,119.35302678401231,121.72135638127806,121.7383716043867,121.9483515565523,122.74348715228538,125.68352707267162,119.58078343346303,98.62069190447156,109.24952402138922,104.59008394419325,96.00759912588424,93.63510778940073,95.45960169144288,88.5410435834574,81.46295075834001,75.71014867010138,81.73673642775739,74.96977135085902,68.97229725886626,79.91739199391381,80.88452217765149
"Gross total",149.38762601728317,152.42126374593727,157.5967181196856,160.56089035410332,162.15761972402584,172.98227944917252,176.7219401080739,172.90374722809725,176.4858711146061,179.40401329551602,186.06802896053895,171.22802175593955,170.68195932954364,172.22399720814371,172.2323022249405,172.1656999892376,173.74872952611426,176.5798668531944,170.38597876051244,149.32393695954548,160.6416462213275,155.74801378255026,148.21172048135008,146.66280485235092,149.2282130505557,142.8290923438531,136.03049879825224,130.85211145367796,136.30223128639685,129.09413431169506,121.85946659487422,132.04958531381243,132.33888950105344
