"Nevada Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",31.511063927693083,33.48513271694347,34.4279291789302,34.64433662576836,36.72020569892098,35.901563225826486,38.53384847892517,38.670293433203,41.899482337451246,42.438937555342406,46.321756352981694,45.64030564458338,42.63388393731199,45.069707455286206,49.2055681198463,51.629521997167046,42.71319064959947,42.39991669650777,41.646936035543845,40.28122328086964,41.75346850224552,38.3287482952173,38.28546084295492,40.091839616192246,40.90607767214797,38.95330348595169,39.95830173577037,39.982052581356044,41.08779718043974,41.700741491360404,37.150374334827575,40.14192945196028,40.73631829510147
"Methane",3.2410135665026574,3.2847405317845153,3.318493449736666,5.763210790994786,5.761918159014034,5.605714337876836,5.487097166633682,5.17749796649296,4.881875904122932,5.038360686384447,4.8486763522572325,4.766730443598411,4.5566336800656995,4.603376571818073,4.654408730591005,4.7291927674517265,4.700090805130641,4.52023596500142,4.426956112832222,4.250588343593868,2.737491013519219,2.707403720064833,2.9971331176044,2.8668974397910856,2.897119739168738,2.783076059418607,2.8757904108223493,2.8106829163152063,2.9887405675417815,3.0282063417937977,3.058262577448107,3.0654738995270647,2.965061002042186
"Nitrous oxide",1.609835966897602,1.6609207462193953,1.6795030719400204,1.958956391789964,1.8702273920386394,1.9910092248596412,2.145549009888439,2.09382392902538,2.286938726395233,2.1405225231501546,2.146785917869747,2.0722508588760333,2.03723466723118,2.1272383976168414,2.2494458330135316,2.381821851255105,2.0427201328559024,1.8909201297255334,1.9803302501672237,1.9643664233941838,1.948480250912657,1.9343933984245507,1.7895193269083784,1.8968845633804778,1.9675425081843494,2.0395896112194856,1.8912476034230248,1.929128377463428,1.8502202316505685,1.891957026262659,1.6575733468367637,1.7535834193388964,1.7251644463810636
"Fluorinated gases",0.27844818362329804,0.26827747072961367,0.26991026029765813,0.27684536786061836,0.29344655680161424,0.3403165126377091,0.37697534396696963,0.41677368980764945,0.4329299576139929,0.4796958995428136,0.514034533797926,0.5534934233567396,0.579453700674587,0.6130900809688895,0.6460519464042428,0.6820447798589954,0.7237866661155459,0.7752191761308549,0.8387697917068251,0.9159440172382535,0.8426041295893228,0.799627668261527,1.0021732906125724,0.8261007868996686,0.7900146833546218,0.734232491077641,0.6962562630471522,0.6519848480548582,0.7449169314879144,0.7164135395699428,0.9598652370254885,0.9803737747072317,1.0097738501462155
"Land use and forestry carbon stock change",-0.034661497100235555,-0.5220820870083559,0.6210843685322573,-0.7767719749610058,-0.7812358734593438,-0.5075879579944041,-0.5613546616200816,-0.5356460436751742,-0.652758709917618,-0.6464914655794218,-0.7654915356361927,-1.2861257464821234,-0.4807566880906902,-0.4375446691131036,-0.3165016141381779,-0.39393398037224514,-0.43423883599988683,-0.48715796253496596,-0.1596781384659258,-0.19312590934008478,-0.23336325843560296,0.21679411492216963,-0.8670378173067438,-0.09670136054966047,0.4144764384874501,0.24901319284902523,-0.1638678922449345,-0.2989094154393177,-0.012000047698442231,-0.25364331979956856,-0.42555704211294004,-0.7043090991961907,-0.5663697734435142
"Net total",36.605700147616396,38.17698937866864,40.3169203294368,41.86657720145271,43.86456193331591,43.33101534320626,45.982115337794184,45.82274297485382,48.84846821566579,49.4510251988404,53.065761621270404,51.74665462393244,49.32644929719277,51.97586783657691,56.438973015716904,59.02864741536063,49.745549417701675,49.09913400483062,48.733314051784184,47.21899615575586,47.04868063783112,43.98696719689038,43.207248760773524,45.585021045713816,46.97523104134313,44.75921484051645,45.25772812081796,45.07493930775022,46.659674863421564,47.08367507918723,42.40051845402499,45.23705144633728,45.869947820227424
"Gross total",36.07225963480322,38.11372039909265,39.092417882504286,42.04531461529111,43.943861421779935,43.11739100945001,45.62658830857031,45.54703117274845,48.62966870536197,48.80982247427006,52.76816017421019,51.88431940813667,48.79683567242128,51.36479119634574,55.63878933882126,58.135510501324354,48.70756281858156,48.13824403613811,47.37155130189637,45.98965130703351,45.9513776081482,42.331567475163766,42.3770008763053,44.25355527647109,45.209143579781454,43.2310415928789,44.10628326377859,43.98157905034594,45.198226127331615,46.07577875560832,41.29179564367364,44.35184487374547,44.851031816643754
