"Nebraska Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",33.09518203437481,34.197888486119204,32.95200881828837,36.433955081700056,36.520007160551245,39.310657213221106,39.75794372956239,40.63208227578571,42.8742904336268,41.414334441818106,42.836101020350334,44.83599258095185,44.172020580805416,45.306410056417945,44.90638691819789,45.06305068997499,45.87929055115439,46.324728925734306,47.95107669606279,48.43096275337817,48.91831108801394,51.8444550587289,49.929715144354354,52.98567303026737,51.750670965309055,50.14889346212836,48.184236509166844,47.21046440539918,51.58004922411932,49.719584310077785,46.03777607790319,47.10575391767026,48.21487868530912
"Nitrous oxide",16.702589354906344,18.042279462209013,18.034593198192862,20.06963801039547,19.263987846100363,17.814598956676075,19.344588459672057,19.62603695758201,19.48536759129336,19.484820409134837,17.36350472933935,19.417907475636937,19.615152600842574,19.08423364197486,20.31521566525901,21.031503878493567,20.80029312111394,22.01267876556336,20.35831534676149,20.042763222007334,19.94843645651293,22.91423511783275,19.48292088324167,22.458057053713567,21.416449168483435,21.794629695562133,21.70487912224982,21.578575841519335,23.105224469898683,22.041506150364246,19.509132360443047,20.497833039458524,20.19401002859903
"Methane",16.433532638973087,16.745986133828815,16.71444782745835,16.745068767680166,17.24729386679075,17.220336038239676,17.20718805488946,17.360684670840648,17.536059988467084,17.314505327562205,17.23923439777454,17.028852812723176,16.67653339190436,16.50073365408686,16.088990366614247,16.419934071535035,16.85797804054131,17.351578123456196,17.040136951566993,16.769751543371342,17.15345394589428,16.868473938129295,17.350282155957746,17.15035347588394,16.871847027774606,17.44462236685879,18.0948959072606,18.38365672563836,18.774919918187422,18.74825977428332,18.253627333819445,18.453112780306004,18.298374656835296
"Fluorinated gases",0.46801554696181225,0.4501746087161341,0.4538824410618289,0.4677593855309431,0.49864276502609556,0.5778147473710362,0.6289996723856018,0.6796102459193323,0.6857782638743881,0.7428454053593357,0.7799837759656972,0.8209420339646757,0.8346836596587774,0.8582694720255887,0.8774478379196085,0.8985684808462444,0.9233878322564764,0.9581987845556785,1.0123703361903191,1.0483306374341144,1.1188579617194558,1.1250189327041051,1.1602558296521617,1.1362692406578607,1.0497652491934333,1.11029218689685,1.0480445547996027,1.135453999667854,0.9944829153206941,1.022550335959049,0.989426325804869,1.0057912054593936,1.01829662412257
"Land use and forestry carbon stock change",-4.700108852791541,-6.133321684128919,-5.90300426199737,-4.794682735700779,-5.694444605243686,-6.341279168302036,-5.804816414128249,-6.772420390065889,-6.941671842331651,-4.910686796015212,-8.70679270102266,-4.300919579325468,-6.193624044972617,-3.6059276879830406,-4.499721861822697,-2.759808528763738,-6.4946128959160925,-4.1237075238705065,-6.306172441283312,-5.2449934243297704,-4.462548765086357,-6.357458384754365,-7.967906513570886,-7.286810180798024,-4.444524108432397,-5.515595569961839,-4.404921643857946,-5.651604524961008,-4.6749099756852175,-5.957131258414548,-6.744634645675754,-6.029765013633047,-6.109793690393179
"Net total",61.99921072242451,63.30300700674427,62.25192802300404,68.92173850960586,67.83548703322475,68.58212778720586,71.13390350238126,71.52599376006181,73.63982443492998,74.04581878785926,69.51203122240726,77.80277532395117,75.1047661882385,78.14371913652221,77.68831892616805,80.65324859208611,77.96633664915004,82.52347707543903,80.05572688929828,81.04681473186119,82.67651068705426,86.39472466264068,79.95526749963504,86.44354261972472,86.64420830232814,84.9828421414843,84.62713444961892,82.65654644726374,89.77976655184091,85.57476931226986,78.0453274522948,81.03272592926112,81.61576630447283
"Gross total",66.15964542878386,68.90240625454263,67.61562961511618,73.14907026026654,72.90610732126666,74.17457799656684,76.12454254575236,77.41153716379189,79.6429227710658,77.9476096749713,77.14997030245071,81.01306455988345,80.16630738302243,80.59690590819714,81.00214304810223,82.2038368833469,83.10826416997244,85.34704992981231,85.00774220122499,84.8819899886618,85.64117127836515,91.22739061102934,86.10509824933939,92.18674140494262,89.62579812337698,88.96631075245658,87.55134200707863,86.75903684334595,93.03307381391954,90.09949458323567,83.39207564227807,85.62878331359889,86.2631504908719
