"South Dakota Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",12.67534418683345,12.727568038029066,12.63752877200456,13.489632031110549,14.28678512275175,14.091732763371482,14.155900907131498,14.674870296238286,14.367652155183888,14.898958206598403,15.822750213544019,15.09363981873905,14.96475627909152,15.448279572352387,15.47786140056132,15.053832490562598,15.371708495343357,15.760889930842492,16.63007379380585,16.09077251513758,16.249582768129766,15.863370016906474,16.11325929865909,16.59844788500851,16.602391788925253,15.19233849170452,15.900148557792962,15.810435182138686,16.525014530246843,17.060359264676244,15.90272419835751,16.307388630347308,16.993708201264607
"Nitrous oxide",10.712805696040538,10.665314657113077,11.682779617992605,12.341513182167308,12.298444378750824,11.90096859146697,12.494202209966781,11.587624449906441,12.133365305014342,11.971778503885496,10.668300381726437,13.473391544293193,12.021102449747882,12.42613008419938,14.013511061051439,13.61825536672705,14.15471234399423,14.660809064587692,13.748344476758474,15.467387219651137,14.104337619474526,15.284398671299035,12.642959465346275,16.40039017381255,17.080077695838217,16.03928259817069,14.604558650422446,17.482563138253145,18.378558265764635,16.331568405354517,15.910668295293688,16.05076654071384,15.719524608403052
"Methane",8.745161440483157,8.826672258719755,9.02439319879728,9.384236093957897,9.47230852677463,9.864182346442856,9.570076704742318,9.315648445650146,9.138425569999844,9.450267896907356,9.546237373328367,9.847290441314241,9.783638227728279,9.448034627855042,9.308106647196034,9.538015559024453,9.627620309174644,9.606253231748438,9.461825198145604,9.493071410228886,9.742600967966306,9.483857938365338,9.539287416199969,9.837769803289152,9.74365398953179,9.995647526771327,10.538569436629642,10.493348078717851,10.942872486430142,11.088676810477928,11.007731507287716,11.363902379204827,11.07140296976994
"Fluorinated gases",0.4462222466821893,0.4282924458572531,0.4278446396593316,0.427200866633614,0.4282718196522235,0.44668346262165065,0.4535971596165638,0.46184135629744705,0.4396564390796762,0.4656420093256834,0.4771564614290926,0.49323975170917195,0.4895646346456112,0.4968354675276115,0.5028909675330259,0.5080759152141425,0.5117013900682049,0.5228566834759919,0.5488414693195927,0.554644910679053,0.5738151796434688,0.5323199316119187,0.5569850859815713,0.547053325231185,0.5253941377430624,0.537621888571292,0.502026495192971,0.5366586365240767,0.4837473982818096,0.5074894276437878,0.47791278902324313,0.509965257306219,0.5227519920117536
"Land use and forestry carbon stock change",3.2771999544058907,0.7274546882313978,0.2654880444263551,1.2444446396538134,-0.2103771757565988,0.16525662103691563,-0.7475934301370737,0.773414996315563,-0.9394754001880814,0.13545040542657397,-3.0947001570408736,-0.6216046194163549,-1.8653471576557026,-0.013813483244344683,-0.7796321280704983,0.07865378795408644,-2.2267264812835794,1.2999560097504945,-1.469114552002682,-0.6516577827077606,-0.8426726469530528,-1.8790900680174534,-4.024116331254049,-2.948222025635535,-2.146033044646883,-2.391711876936947,-2.6890338694231306,-2.325089635235112,-0.8084459607626302,-0.2821104233905488,-1.4101775036057291,-1.7333037100124893,-1.5647924559085415
"Net total",35.85673352444523,33.375302087950544,34.03803427288014,36.88702681352318,36.27543267217283,36.46882378493987,35.92618355132009,36.813399544407886,35.13962406908967,36.92209702214351,33.41974427298704,38.2859569366393,35.393714433557584,37.80546626869008,38.52273794827133,38.79683311948233,37.43901605729686,41.85076492040511,38.91997038602684,40.954218272988896,39.82766388826101,39.28485649016531,34.82837493493286,40.43543916170586,41.805484567391446,39.37317862828089,38.856269270614895,41.99791540039865,45.52174671996079,44.70598348476193,41.88885928635642,42.4987190975597,42.74259531554082
"Gross total",31.709963799465896,31.77940820691763,32.91134800731392,34.776397461311085,35.585153106174516,35.349258672456365,35.68747721829917,35.02422632555282,35.04236770652394,35.715892590473125,35.366619219836835,37.772170822910944,36.05702993015559,36.649042541322466,38.14955119526833,37.54569458149697,38.449246473585355,39.30208476997114,39.16374644079179,40.35311484037189,39.37456577851267,39.84613720181076,37.4540609217546,42.06325612298633,42.66282709057732,40.4381053264863,40.221461165907314,42.98510315224271,45.065743071869576,43.71741022473538,42.04627422772775,42.966445849397495,43.02025926397091
