"New York Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",209.94249116551083,201.14415163137474,200.9753515754699,193.98483298777165,192.48544826290407,197.87238015238356,199.45920595815858,201.96054907177026,201.9743335179013,203.67443086737248,210.30782531103563,207.52531688631058,203.96227609531886,212.5687801220608,216.97729530207414,213.5415662051899,196.56558337091656,202.83346139501927,189.59604975189814,174.3563344550505,183.09133715300956,175.40417100983402,167.94434641480663,168.04568423359524,173.12397847135995,171.4504219226921,166.36657905676935,162.4474984849027,169.6042401666444,167.4813503194084,144.89563770911857,156.80743733611683,164.21326081768333
"Methane",17.78969749084946,17.905740381757585,17.386023316195136,17.145627384451338,17.02395151413666,16.53520764749726,16.258055062810328,16.32129553991765,16.314603790558774,16.229353101898546,16.89370524364793,16.084611643736224,16.198595881031594,16.492564024314134,16.154358436270392,16.380807422791722,16.51291901068367,16.982419652249185,16.78079014244988,15.980891684680323,15.500380764009398,15.016899595573754,15.11049147032399,14.776897536328164,15.206610658518587,15.277340653703378,15.01953728740602,16.127618731725516,16.436708120232353,14.99505832177788,16.103724736999492,15.25748342006623,14.208807563852462
"Fluorinated gases",2.778494121758125,2.6372005418234847,2.517957886905804,2.4948776591851383,2.6880042380945084,3.5675057238916676,4.204829209815373,4.781153826755645,5.259970202703795,5.737683255559198,6.0097580857572295,6.381598590422629,6.192879551921884,6.316343796930027,6.463121441561714,6.699935183380322,7.2467743789661,7.831789096502035,8.061580244129686,8.00461541029798,7.388387398856581,8.175013450859408,8.556215605702597,9.679456829292437,10.630022484837687,10.152393003572612,10.224438313251666,8.726424294314892,10.166798780990991,9.596136173791917,10.874235713216478,11.099385565014936,11.81067333964797
"Nitrous oxide",7.514636799912903,7.293632864339771,7.724783292266696,7.548613665591882,7.943534848782598,7.7201112160854315,8.01289140646528,7.764915944971666,8.101578952750533,8.012733224453713,8.067982049846718,7.60564933481965,7.831947322405217,7.706777762203494,7.61501552162546,7.229532954978259,7.428402429370559,6.904458346594108,6.929802760613324,6.693262720210298,6.875414223091665,6.619821256648768,6.537956143004086,6.788755809413637,6.5100261943979225,6.557818042993138,6.348642064154281,6.4926178917163835,6.320911521655679,6.286667887391383,6.004501143423189,5.966015046575756,5.830855378952239
"Land use and forestry carbon stock change",-38.38608041110705,-38.34241304081138,-38.104368294459086,-38.66337070764116,-38.28077044861253,-38.2929812904705,-38.254845287701414,-38.42530639228694,-38.651695711358464,-38.43973529513943,-38.5804386918793,-38.92788806657268,-38.848620900093714,-38.584898683081825,-38.71617272176634,-38.653131383761874,-38.61893976113768,-38.957934967449155,-38.87909697642351,-38.98317933668915,-38.3747754996568,-38.53004481092934,-38.10862524547424,-38.030511347899996,-38.110683970684605,-37.87463348821988,-37.99431822766316,-37.48739193074053,-37.42716009383236,-37.00081715462175,-37.006735605218886,-37.32441473080677,-37.15004193892111
"Net total",199.63923916692423,190.63831237848422,190.49974777637846,182.51058098935886,181.86016841530534,187.4022234493874,189.68013634954818,192.40260799112832,192.99879075255595,195.2144651541445,202.6988319984082,198.6692883887164,195.33707795058385,204.49956702242662,208.49361797976536,205.19871038257833,189.1347394287992,195.59419352291545,182.4891259226675,166.05192493354997,174.48074403931042,166.6858605019866,160.04038438836307,161.26028306072948,167.35995383842953,165.5633401347414,159.96487849391815,156.30676747191893,165.1014984956911,161.35839554774782,140.87136369753884,151.80590663696697,158.9135551612149
"Gross total",237.0020253757992,227.93805312705666,227.4799132770658,219.80962447590127,218.31204401986477,222.94683180086545,224.5288525591059,226.7893595012692,227.16732974110124,228.68563747372067,235.866588239834,231.7877291210053,228.09759743249103,236.7143627552596,240.59174988641084,236.99479895877388,220.54352256940123,226.9270432054819,213.27691931320072,196.77690572954705,205.02669721361184,196.9526468581255,189.49678451875172,189.45089284255403,194.32338951042996,192.62129608897249,187.08163998495294,184.41594184716894,191.94124717290674,188.3128064103397,166.58518546238417,177.59578385047797,184.10379602823087
