"Maryland Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",71.23578967546503,69.62413081389562,69.82501137702751,72.00876013503186,73.13301009085079,72.68788672206041,75.19624990856316,76.24479946473464,78.87648601594887,81.26098781486303,81.32925590142142,81.98248726722883,82.50972138103494,85.07714820866413,86.23499042673735,87.48704420651043,80.81857159781887,81.60176892999992,76.38660141400699,72.746527101397,72.45969011530788,72.05482125159227,64.03050578160311,63.301075619143184,66.06497980508878,64.34102473881829,62.37271828522803,56.85829326478653,63.22682364599826,58.68170243869127,49.77684420352329,54.73254395126888,52.70104251481526
"Fluorinated gases",3.999509611814985,3.5082778436792057,3.620032739624258,3.6104958004604173,3.7915971681922986,3.795427288247105,4.067524830762881,2.945641923743652,1.5383481867443747,1.4444474642022767,1.8868579107736934,1.688660114337401,2.0228296408130064,1.946080402456925,1.967414753703568,2.0792672951029103,1.940513239460154,2.0641464151696813,2.243922603628136,2.2714809220045025,2.1387247439997776,2.268517079173922,2.397884515111873,2.768937285223946,3.1631215684376586,3.0769010277087565,3.113146837602278,2.6530973978529544,3.0084199496181885,2.854241839249541,3.2100437269039332,3.3406038121775583,3.4419815142021575
"Methane",5.206429145617483,5.13979876181761,5.068745881130103,5.019575478188163,4.805398057934515,4.461219783595922,4.240979486834347,3.968929641092234,3.7013364695159825,3.6855453794860664,3.5640284771547286,3.492490181288276,3.6173964373994667,3.613806915321334,3.5410405152843842,3.407383667466171,3.3609694194648516,3.1951876992663943,3.1434582002765206,3.0667936173869346,4.163350525280557,4.023305901107626,3.6791302642597947,3.5364956116121493,3.6619768108247737,3.446787344365862,3.47079411109864,3.5366917026728912,3.5386115651323657,3.5453835775431686,3.415701700901687,3.371022954624079,3.39452984877154
"Nitrous oxide",2.408576702084914,2.4317119163844994,2.552531232849586,2.608938635904603,2.656267238894107,2.7706079805762105,2.778834978668624,2.679248456369609,2.6956828204938477,2.6556537541036667,2.9177238258283382,2.740630853280634,2.769775772690866,2.6607256302977467,2.7316790897169776,2.62817231754436,2.464137858390994,2.377931543563089,2.4184687669562854,2.353175219520364,2.134008067024871,2.247005531641315,2.1486890252120645,2.0816700178882774,2.1655989583042254,1.9355598220037211,1.9474234356312916,1.9808161188562363,2.122083326470347,1.8495021272832748,1.787195245806819,1.8377616766582512,1.8153626613711324
"Land use and forestry carbon stock change",-8.488983246898886,-8.561952422886286,-8.368368353859756,-8.315051193583171,-8.206811756839205,-8.11536680368295,-8.047766462260725,-8.123227614809803,-8.103417845744982,-7.9363104091242995,-7.7310630094967525,-7.607053884940886,-7.595789010698574,-7.456233837488348,-7.419772845355598,-7.481346076665463,-7.643094147097784,-7.691912918221681,-7.680297877764751,-7.722078088826377,-7.93302939247471,-7.792492551781032,-7.749499945374029,-7.671806581796753,-7.6810964474446415,-7.699467456687029,-7.722182856898325,-7.759777535623338,-7.722079134505661,-7.676882048240079,-7.614407828364472,-7.771910745704036,-7.673882565631098
"Net total",74.36132188808352,72.14196691289067,72.69795287677171,74.93271885600187,76.1794607990325,75.59977497079672,78.23582274256829,77.71539187113032,78.70843564695808,81.11032400353074,81.96680310568142,82.29721453119426,83.32393422123968,85.84152731925178,87.05535194008668,88.12052140995841,80.9410979680371,81.54712166977743,76.51215310710319,72.71589877148243,72.96274405913837,72.80115721173411,64.50670964081282,64.0163719520708,67.3745806952108,65.1008054762096,63.18189981266191,57.26912094854527,64.1738593527135,59.25394793452717,50.57537704877126,55.510021649024736,53.679033973528995
"Gross total",82.3112119502083,80.15961684936315,80.49990388546189,82.61678933728957,83.62859546758828,82.70549949931231,85.09121252288817,84.4680795182456,85.31577527853774,87.41310926156952,87.93307671062014,88.01646358729533,88.94071125303346,91.22704871792651,92.31875271465432,93.35937999239404,86.22619753260246,86.75235203650186,81.5663329823411,77.7528270597777,78.32767772495386,77.8863443782987,69.41776829148392,68.47822402664453,71.44381831449427,69.27501288782803,67.346817911268,61.913894417536184,68.43511653720266,63.61164657327714,54.51845329738789,59.49122991650067,57.46266445338702
