"District of Columbia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",4.547827471038362,4.4310692875531625,4.552243665808822,4.752668301969505,4.668054102074843,4.507261876079202,4.45965191444248,4.383740407859166,4.221137122331736,4.244206362654403,4.47343256911166,4.312087666178203,4.48435606613051,4.177396315729319,4.2192248706563555,4.450231135270616,3.516518153286187,3.667911131574249,3.391710121005615,3.4337954532075243,3.547374030993278,3.264267864835175,2.721192301061651,2.9161573892663504,3.1006346399416094,3.0549167741635523,2.8584210031349757,2.657681928045058,3.648739155649402,2.890892332628268,2.4730049318732052,2.601635961314875,2.670845063893643
"Fluorinated gases",0.00391523243243823,0.004416863132424945,0.006475609928251726,0.013756545379019871,0.02835326162234241,0.05735432022948893,0.07761232368135275,0.09632851689488064,0.10916799916619623,0.12403112488230997,0.1357527819133658,0.14731281069636043,0.15475244617950998,0.16068389314537834,0.16654401435416571,0.17377040534756716,0.18533715602152084,0.19858601358208847,0.21376863009235983,0.2226349697972479,0.2143802746238975,0.2751889424995169,0.29358880000600496,0.34217116336910963,0.4510398175599213,0.38547918011289783,0.4324093064520119,0.39075422977705176,0.3939998561032407,0.4063162067959358,0.35614456603024297,0.4034733591702917,0.3902347803347056
"Methane",0.23525175572239446,0.23200806291323164,0.22448164200359394,0.22472857486482584,0.22459012513990118,0.20459614986081537,0.19744822375998883,0.18516228970271711,0.17471309968536655,0.1687471249844266,0.16302122626134039,0.1545043589172227,0.1459595468431049,0.13928103014255788,0.13417046402386065,0.1178231504396237,0.1112370126843782,0.10358089236554814,0.09741404587039153,0.09461254911051867,0.09490495063915537,0.09128375334351803,0.10130937102397675,0.08952852474611556,0.0884850408742528,0.08792740374416211,0.08688160052150158,0.08641814413645098,0.08606055241911674,0.08515870199317539,0.08273335664535154,0.08210915865554119,0.0814736443795253
"Nitrous oxide",0.12543561898490313,0.12120624505886678,0.13052938965005106,0.13017497400269193,0.1353366672425785,0.12662807003592458,0.1237139241438567,0.12529911855695292,0.12014265497533036,0.11806187522371249,0.12075843247091544,0.12690840735722841,0.11632418616761925,0.12881042122240977,0.11666217410482196,0.10912607431509197,0.10397591974246959,0.09341388038936824,0.09182198102202366,0.09050170467100078,0.08478369852998087,0.08507626826269561,0.09210828486247369,0.08405702226135464,0.08459226574618676,0.08079166648840289,0.08080101607148484,0.07969323780717959,0.0790400284254452,0.08063679601827717,0.07402525203541273,0.07307800625770608,0.07293468811737697
"Land use and forestry carbon stock change",-0.0473809702804333,-0.047062175736269356,-0.04504415005321649,-0.043335942221254156,-0.04150424498123871,-0.040112836825825955,-0.04026040726016388,-0.03930703145592345,-0.0398779353716544,-0.040875040166810206,-0.04117787219582086,-0.04162152004513235,-0.04093245386871026,-0.04063848433295343,-0.04056496136829027,-0.04062308450656893,-0.04080568387573543,-0.04058384377772576,-0.041596643152431986,-0.04180386805982661,-0.04118729199476004,-0.04088369548692402,-0.040424238808998425,-0.040389585814008734,-0.04012085698393424,-0.03925343970658623,-0.03839559156229865,-0.039933133690775786,-0.03989999661663138,-0.03963399025120735,-0.0394342156524137,-0.03923069437510862,-0.03867902118587154
"Net total",4.865049107897664,4.741638282921416,4.868686157337502,5.077992453994789,5.014829911098427,4.8557275793796055,4.818165978767515,4.751223301557793,4.585282940786975,4.614171447578042,4.851787137561461,4.699191723103882,4.860459791452033,4.565533175906712,4.596036561770913,4.81032768086633,3.8762625578588197,4.022908074133528,3.7531181348379583,3.7997408087264652,3.900255662791552,3.6749331334539814,3.1677745181451074,3.3915245138289216,3.6846309071380356,3.569861584802429,3.420117334617675,3.1746144060749644,4.167939595980573,3.423370047184449,2.946473890931799,3.1210657910233053,3.1768091555393796
"Gross total",4.90760758613452,4.783237534097026,4.906179089825082,5.106399407112751,5.026627215240388,4.837862994093371,4.781283379199532,4.69483770313707,4.516304938252548,4.531396679590439,4.756955226783963,4.592641777984467,4.745052610547342,4.443241593528291,4.467773193274795,4.674786947246193,3.7291679376303932,3.8622045452084386,3.5781363337591356,3.615941081518196,3.7239113087864113,3.4811192145114687,2.9549027849470457,3.1328905822857878,3.377306222993383,3.2660555243275255,3.107530641820407,2.9113178555681762,3.861962029679761,3.1325607175603745,2.6404033567063685,2.8030341036583906,2.8452840013849836
