"Washington Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon dioxide",68.4625828451294,67.83162705332143,74.73850110110212,72.53020503140641,77.41674508790844,74.78360824316294,78.41381187554693,73.81859043670329,80.99259807281528,83.62558451988582,82.73072050397855,77.04258673675838,71.0967020039363,72.62710410741724,74.25627225999844,75.6519800948253,72.93634980979871,76.67549734389726,75.39180223125747,72.95151536190679,69.95394605947467,64.31283577024162,62.84104224147789,69.66450647181621,68.6021800820601,69.20994312437341,69.81690182693575,71.65965850641179,72.0091260976405,77.06035525288756,64.27941265053263,69.60248857452157,70.25777076337532
"Methane",9.608101060036052,9.602249885034064,9.877743575903521,9.73985550384224,10.412555245171452,10.13086774280861,9.922516863032579,9.831960371187407,9.567772054174966,9.323964379447558,9.392442834281606,9.340197099067275,9.280191906908481,9.393016746474338,9.397647809051017,8.96761331757707,9.611332514117287,8.89054682315106,8.781196844883791,8.801165358275071,7.878853473336978,7.676950606085919,7.871153852523297,7.8186149753840715,7.83903362331015,9.869238828320155,8.192346482594617,9.127588391853664,8.958014919572369,8.83247828249295,8.801900491915285,9.733273607075274,9.032288919225392
"Nitrous oxide",5.988518323638088,5.589944274279731,5.9732639830998036,6.57525140910659,6.465746170964555,6.281481762780647,5.9951891357245355,5.929691047537283,6.256598279644299,6.008785860344084,6.201184087816379,6.496806730770803,6.035305730871565,6.324538926196804,6.335308217048063,6.035594468530322,6.490731487852167,6.372141474206276,5.849298026943016,6.67624008779436,6.435183915997963,6.231210206444194,5.738523033942808,5.642124721701371,6.698721969929475,6.525446664472922,5.28063475502803,5.694225815338199,6.036893321414382,6.17451668664491,6.138376016622109,6.432854964517276,5.969457922118375
"Fluorinated gases",7.137956970324974,6.872209811859312,6.587602136156459,7.028153454907851,6.01534718976425,6.525613686574677,7.846013193097435,7.694532400412114,7.182642212478045,7.2957497953394785,6.855808435081888,2.8567212657745666,4.221968762069754,3.3464642621555365,3.0456210155070123,3.2990038652603566,2.9600049625097795,3.6013152571076414,3.169593254262177,2.2052467560693243,2.8044711178967474,2.9950836826433376,2.641734402225292,2.877863666931294,3.00871500783462,2.9742988279897697,2.9699120415885947,3.1074518055235867,2.818764726956425,3.015654636233293,2.748213033068303,2.4786660744320423,2.5328052217589843
"Land use and forestry carbon stock change",-15.937134570816262,-15.435730914090758,-15.135302836929084,-15.70115528909674,-15.80456569644977,-15.07893398910157,-16.19774533954517,-16.996834628555607,-17.324692146900702,-17.600552349221772,-18.00759635412486,-18.471421914170374,-18.29532290741518,-18.93951661961839,-19.752805016323666,-20.37401612143744,-20.231272826343925,-20.440210320849626,-21.140631826467775,-20.881175099015227,-21.44610897235005,-21.83074817319048,-22.33533654303853,-22.48504700605521,-22.346973300147397,-22.820699465910405,-22.62363004449467,-22.54037546339238,-22.32317622855529,-21.36124818145218,-20.80152926068181,-20.872149477430575,-20.35026278804246
"Net total",75.26002462831227,74.46030011040378,82.04180795933281,80.17231011016634,84.50582799735892,82.6426374462253,85.97978572785631,80.27793962728448,86.67491847221189,88.65353220579516,87.17255950703355,77.26488991820064,72.33884549637092,72.75160742262553,73.28204428528088,73.58017562475563,71.76714594793404,75.0992905775126,72.0512585308787,69.75299246503032,65.62634559435632,59.385332092224594,56.757116987130765,63.51806282977772,63.80167738298695,65.75822797924585,63.63616506165232,67.04854905573485,67.4996228370284,73.72175667680652,61.166372931456515,67.37513374311558,67.44206003843563
"Gross total",90.2575825547022,88.94529327835241,96.21742041132833,94.87697422999408,98.8188469921226,96.41353039693138,100.63641482161026,95.65222268585084,102.20619554609313,104.41170966280048,103.13506289884496,93.3908692533708,88.33433925036917,89.01765106804727,90.54075027296233,91.39330439602475,88.26945341215078,92.8176110519186,90.3447786805635,88.38091959210105,84.33131178161938,78.5521231055161,76.21779037344128,83.2408985696535,83.13694419793752,83.01004865177681,83.47703628096603,85.34702823702595,86.37607526254439,92.12526150098103,78.47683594795194,83.31465235999129,83.7465860211241
